,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,AAPL260116C00005000,2024-07-19 17:12:59+00:00,5.0,218.62,219.05,222.85,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD
1,AAPL260116C00020000,2024-08-12 19:36:43+00:00,20.0,197.49,200.8,204.7,0.0,0.0,,1,1.0000000000000003e-05,True,REGULAR,USD
2,AAPL260116C00025000,2024-08-09 19:28:19+00:00,25.0,191.8,194.5,198.25,0.0,0.0,,1,1.0000000000000003e-05,True,REGULAR,USD
3,AAPL260116C00030000,2024-08-20 14:48:18+00:00,30.0,197.05,198.0,203.0,0.0,0.0,18.0,87,1.0000000000000003e-05,True,REGULAR,USD
4,AAPL260116C00035000,2024-09-16 15:49:48+00:00,35.0,181.5,195.65,199.55,0.0,0.0,3.0,39,1.0000000000000003e-05,True,REGULAR,USD
5,AAPL260116C00040000,2024-08-09 19:26:21+00:00,40.0,177.59,180.1,184.0,0.0,0.0,,25,1.0000000000000003e-05,True,REGULAR,USD
6,AAPL260116C00045000,2024-08-12 14:42:52+00:00,45.0,175.77,173.55,176.95,0.0,0.0,14.0,58,1.0000000000000003e-05,True,REGULAR,USD
7,AAPL260116C00050000,2024-09-27 18:07:37+00:00,50.0,179.91,184.7,188.55,0.0,0.0,4.0,1391,0.8103046313476561,True,REGULAR,USD
8,AAPL260116C00055000,2024-09-12 16:32:34+00:00,55.0,170.55,172.7,176.45,0.0,0.0,20.0,299,1.0000000000000003e-05,True,REGULAR,USD
9,AAPL260116C00060000,2024-10-14 19:59:51+00:00,60.0,173.55,175.3,179.15,0.0,0.0,8.0,330,0.7653832055664063,True,REGULAR,USD
10,AAPL260116C00065000,2024-09-09 18:29:09+00:00,65.0,155.3,165.95,169.05,0.0,0.0,2.0,75,1.0000000000000003e-05,True,REGULAR,USD
11,AAPL260116C00070000,2024-10-15 13:48:15+00:00,70.0,168.44,166.05,169.7,0.0,0.0,1.0,175,0.723513507080078,True,REGULAR,USD
12,AAPL260116C00075000,2024-10-02 17:33:21+00:00,75.0,154.6,161.25,165.0,0.0,0.0,1.0,90,0.6986114123535156,True,REGULAR,USD
13,AAPL260116C00080000,2024-09-30 16:37:48+00:00,80.0,155.33,157.35,160.2,0.0,0.0,1.0,420,0.6937286486816407,True,REGULAR,USD
14,AAPL260116C00085000,2024-10-02 18:31:44+00:00,85.0,145.73,152.45,155.7,0.0,0.0,1.0,197,0.6713900048828126,True,REGULAR,USD
15,AAPL260116C00090000,2024-10-02 16:33:49+00:00,90.0,140.95,148.15,150.95,0.0,0.0,4.0,56,0.6564975756835938,True,REGULAR,USD
16,AAPL260116C00095000,2024-10-07 16:49:23+00:00,95.0,132.85,142.6,146.25,0.0,0.0,20.0,82,0.6191444335937502,True,REGULAR,USD
17,AAPL260116C00100000,2024-10-17 17:51:26+00:00,100.0,139.85,137.95,141.3,2.4200134,1.7609063,1.0,1290,0.5956461334228516,True,REGULAR,USD
18,AAPL260116C00105000,2024-10-17 13:45:27+00:00,105.0,131.83,133.15,136.95,0.0,0.0,1.0,189,0.5803874969482423,True,REGULAR,USD
