,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,AAPL251219P00020000,2024-09-17 14:41:39+00:00,20.0,0.02,0.0,0.04,0.0,0.0,10,12,0.7578149218750001,False,REGULAR,USD
1,AAPL251219P00030000,2024-08-15 13:32:27+00:00,30.0,0.01,0.0,0.25,0.0,0.0,100,100,0.7578149218750001,False,REGULAR,USD
2,AAPL251219P00040000,2024-08-14 14:34:28+00:00,40.0,0.07,0.0,0.19,0.0,0.0,100,100,0.631839619140625,False,REGULAR,USD
3,AAPL251219P00045000,2024-09-20 18:47:02+00:00,45.0,0.05,0.02,0.09,0.0,0.0,5,64,0.5566450585937501,False,REGULAR,USD
4,AAPL251219P00050000,2024-10-15 15:32:19+00:00,50.0,0.09,0.06,0.12,0.0,0.0,14,2947,0.5498091894531252,False,REGULAR,USD
5,AAPL251219P00055000,2024-10-16 16:55:03+00:00,55.0,0.12,0.05,0.13,0.0,0.0,1,308,0.516606396484375,False,REGULAR,USD
6,AAPL251219P00060000,2024-10-17 16:08:26+00:00,60.0,0.11,0.08,0.16,0.0,0.0,1,391,0.5019581054687501,False,REGULAR,USD
7,AAPL251219P00065000,2024-10-07 13:30:02+00:00,65.0,0.16,0.11,0.19,0.0,0.0,8,1053,0.500005,False,REGULAR,USD
8,AAPL251219P00070000,2024-10-07 16:29:42+00:00,70.0,0.21,0.14,0.22,0.0,0.0,15,447,0.481450498046875,False,REGULAR,USD
9,AAPL251219P00075000,2024-09-26 16:28:12+00:00,75.0,0.23,0.17,0.26,0.030000001,15.000001,30,1722,0.46533737792968755,False,REGULAR,USD
10,AAPL251219P00080000,2024-10-17 15:34:08+00:00,80.0,0.27,0.21,0.3,0.0,0.0,1,1589,0.44873598144531246,False,REGULAR,USD
11,AAPL251219P00085000,2024-10-02 17:26:13+00:00,85.0,0.32,0.26,0.35,0.0,0.0,1,1262,0.43408769042968753,False,REGULAR,USD
12,AAPL251219P00090000,2024-10-18 16:09:34+00:00,90.0,0.36,0.31,0.41,-0.00999999,-2.7027001,141,2746,0.42090422851562503,False,REGULAR,USD
13,AAPL251219P00095000,2024-10-07 13:30:02+00:00,95.0,0.48,0.38,0.47,0.0,0.0,2,1736,0.407232490234375,False,REGULAR,USD
14,AAPL251219P00100000,2024-10-16 18:31:52+00:00,100.0,0.54,0.45,0.56,0.0,0.0,3,951,0.39649041015625003,False,REGULAR,USD
15,AAPL251219P00105000,2024-08-27 13:34:45+00:00,105.0,0.72,0.0,0.0,0.0,0.0,151,355,0.12500875,False,REGULAR,USD
16,AAPL251219P00110000,2024-10-17 19:46:12+00:00,110.0,0.73,0.63,0.74,0.0,0.0,9,676,0.37305314453125,False,REGULAR,USD
17,AAPL251219P00115000,2024-10-17 14:23:55+00:00,115.0,0.82,0.75,0.84,0.0,0.0,5,835,0.36133451171875,False,REGULAR,USD
18,AAPL251219P00120000,2024-10-16 19:20:39+00:00,120.0,1.01,0.86,0.97,0.0,0.0,4,4228,0.35120277709960934,False,REGULAR,USD
19,AAPL251219P00125000,2024-10-15 13:39:42+00:00,125.0,1.02,1.0,1.12,0.0,0.0,1,1959,0.34168138793945313,False,REGULAR,USD
20,AAPL251219P00130000,2024-10-18 18:04:47+00:00,130.0,1.16,1.15,1.28,-0.04000008,-3.33334,5,2764,0.33185482604980465,False,REGULAR,USD
21,AAPL251219P00135000,2024-10-18 19:42:08+00:00,135.0,1.42,1.34,1.47,-0.100000024,-6.578949,1,909,0.3227606787109374,False,REGULAR,USD
22,AAPL251219P00140000,2024-10-18 19:42:08+00:00,140.0,1.62,1.56,1.69,-0.13,-7.4285707,2,2666,0.3142158422851562,False,REGULAR,USD
23,AAPL251219P00145000,2024-10-14 19:25:35+00:00,145.0,2.02,1.81,1.95,0.0,0.0,2,1391,0.306220316772461,False,REGULAR,USD
24,AAPL251219P00150000,2024-10-17 19:59:19+00:00,150.0,2.33,2.11,2.21,0.0,0.0,2,3697,0.29730927307128896,False,REGULAR,USD
25,AAPL251219P00155000,2024-10-18 19:51:59+00:00,155.0,2.45,2.44,2.57,-0.07999992,-3.1620524,45,1549,0.2905954730224609,False,REGULAR,USD
26,AAPL251219P00160000,2024-10-18 19:29:39+00:00,160.0,2.87,2.83,2.96,-0.23000002,-7.419356,31,6876,0.28351546569824215,False,REGULAR,USD
27,AAPL251219P00165000,2024-10-18 18:22:47+00:00,165.0,3.35,3.25,3.4,-0.3900001,-10.427811,16,2670,0.2766185620117187,False,REGULAR,USD
28,AAPL251219P00170000,2024-10-18 15:31:42+00:00,170.0,3.8,3.75,3.9,-0.31999993,-7.7669888,386,2209,0.26987424468994137,False,REGULAR,USD
29,AAPL251219P00175000,2024-10-18 19:47:27+00:00,175.0,4.42,4.35,4.6,-0.4000001,-8.298757,11,8307,0.26593751647949215,False,REGULAR,USD
30,AAPL251219P00180000,2024-10-18 16:34:18+00:00,180.0,5.13,5.0,5.2,-0.48000002,-8.5561495,1,7106,0.2586133709716797,False,REGULAR,USD
31,AAPL251219P00185000,2024-10-18 19:29:54+00:00,185.0,5.7,5.75,5.95,-0.8000002,-12.307695,2,2242,0.2527235372924804,False,REGULAR,USD
32,AAPL251219P00190000,2024-10-18 19:29:31+00:00,190.0,6.62,6.6,6.8,-0.73,-9.931973,14,3064,0.2470473245239258,False,REGULAR,USD
33,AAPL251219P00195000,2024-10-18 14:58:58+00:00,195.0,7.73,7.55,7.75,-0.6699996,-7.9761863,1,3436,0.24146266357421875,False,REGULAR,USD
34,AAPL251219P00200000,2024-10-18 18:48:42+00:00,200.0,8.55,8.55,8.85,-0.6999998,-7.567565,56,4428,0.23645783081054686,False,REGULAR,USD
35,AAPL251219P00205000,2024-10-18 16:28:35+00:00,205.0,9.91,9.75,10.05,-0.78999996,-7.3831773,3,2671,0.2312393771362305,False,REGULAR,USD
36,AAPL251219P00210000,2024-10-18 16:34:37+00:00,210.0,11.17,11.05,11.3,-0.96000004,-7.9142623,13,2591,0.22515118118286132,False,REGULAR,USD
37,AAPL251219P00215000,2024-10-18 19:11:51+00:00,215.0,12.48,12.5,12.75,-0.82000065,-6.1654186,303,4368,0.21985643432617186,False,REGULAR,USD
38,AAPL251219P00220000,2024-10-18 19:03:17+00:00,220.0,14.15,14.05,14.35,-1.0,-6.6006603,8,2269,0.21463798065185546,False,REGULAR,USD
39,AAPL251219P00225000,2024-10-18 19:14:13+00:00,225.0,15.8,15.8,16.15,-0.57000065,-3.481983,73,2883,0.2098772860717773,False,REGULAR,USD
40,AAPL251219P00230000,2024-10-18 19:32:46+00:00,230.0,17.75,17.7,18.05,-1.3600006,-7.1166954,10,496,0.20442995285034177,False,REGULAR,USD
41,AAPL251219P00235000,2024-10-18 18:47:23+00:00,235.0,19.72,19.8,20.15,-0.38000107,-1.8905526,9,636,0.1992420164489746,False,REGULAR,USD
42,AAPL251219P00240000,2024-10-18 15:29:55+00:00,240.0,22.28,22.0,22.4,-1.9699993,-8.123709,10,1291,0.19373364868164064,True,REGULAR,USD
43,AAPL251219P00245000,2024-10-18 15:08:23+00:00,245.0,24.8,24.45,24.9,-2.3500004,-8.655618,10,166,0.18875933319091798,True,REGULAR,USD
44,AAPL251219P00250000,2024-10-15 15:41:36+00:00,250.0,27.62,27.1,27.55,0.47000122,1.7311279,1,415,0.18329674133300777,True,REGULAR,USD
45,AAPL251219P00260000,2024-10-15 15:54:58+00:00,260.0,33.4,33.0,33.45,0.0,0.0,2,237,0.1719748330688477,True,REGULAR,USD
46,AAPL251219P00270000,2024-09-19 14:27:19+00:00,270.0,44.7,39.7,40.25,0.0,0.0,2,9,0.16086654571533204,True,REGULAR,USD
47,AAPL251219P00280000,2024-08-16 16:29:22+00:00,280.0,54.28,57.05,59.85,0.0,0.0,4,62,0.29489840850830074,True,REGULAR,USD
48,AAPL251219P00290000,2024-08-16 16:29:22+00:00,290.0,63.51,66.45,69.5,0.0,0.0,2,0,0.31558911956787106,True,REGULAR,USD
49,AAPL251219P00300000,2024-10-02 14:42:34+00:00,300.0,74.35,63.55,65.8,0.0,0.0,3,0,0.1376429010009766,True,REGULAR,USD
