,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,ABBV250221C00105000,2024-07-23 19:51:02+00:00,105.0,69.45,91.7,92.6,0.0,0.0,,0,1.0791061669921875,True,REGULAR,USD
1,ABBV250221C00115000,2024-10-02 17:44:25+00:00,115.0,81.75,74.05,76.95,0.0,0.0,,0,0.5822795678710937,True,REGULAR,USD
2,ABBV250221C00130000,2024-10-14 17:40:45+00:00,130.0,65.9,59.4,62.0,0.0,0.0,2.0,2,0.5529829858398438,True,REGULAR,USD
3,ABBV250221C00135000,2024-10-02 16:28:39+00:00,135.0,62.55,53.9,57.4,0.0,0.0,2.0,2,0.5300950311279298,True,REGULAR,USD
4,ABBV250221C00140000,2024-09-20 15:18:54+00:00,140.0,54.55,49.65,52.3,0.0,0.0,4.0,3,0.482976361694336,True,REGULAR,USD
5,ABBV250221C00145000,2024-09-30 19:15:50+00:00,145.0,52.85,44.6,46.9,0.0,0.0,1.0,2,0.42383388671875,True,REGULAR,USD
6,ABBV250221C00150000,2024-10-11 19:50:07+00:00,150.0,45.57,41.1,42.15,0.0,0.0,1.0,10,0.3949645465087891,True,REGULAR,USD
7,ABBV250221C00155000,2024-10-04 16:35:52+00:00,155.0,40.6,36.4,37.15,0.0,0.0,2.0,4,0.35547519531249994,True,REGULAR,USD
8,ABBV250221C00160000,2024-10-14 19:54:24+00:00,160.0,37.49,32.1,32.55,0.0,0.0,16.0,25,0.3308782733154296,True,REGULAR,USD
9,ABBV250221C00165000,2024-10-14 19:57:35+00:00,165.0,33.28,27.65,28.55,0.0,0.0,123.0,115,0.32318792053222645,True,REGULAR,USD
10,ABBV250221C00170000,2024-10-18 19:21:14+00:00,170.0,23.6,23.35,24.5,-5.299999,-18.339098,4.0,33,0.30832600860595705,True,REGULAR,USD
11,ABBV250221C00175000,2024-10-14 15:10:10+00:00,175.0,24.06,19.4,20.85,0.0,0.0,6.0,146,0.2991403094482421,True,REGULAR,USD
12,ABBV250221C00180000,2024-10-17 16:53:50+00:00,180.0,16.75,16.3,16.75,0.0,0.0,2.0,129,0.27307855834960937,True,REGULAR,USD
13,ABBV250221C00185000,2024-10-14 16:58:23+00:00,185.0,17.13,13.1,15.3,0.0,0.0,77.0,204,0.30344324493408203,True,REGULAR,USD
14,ABBV250221C00190000,2024-10-17 17:30:50+00:00,190.0,10.65,10.4,10.6,0.0,0.0,7.0,373,0.25153336364746093,False,REGULAR,USD
15,ABBV250221C00195000,2024-10-18 19:16:28+00:00,195.0,7.95,8.0,8.15,-0.5,-5.91716,5.0,470,0.24350732086181642,False,REGULAR,USD
16,ABBV250221C00200000,2024-10-18 17:54:23+00:00,200.0,6.36,5.05,6.15,0.010000229,0.15748392,22.0,448,0.23761748718261716,False,REGULAR,USD
17,ABBV250221C00210000,2024-10-18 16:21:52+00:00,210.0,3.2,3.15,4.3,-0.20000005,-5.8823543,16.0,620,0.25775888732910157,False,REGULAR,USD
18,ABBV250221C00220000,2024-10-18 14:08:21+00:00,220.0,1.64,1.58,1.8,-0.110000014,-6.285715,1.0,967,0.23072058349609376,False,REGULAR,USD
19,ABBV250221C00230000,2024-10-17 17:41:04+00:00,230.0,0.85,0.73,0.84,0.0,0.0,21.0,193,0.22595988891601562,False,REGULAR,USD
20,ABBV250221C00240000,2024-10-17 16:26:57+00:00,240.0,0.43,0.3,0.73,0.0,0.0,8.0,423,0.2541578491210938,False,REGULAR,USD
21,ABBV250221C00250000,2024-09-17 13:30:11+00:00,250.0,0.63,0.0,0.0,0.0,0.0,2.0,26,0.12500875,False,REGULAR,USD
22,ABBV250221C00260000,2024-10-14 17:47:00+00:00,260.0,0.3,0.0,1.07,0.0,0.0,1.0,4,0.34314621704101556,False,REGULAR,USD
23,ABBV250221C00270000,2024-09-17 15:25:06+00:00,270.0,0.44,0.0,0.57,0.0,0.0,8.0,12,0.33130551513671874,False,REGULAR,USD
24,ABBV250221C00280000,2024-09-13 17:46:23+00:00,280.0,0.12,0.0,0.82,0.0,0.0,,0,0.38184211914062494,False,REGULAR,USD
