,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,ABBV251219P00070000,2024-07-30 17:29:04+00:00,70.0,0.41,0.1,1.83,0.0,0.0,1.0,578,0.518681571044922,False,REGULAR,USD
1,ABBV251219P00075000,2024-09-20 14:31:46+00:00,75.0,0.5,0.15,0.5,0.0,0.0,1.0,34,0.4331111376953125,False,REGULAR,USD
2,ABBV251219P00080000,2024-07-23 14:34:25+00:00,80.0,0.78,0.45,1.98,0.0,0.0,1.0,358,0.5280808911132813,False,REGULAR,USD
3,ABBV251219P00085000,2024-07-19 13:34:29+00:00,85.0,1.63,0.39,2.32,0.0,0.0,5.0,286,0.5140429455566407,False,REGULAR,USD
4,ABBV251219P00090000,2024-08-02 14:24:05+00:00,90.0,1.22,0.25,2.21,0.0,0.0,385.0,303,0.47650669982910154,False,REGULAR,USD
5,ABBV251219P00095000,2024-10-17 15:23:54+00:00,95.0,0.85,0.32,1.43,0.0,0.0,1.0,105,0.40430283203125,False,REGULAR,USD
6,ABBV251219P00100000,2024-10-18 15:01:26+00:00,100.0,0.95,0.9,1.71,-0.51000005,-34.93151,1.0,114,0.393560751953125,False,REGULAR,USD
7,ABBV251219P00105000,2024-09-30 18:31:25+00:00,105.0,1.19,0.45,1.81,0.0,0.0,1.0,34,0.3727479718017578,False,REGULAR,USD
8,ABBV251219P00110000,2024-10-03 18:37:58+00:00,110.0,1.3,0.54,2.06,0.0,0.0,1.0,20,0.3590151989746094,False,REGULAR,USD
9,ABBV251219P00115000,2024-09-18 18:46:16+00:00,115.0,1.68,0.73,1.73,0.0,0.0,1.0,99,0.3205634350585937,False,REGULAR,USD
10,ABBV251219P00120000,2024-10-15 14:16:59+00:00,120.0,1.5,1.48,1.77,0.0,0.0,1.0,123,0.2995065167236328,False,REGULAR,USD
11,ABBV251219P00125000,2024-10-16 13:30:02+00:00,125.0,1.9,1.78,2.13,0.0,0.0,1.0,167,0.2910227148437499,False,REGULAR,USD
12,ABBV251219P00130000,2024-10-14 19:28:42+00:00,130.0,2.1,2.12,2.52,0.0,0.0,2.0,172,0.28174546386718746,False,REGULAR,USD
13,ABBV251219P00135000,2024-10-11 19:19:34+00:00,135.0,2.76,2.55,2.92,0.0,0.0,15.0,188,0.2712475219726562,False,REGULAR,USD
14,ABBV251219P00140000,2024-10-03 19:55:14+00:00,140.0,3.7,3.1,3.45,0.0,0.0,1.0,451,0.2627637200927735,False,REGULAR,USD
15,ABBV251219P00145000,2024-10-16 15:15:56+00:00,145.0,3.7,2.26,4.05,0.0,0.0,15.0,227,0.2541578491210938,False,REGULAR,USD
16,ABBV251219P00150000,2024-10-14 16:54:42+00:00,150.0,4.37,2.5,4.9,0.0,0.0,50.0,224,0.2488783609008789,False,REGULAR,USD
17,ABBV251219P00155000,2024-10-16 15:11:16+00:00,155.0,5.25,5.5,5.8,0.0,0.0,6.0,104,0.2421645608520508,False,REGULAR,USD
18,ABBV251219P00160000,2024-10-17 17:36:59+00:00,160.0,6.6,6.6,6.85,0.0,0.0,5.0,185,0.23581696807861324,False,REGULAR,USD
19,ABBV251219P00165000,2024-10-18 16:21:03+00:00,165.0,8.0,7.05,8.25,0.4000001,5.2631593,7.0,239,0.2326126544189453,False,REGULAR,USD
20,ABBV251219P00170000,2024-10-18 18:12:10+00:00,170.0,9.27,9.25,9.8,-0.0899992,-0.9615299,3.0,65,0.22885902984619144,False,REGULAR,USD
21,ABBV251219P00175000,2024-10-18 18:12:10+00:00,175.0,10.87,8.95,11.7,-0.10000038,-0.9115805,3.0,492,0.22724161437988277,False,REGULAR,USD
22,ABBV251219P00180000,2024-10-18 14:52:14+00:00,180.0,12.87,12.6,13.05,0.8699999,7.249999,1.0,36,0.21573660247802734,False,REGULAR,USD
23,ABBV251219P00185000,2024-10-11 15:22:07+00:00,185.0,14.1,14.75,15.15,0.0,0.0,61.0,70,0.21149470153808592,False,REGULAR,USD
24,ABBV251219P00190000,2024-10-16 14:20:45+00:00,190.0,16.85,16.2,17.4,0.0,0.0,4.0,388,0.20639831695556637,True,REGULAR,USD
25,ABBV251219P00195000,2024-10-18 18:13:51+00:00,195.0,19.5,18.6,19.85,0.2800007,1.4568195,1.0,177,0.2010272769165039,True,REGULAR,USD
26,ABBV251219P00200000,2024-10-10 15:32:17+00:00,200.0,21.1,20.0,22.5,0.0,0.0,1.0,437,0.19522899505615232,True,REGULAR,USD
27,ABBV251219P00210000,2024-10-02 17:30:56+00:00,210.0,26.8,26.95,28.55,0.0,0.0,2.0,107,0.18405967315673827,True,REGULAR,USD
28,ABBV251219P00220000,2024-09-03 14:52:19+00:00,220.0,30.8,32.7,34.0,0.0,0.0,8.0,8,0.14655394470214844,True,REGULAR,USD
29,ABBV251219P00230000,2024-10-07 15:29:42+00:00,230.0,40.85,42.7,44.0,0.0,0.0,,1,0.17218845397949223,True,REGULAR,USD
30,ABBV251219P00240000,2023-07-27 14:32:49+00:00,240.0,87.87,91.0,95.95,0.0,0.0,1.0,0,0.7208585043334962,True,REGULAR,USD
31,ABBV251219P00260000,2024-09-30 16:34:56+00:00,260.0,65.6,70.0,72.2,0.0,0.0,,0,0.18708088317871097,True,REGULAR,USD
