,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,ABT250221C00080000,2024-07-18 15:58:40+00:00,80.0,23.5,31.35,33.45,0.0,0.0,2,2,1.0000000000000003e-05,True,REGULAR,USD
1,ABT250221C00090000,2024-10-14 19:55:10+00:00,90.0,28.55,29.1,31.65,0.0,0.0,1,16,0.46936565795898444,True,REGULAR,USD
2,ABT250221C00095000,2024-10-09 14:29:21+00:00,95.0,21.4,25.45,28.0,0.0,0.0,10,28,0.4846242944335938,True,REGULAR,USD
3,ABT250221C00097500,2024-10-09 15:39:40+00:00,97.5,20.0,23.35,25.55,0.0,0.0,1,170,0.45203184692382814,True,REGULAR,USD
4,ABT250221C00100000,2024-10-17 14:39:04+00:00,100.0,19.6,21.15,22.8,0.0,0.0,5,113,0.4039366247558594,True,REGULAR,USD
5,ABT250221C00105000,2024-10-16 19:54:05+00:00,105.0,15.7,16.65,17.85,0.0,0.0,1,92,0.33765310791015624,True,REGULAR,USD
6,ABT250221C00110000,2024-10-16 18:34:02+00:00,110.0,11.8,12.5,14.55,0.0,0.0,44,489,0.3389348333740234,True,REGULAR,USD
7,ABT250221C00115000,2024-10-18 18:29:08+00:00,115.0,9.15,8.75,9.0,0.34999943,3.9772658,3,287,0.23938748901367185,True,REGULAR,USD
8,ABT250221C00120000,2024-10-18 18:51:55+00:00,120.0,6.0,5.7,5.9,1.0,20.0,30,989,0.2210771252441406,False,REGULAR,USD
9,ABT250221C00125000,2024-10-17 18:11:12+00:00,125.0,2.91,3.35,3.55,0.0,0.0,3,1238,0.2074053869628906,False,REGULAR,USD
10,ABT250221C00130000,2024-10-18 16:41:43+00:00,130.0,1.8,1.82,1.94,0.28999996,19.205296,1,391,0.1970905487060547,False,REGULAR,USD
11,ABT250221C00135000,2024-10-17 15:17:49+00:00,135.0,0.79,0.89,1.05,0.0,0.0,1,134,0.1948322705078125,False,REGULAR,USD
12,ABT250221C00140000,2024-10-18 19:41:50+00:00,140.0,0.52,0.41,0.69,0.01999998,3.9999962,1,11,0.20606262695312497,False,REGULAR,USD
13,ABT250221C00145000,2024-10-14 14:59:28+00:00,145.0,0.31,0.18,0.38,0.0,0.0,2,30,0.20777159423828123,False,REGULAR,USD
14,ABT250221C00150000,2024-10-17 15:33:08+00:00,150.0,0.19,0.07,0.57,0.0,0.0,2,5,0.2563550927734375,False,REGULAR,USD
15,ABT250221C00155000,2024-10-18 19:06:36+00:00,155.0,0.15,0.04,1.0,0.0,0.0,2,2,0.3232489550781249,False,REGULAR,USD
16,ABT250221C00160000,2024-10-17 17:32:25+00:00,160.0,0.1,0.03,0.41,0.0,0.0,2,2,0.2898020239257812,False,REGULAR,USD
17,ABT250221C00165000,2024-10-14 14:59:49+00:00,165.0,0.19,0.0,0.58,0.0,0.0,2,0,0.3354558642578125,False,REGULAR,USD
18,ABT250221C00170000,2024-09-17 17:02:56+00:00,170.0,0.16,0.0,0.36,0.0,0.0,2,0,0.32813171874999997,False,REGULAR,USD
