,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,ABT241108P00085000,2024-10-18 16:16:41+00:00,85.0,0.19,,0.36,0.15,375.00003,15.0,20,0.8300798242187499,False,REGULAR,USD
1,ABT241108P00100000,2024-10-17 14:33:06+00:00,100.0,0.09,0.01,0.3,0.0,0.0,13.0,123,0.4682670361328125,False,REGULAR,USD
2,ABT241108P00101000,2024-10-16 17:34:11+00:00,101.0,0.12,0.02,0.49,0.0,0.0,16.0,11,0.5004932763671875,False,REGULAR,USD
3,ABT241108P00102000,2024-10-16 17:34:20+00:00,102.0,0.26,0.03,0.51,0.0,0.0,24.0,12,0.48242705078125003,False,REGULAR,USD
4,ABT241108P00104000,2024-10-16 13:56:55+00:00,104.0,0.16,0.04,0.53,0.0,0.0,8.0,16,0.4409235595703125,False,REGULAR,USD
5,ABT241108P00105000,2024-10-11 18:53:38+00:00,105.0,0.36,0.06,0.25,0.0,0.0,,7,0.34766277343749996,False,REGULAR,USD
6,ABT241108P00106000,2024-10-16 13:56:42+00:00,106.0,0.05,0.04,0.22,0.0,0.0,8.0,12,0.31836619140624994,False,REGULAR,USD
7,ABT241108P00107000,2024-10-16 16:28:26+00:00,107.0,0.23,0.05,0.2,0.0,0.0,11.0,33,0.2919992675781249,False,REGULAR,USD
8,ABT241108P00108000,2024-10-18 13:45:15+00:00,108.0,0.19,0.09,0.19,-0.099999994,-34.482758,1.0,1,0.2690502783203125,False,REGULAR,USD
9,ABT241108P00110000,2024-10-17 15:35:15+00:00,110.0,0.4,0.18,0.23,0.0,0.0,2.0,12,0.24024197265624997,False,REGULAR,USD
10,ABT241108P00111000,2024-10-18 16:14:00+00:00,111.0,0.3,0.23,0.28,-0.21999997,-42.307686,15.0,28,0.2309647216796875,False,REGULAR,USD
11,ABT241108P00112000,2024-10-17 16:00:19+00:00,112.0,0.63,0.31,0.37,0.0,0.0,8.0,32,0.22657023437499998,False,REGULAR,USD
12,ABT241108P00113000,2024-10-18 13:45:15+00:00,113.0,0.64,0.41,0.47,-0.13999999,-17.948717,1.0,14,0.2199785034179687,False,REGULAR,USD
13,ABT241108P00114000,2024-10-18 18:25:16+00:00,114.0,0.51,0.39,0.61,-0.43,-45.744682,33.0,47,0.21509573974609375,False,REGULAR,USD
14,ABT241108P00116000,2024-10-17 14:27:23+00:00,116.0,1.71,0.92,1.0,0.0,0.0,6.0,14,0.20508607421874997,False,REGULAR,USD
