,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,ACN241115C00190000,2024-09-26 13:34:19+00:00,190.0,171.4,185.7,189.3,0.0,0.0,,0,1.201175869140625,True,REGULAR,USD
1,ACN241115C00200000,2024-10-10 19:53:04+00:00,200.0,162.5,175.8,179.4,0.0,0.0,,4,1.1455120849609375,True,REGULAR,USD
2,ACN241115C00220000,2024-07-18 15:00:12+00:00,220.0,113.99,107.3,110.4,0.0,0.0,1.0,13,1.0000000000000003e-05,True,REGULAR,USD
3,ACN241115C00250000,2024-07-15 14:50:18+00:00,250.0,72.0,72.3,75.4,0.0,0.0,1.0,1,1.0000000000000003e-05,True,REGULAR,USD
4,ACN241115C00260000,2024-09-04 14:23:21+00:00,260.0,85.65,104.4,107.8,0.0,0.0,2.0,4,1.0000000000000003e-05,True,REGULAR,USD
5,ACN241115C00270000,2024-06-20 14:43:39+00:00,270.0,45.68,63.5,66.6,0.0,0.0,1.0,6,1.0000000000000003e-05,True,REGULAR,USD
6,ACN241115C00280000,2024-06-20 19:34:05+00:00,280.0,39.6,55.3,57.6,0.0,0.0,2.0,42,1.0000000000000003e-05,True,REGULAR,USD
7,ACN241115C00285000,2024-09-09 15:13:45+00:00,285.0,58.5,78.9,81.5,0.0,0.0,1.0,37,1.0000000000000003e-05,True,REGULAR,USD
8,ACN241115C00290000,2024-09-26 13:55:33+00:00,290.0,68.0,86.4,90.2,0.0,0.0,1.0,47,0.6086464916992189,True,REGULAR,USD
9,ACN241115C00295000,2024-10-18 15:51:39+00:00,295.0,82.2,81.4,84.9,3.5999985,4.580151,1.0,70,0.562626444091797,True,REGULAR,USD
10,ACN241115C00300000,2024-10-18 15:55:07+00:00,300.0,77.4,76.4,79.7,3.8300018,5.205929,2.0,70,0.5219774365234374,True,REGULAR,USD
11,ACN241115C00305000,2024-10-18 15:59:45+00:00,305.0,72.4,71.4,75.2,3.7000046,5.385742,6.0,178,0.5124560473632812,True,REGULAR,USD
12,ACN241115C00310000,2024-10-14 13:49:27+00:00,310.0,56.65,66.5,69.8,0.0,0.0,2.0,109,0.5778850805664062,True,REGULAR,USD
13,ACN241115C00315000,2024-10-17 15:30:09+00:00,315.0,60.7,61.8,65.0,0.0,0.0,1.0,83,0.5530440203857423,True,REGULAR,USD
14,ACN241115C00320000,2024-10-11 16:42:37+00:00,320.0,42.99,57.1,59.6,0.0,0.0,1.0,112,0.49670913452148446,True,REGULAR,USD
15,ACN241115C00325000,2024-10-17 19:20:17+00:00,325.0,51.0,51.9,54.8,0.0,0.0,1.0,97,0.47192910888671874,True,REGULAR,USD
16,ACN241115C00330000,2024-10-15 18:20:55+00:00,330.0,41.8,46.7,50.0,0.0,0.0,2.0,156,0.44605046142578125,True,REGULAR,USD
17,ACN241115C00335000,2024-10-15 14:15:13+00:00,335.0,35.32,42.0,45.8,0.0,0.0,1.0,311,0.4439142523193359,True,REGULAR,USD
18,ACN241115C00340000,2024-10-17 13:32:10+00:00,340.0,35.94,37.9,40.4,0.0,0.0,1.0,799,0.3908141973876953,True,REGULAR,USD
19,ACN241115C00345000,2024-10-17 14:47:43+00:00,345.0,32.84,33.3,35.1,2.6000004,8.597885,3.0,565,0.3423527679443359,True,REGULAR,USD
