,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,ACN260116P00145000,2024-10-14 14:11:42+00:00,145.0,0.65,0.0,1.3,0.0,0.0,1,42,0.45227598510742195,False,REGULAR,USD
1,ACN260116P00150000,2024-09-24 18:56:16+00:00,150.0,0.7,0.0,1.4,0.0,0.0,2,19,0.44312080322265623,False,REGULAR,USD
2,ACN260116P00160000,2024-10-18 15:35:22+00:00,160.0,1.9,0.35,1.9,0.91999996,93.87754,5,13,0.43848217773437503,False,REGULAR,USD
3,ACN260116P00165000,2024-06-12 16:41:06+00:00,165.0,3.2,0.95,3.3,0.0,0.0,1,4,0.47473669799804685,False,REGULAR,USD
4,ACN260116P00170000,2024-09-19 18:40:05+00:00,170.0,1.35,0.65,2.1,0.0,0.0,1,7,0.4185849157714844,False,REGULAR,USD
5,ACN260116P00175000,2024-06-20 15:44:53+00:00,175.0,3.3,0.85,3.3,0.0,0.0,1,8,0.4448908050537109,False,REGULAR,USD
6,ACN260116P00180000,2024-10-18 15:35:22+00:00,180.0,2.6,0.9,2.6,1.1499999,79.31033,4,126,0.4091245611572265,False,REGULAR,USD
7,ACN260116P00185000,2024-10-03 15:05:15+00:00,185.0,1.85,0.6,2.6,0.0,0.0,4,11,0.3958190301513672,False,REGULAR,USD
8,ACN260116P00190000,2024-05-30 19:50:04+00:00,190.0,6.3,3.7,5.6,0.0,0.0,10,23,0.45810478424072276,False,REGULAR,USD
9,ACN260116P00195000,2024-08-08 19:58:02+00:00,195.0,4.7,1.6,4.3,0.0,0.0,3,31,0.41498387756347654,False,REGULAR,USD
10,ACN260116P00200000,2024-09-18 16:22:30+00:00,200.0,3.21,0.9,2.8,0.0,0.0,2,180,0.3637148590087891,False,REGULAR,USD
11,ACN260116P00210000,2024-10-14 17:00:10+00:00,210.0,2.38,0.95,3.4,0.0,0.0,6,66,0.3548648498535155,False,REGULAR,USD
12,ACN260116P00220000,2024-10-09 15:39:26+00:00,220.0,2.9,1.1,3.8,0.0,0.0,2,100,0.3399724206542969,False,REGULAR,USD
13,ACN260116P00230000,2024-10-17 19:48:11+00:00,230.0,2.85,2.0,3.3,0.0,0.0,1,77,0.3060372131347656,False,REGULAR,USD
14,ACN260116P00240000,2024-10-15 15:54:06+00:00,240.0,3.5,1.1,3.9,0.0,0.0,1,214,0.2961801339721679,False,REGULAR,USD
15,ACN260116P00250000,2024-10-15 15:54:06+00:00,250.0,4.36,2.0,4.5,0.0,0.0,1,111,0.2849802947998046,False,REGULAR,USD
16,ACN260116P00260000,2024-10-17 16:38:50+00:00,260.0,5.2,4.7,7.5,0.0,0.0,10,218,0.30652548950195313,False,REGULAR,USD
17,ACN260116P00270000,2024-10-18 14:32:58+00:00,270.0,6.17,3.5,8.0,-0.48000002,-7.218045,5,119,0.2893747821044921,False,REGULAR,USD
18,ACN260116P00280000,2024-10-08 16:48:22+00:00,280.0,9.5,5.0,9.5,0.0,0.0,33,170,0.2831187411499023,False,REGULAR,USD
19,ACN260116P00290000,2024-09-26 13:40:38+00:00,290.0,11.05,6.0,9.2,0.0,0.0,1,95,0.256645006866455,False,REGULAR,USD
20,ACN260116P00300000,2024-10-07 15:19:35+00:00,300.0,13.1,7.5,10.6,0.0,0.0,52,217,0.24742879043579102,False,REGULAR,USD
21,ACN260116P00310000,2024-10-08 16:17:02+00:00,310.0,15.7,9.5,12.6,0.0,0.0,27,169,0.24185938812255858,False,REGULAR,USD
22,ACN260116P00320000,2024-10-07 16:21:06+00:00,320.0,18.1,11.5,14.9,0.0,0.0,61,81,0.23648834808349606,False,REGULAR,USD
23,ACN260116P00330000,2024-10-09 19:27:01+00:00,330.0,19.5,14.0,17.2,0.0,0.0,8,86,0.22888954711914064,False,REGULAR,USD
24,ACN260116P00340000,2024-10-14 14:21:12+00:00,340.0,23.2,19.0,20.4,0.0,0.0,40,187,0.22549450050354,False,REGULAR,USD
25,ACN260116P00350000,2024-10-16 14:07:01+00:00,350.0,24.6,21.6,23.0,0.0,0.0,2,88,0.2156755679321289,False,REGULAR,USD
26,ACN260116P00360000,2024-10-10 15:37:59+00:00,360.0,31.7,23.2,28.0,0.0,0.0,1,51,0.21886462295532227,False,REGULAR,USD
27,ACN260116P00370000,2024-10-07 14:57:10+00:00,370.0,37.3,27.0,32.0,0.0,0.0,5,14,0.21302056518554688,False,REGULAR,USD
28,ACN260116P00380000,2024-10-18 15:22:39+00:00,380.0,34.3,31.0,36.0,-5.4000015,-13.602018,7,2,0.20472749626159664,True,REGULAR,USD
29,ACN260116P00390000,2024-08-09 13:35:50+00:00,390.0,78.15,61.4,64.1,0.0,0.0,10,10,0.33764547859191896,True,REGULAR,USD
30,ACN260116P00400000,2024-03-22 14:15:58+00:00,400.0,68.52,83.5,88.0,0.0,0.0,1,2,0.4433191654968262,True,REGULAR,USD
31,ACN260116P00410000,2024-03-01 15:58:47+00:00,410.0,53.1,70.3,74.0,0.0,0.0,24,23,0.32092964233398436,True,REGULAR,USD
32,ACN260116P00430000,2024-04-12 14:08:48+00:00,430.0,112.5,121.5,126.0,0.0,0.0,1,0,0.5365646929931642,True,REGULAR,USD
33,ACN260116P00450000,2024-03-21 13:58:03+00:00,450.0,100.5,130.5,135.0,0.0,0.0,1,0,0.5054218159484862,True,REGULAR,USD
