,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,ADBE250919C00260000,2024-10-03 14:49:38+00:00,260.0,258.8,245.0,254.0,0.0,0.0,,0,0.6178321908569336,True,REGULAR,USD
1,ADBE250919C00270000,2024-10-11 15:44:25+00:00,270.0,244.2,235.0,244.0,0.0,0.0,,2,0.5889018161010743,True,REGULAR,USD
2,ADBE250919C00280000,2024-10-04 15:17:47+00:00,280.0,241.3,226.0,235.0,0.0,0.0,2.0,2,0.573597403717041,True,REGULAR,USD
3,ADBE250919C00310000,2024-10-14 16:36:00+00:00,310.0,218.6,201.2,207.55,0.0,0.0,2.0,8,0.5357712438964843,True,REGULAR,USD
4,ADBE250919C00320000,2024-10-11 18:22:38+00:00,320.0,196.75,192.85,198.05,0.0,0.0,2.0,2,0.5201006242370605,True,REGULAR,USD
5,ADBE250919C00330000,2024-10-11 18:24:09+00:00,330.0,188.05,184.45,190.55,0.0,0.0,,1,0.5134326000976561,True,REGULAR,USD
6,ADBE250919C00340000,2024-10-09 15:32:46+00:00,340.0,176.9,174.6,182.0,0.0,0.0,2.0,2,0.5271653729248047,True,REGULAR,USD
7,ADBE250919C00350000,2024-10-09 15:34:11+00:00,350.0,168.45,168.05,172.3,0.0,0.0,2.0,1,0.5029499168395997,True,REGULAR,USD
8,ADBE250919C00360000,2024-10-11 19:48:59+00:00,360.0,162.65,160.2,163.85,0.0,0.0,6.0,4,0.48921714401245125,True,REGULAR,USD
9,ADBE250919C00370000,2024-10-17 15:03:04+00:00,370.0,154.35,152.3,154.8,0.0,0.0,2.0,4,0.4705100556945801,True,REGULAR,USD
10,ADBE250919C00380000,2024-10-16 14:30:25+00:00,380.0,152.45,144.4,146.55,0.0,0.0,2.0,3,0.45770805969238293,True,REGULAR,USD
11,ADBE250919C00390000,2024-10-17 19:42:53+00:00,390.0,139.1,136.55,140.9,0.0,0.0,2.0,3,0.46283496154785164,True,REGULAR,USD
12,ADBE250919C00400000,2024-10-18 15:27:43+00:00,400.0,131.4,128.4,131.55,-0.2000122,-0.15198496,6.0,10,0.4409540768432617,True,REGULAR,USD
13,ADBE250919C00410000,2024-10-15 16:12:48+00:00,410.0,135.15,121.1,124.25,0.0,0.0,2.0,3,0.4326610079193115,True,REGULAR,USD
14,ADBE250919C00420000,2024-10-18 15:03:28+00:00,420.0,118.4,115.05,117.1,1.1500015,0.9808116,1.0,4,0.42447474945068364,True,REGULAR,USD
15,ADBE250919C00430000,2024-10-18 15:03:28+00:00,430.0,111.65,107.2,110.4,-9.25,-7.6509514,1.0,4,0.41818819122314455,True,REGULAR,USD
16,ADBE250919C00460000,2024-10-18 19:51:48+00:00,460.0,90.2,88.95,92.65,-11.0,-10.869566,1.0,12,0.4069654640960694,True,REGULAR,USD
17,ADBE250919C00470000,2024-10-17 14:11:36+00:00,470.0,85.95,82.1,85.25,0.0,0.0,2.0,2,0.39281307876586913,True,REGULAR,USD
18,ADBE250919C00480000,2024-10-14 19:16:15+00:00,480.0,91.0,76.8,81.05,0.0,0.0,2.0,7,0.3954604521942139,True,REGULAR,USD
19,ADBE250919C00490000,2024-10-17 14:43:40+00:00,490.0,74.5,71.45,74.9,0.0,0.0,1.0,38,0.3863281582641601,True,REGULAR,USD
20,ADBE250919C00500000,2024-10-17 19:48:12+00:00,500.0,69.75,66.7,69.9,-0.69999695,-0.99360824,2.0,13,0.3823914300537109,False,REGULAR,USD
21,ADBE250919C00510000,2024-10-18 16:43:08+00:00,510.0,64.97,61.2,65.55,-7.029999,-9.763887,1.0,15,0.3808350491333008,False,REGULAR,USD
22,ADBE250919C00520000,2024-10-18 19:15:30+00:00,520.0,59.5,57.1,61.1,-1.0999985,-1.815179,6.0,8,0.3776917700195312,False,REGULAR,USD
23,ADBE250919C00530000,2024-10-16 14:29:22+00:00,530.0,59.6,52.1,56.75,0.0,0.0,4.0,9,0.37401443862915035,False,REGULAR,USD
24,ADBE250919C00540000,2024-10-18 16:02:45+00:00,540.0,51.67,48.4,51.25,-6.7800026,-11.599662,3.0,9,0.3632189533233643,False,REGULAR,USD
25,ADBE250919C00550000,2024-10-18 14:23:25+00:00,550.0,47.6,45.95,49.3,-6.6000023,-12.177126,8.0,7,0.3701921501922607,False,REGULAR,USD
26,ADBE250919C00560000,2024-10-18 15:16:25+00:00,560.0,44.15,42.1,43.35,-3.8499985,-8.02083,1.0,5,0.3548190739440917,False,REGULAR,USD
27,ADBE250919C00570000,2024-10-16 14:07:44+00:00,570.0,43.0,37.3,41.35,0.0,0.0,2.0,4,0.3596102857971191,False,REGULAR,USD
28,ADBE250919C00580000,2024-10-18 15:22:27+00:00,580.0,37.75,35.3,36.75,-6.0999985,-13.911058,3.0,5,0.34923441299438474,False,REGULAR,USD
29,ADBE250919C00590000,2024-10-09 17:46:37+00:00,590.0,34.35,32.4,33.8,0.0,0.0,,1,0.34683880706787107,False,REGULAR,USD
