,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,ADBE241220P00230000,2024-10-11 17:58:26+00:00,230.0,0.14,0.02,0.1,0.0,0.0,2.0,18,0.648441015625,False,REGULAR,USD
1,ADBE241220P00240000,2024-10-14 17:50:39+00:00,240.0,0.14,0.03,1.02,0.0,0.0,1.0,35,0.78711150390625,False,REGULAR,USD
2,ADBE241220P00250000,2024-10-08 17:59:32+00:00,250.0,0.53,0.0,1.06,0.0,0.0,2.0,8,0.7475611181640626,False,REGULAR,USD
3,ADBE241220P00260000,2024-10-18 13:43:31+00:00,260.0,0.2,0.0,0.78,-0.049999997,-19.999998,1.0,171,0.6796907031250001,False,REGULAR,USD
4,ADBE241220P00270000,2024-10-18 19:31:32+00:00,270.0,0.22,0.1,0.3,0.0,0.0,1.0,219,0.5918009570312501,False,REGULAR,USD
5,ADBE241220P00280000,2024-10-16 13:30:00+00:00,280.0,0.25,0.0,1.18,0.0,0.0,1.0,16,0.6440465283203125,False,REGULAR,USD
6,ADBE241220P00290000,2024-10-18 18:16:58+00:00,290.0,0.29,0.25,0.45,-0.120000005,-29.268295,10.0,376,0.5659223095703125,False,REGULAR,USD
7,ADBE241220P00300000,2024-10-08 13:45:48+00:00,300.0,0.48,0.2,0.5,0.0,0.0,1.0,97,0.53320779296875,False,REGULAR,USD
8,ADBE241220P00305000,2024-10-07 18:54:11+00:00,305.0,0.55,0.25,1.32,0.0,0.0,,1,0.5815471533203125,False,REGULAR,USD
9,ADBE241220P00310000,2024-09-20 13:30:01+00:00,310.0,0.39,0.01,1.36,0.0,0.0,2.0,16,0.5524947094726562,False,REGULAR,USD
10,ADBE241220P00320000,2024-10-01 14:09:15+00:00,320.0,0.68,0.22,0.94,0.0,0.0,1.0,73,0.5063525927734375,False,REGULAR,USD
11,ADBE241220P00325000,2024-09-25 15:57:01+00:00,325.0,0.61,0.0,1.51,0.0,0.0,,5,0.5107470800781251,False,REGULAR,USD
12,ADBE241220P00330000,2024-09-05 15:36:03+00:00,330.0,1.25,0.32,1.25,0.0,0.0,1.0,41,0.5387009020996094,False,REGULAR,USD
13,ADBE241220P00340000,2024-10-15 13:30:01+00:00,340.0,0.76,0.35,1.72,0.0,0.0,1.0,170,0.5360153820800782,False,REGULAR,USD
14,ADBE241220P00345000,2024-10-11 16:56:25+00:00,345.0,0.9,0.4,1.81,0.0,0.0,1.0,3,0.5236864038085938,False,REGULAR,USD
15,ADBE241220P00350000,2024-10-17 15:01:04+00:00,350.0,1.05,0.78,1.12,0.0,0.0,10.0,254,0.46179737426757816,False,REGULAR,USD
16,ADBE241220P00360000,2024-10-10 17:17:47+00:00,360.0,1.25,0.55,1.3,0.0,0.0,1.0,79,0.4417780432128906,False,REGULAR,USD
