,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,AMD250321C00050000,2024-10-15 14:29:43+00:00,50.0,110.0,106.5,108.1,0.0,0.0,1,26,1.0835006762695314,True,REGULAR,USD
1,AMD250321C00055000,2024-07-31 15:34:23+00:00,55.0,93.3,95.15,96.0,0.0,0.0,2,3,1.0000000000000003e-05,True,REGULAR,USD
2,AMD250321C00060000,2024-10-08 18:57:41+00:00,60.0,114.17,96.75,98.4,0.0,0.0,1,8,0.9624027197265624,True,REGULAR,USD
3,AMD250321C00065000,2024-09-12 19:50:00+00:00,65.0,87.9,104.0,105.5,0.0,0.0,1,3,1.7844249060058592,True,REGULAR,USD
4,AMD250321C00070000,2024-04-19 15:48:14+00:00,70.0,84.76,96.6,99.55,0.0,0.0,2,5,1.5656759997558591,True,REGULAR,USD
5,AMD250321C00075000,2024-10-14 17:13:28+00:00,75.0,93.5,82.2,84.0,0.0,0.0,2,30,0.8151873950195312,True,REGULAR,USD
6,AMD250321C00080000,2024-10-15 14:29:28+00:00,80.0,81.0,78.05,78.6,0.0,0.0,3,70,0.7736839038085939,True,REGULAR,USD
7,AMD250321C00085000,2024-10-08 16:08:32+00:00,85.0,88.12,73.25,74.45,0.0,0.0,3,17,0.7553735400390625,True,REGULAR,USD
8,AMD250321C00090000,2024-10-07 18:47:56+00:00,90.0,83.05,68.55,69.7,0.0,0.0,2,28,0.7163114306640624,True,REGULAR,USD
9,AMD250321C00095000,2024-10-15 18:17:07+00:00,95.0,65.52,63.95,64.55,0.0,0.0,10,52,0.6679720703125002,True,REGULAR,USD
10,AMD250321C00100000,2024-10-18 13:45:18+00:00,100.0,60.8,59.5,59.9,-0.20000076,-0.3278701,1,179,0.639652041015625,True,REGULAR,USD
11,AMD250321C00105000,2024-10-09 14:21:56+00:00,105.0,70.15,55.0,55.5,0.0,0.0,2,71,0.6147499462890625,True,REGULAR,USD
12,AMD250321C00110000,2024-10-17 19:54:38+00:00,110.0,52.15,50.8,51.1,0.0,0.0,29,220,0.5942423388671876,True,REGULAR,USD
13,AMD250321C00115000,2024-10-16 14:56:15+00:00,115.0,47.5,46.6,46.95,0.0,0.0,1,163,0.5756268023681641,True,REGULAR,USD
14,AMD250321C00120000,2024-10-16 18:06:03+00:00,120.0,43.3,42.6,42.95,0.0,0.0,5,500,0.5600629931640625,True,REGULAR,USD
15,AMD250321C00125000,2024-10-16 17:20:12+00:00,125.0,39.6,38.85,39.2,0.0,0.0,1,740,0.549076774902344,True,REGULAR,USD
16,AMD250321C00130000,2024-10-18 19:40:11+00:00,130.0,35.15,35.25,35.5,-1.449997,-3.9617405,3,417,0.5365646929931642,True,REGULAR,USD
17,AMD250321C00135000,2024-10-18 15:35:53+00:00,135.0,32.38,31.75,32.1,-2.119999,-6.1449246,23,392,0.5255784747314454,True,REGULAR,USD
18,AMD250321C00140000,2024-10-18 19:36:04+00:00,140.0,28.7,28.7,29.0,-1.6199989,-5.343004,46,1185,0.5205431246948241,True,REGULAR,USD
19,AMD250321C00145000,2024-10-18 19:00:24+00:00,145.0,26.0,25.7,25.95,-1.0,-3.7037036,75,1869,0.5117846673583983,True,REGULAR,USD
20,AMD250321C00150000,2024-10-18 19:35:17+00:00,150.0,23.0,23.05,23.25,-1.3500004,-5.5441494,77,1627,0.5073596627807617,True,REGULAR,USD
21,AMD250321C00155000,2024-10-18 18:29:09+00:00,155.0,20.79,20.5,20.7,-0.7099991,-3.3023212,90,4620,0.5012867254638673,True,REGULAR,USD
22,AMD250321C00160000,2024-10-18 19:50:52+00:00,160.0,18.4,18.25,18.4,-0.55000114,-2.9023805,503,5037,0.49927258544921876,False,REGULAR,USD
23,AMD250321C00165000,2024-10-18 18:59:09+00:00,165.0,16.4,16.15,16.3,-0.39999962,-2.3809502,93,1835,0.495122236328125,False,REGULAR,USD
