,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,AMD241129P00095000,2024-10-16 13:55:02+00:00,95.0,0.17,0.09,0.15,0.0,0.0,10,14,0.6543003320312502,False,REGULAR,USD
1,AMD241129P00100000,2024-10-18 17:36:00+00:00,100.0,0.18,0.17,0.2,0.0,0.0,1,35,0.631839619140625,False,REGULAR,USD
2,AMD241129P00115000,2024-10-18 19:45:42+00:00,115.0,0.58,0.55,0.62,-0.100000024,-14.705886,13,29,0.5603071313476562,False,REGULAR,USD
3,AMD241129P00120000,2024-10-18 19:42:02+00:00,120.0,0.87,0.84,0.9,-0.01999998,-2.247189,48,100,0.5422409057617189,False,REGULAR,USD
4,AMD241129P00125000,2024-10-18 19:45:42+00:00,125.0,1.27,1.26,1.3,-0.07000005,-5.2238846,25,235,0.5258836474609375,False,REGULAR,USD
5,AMD241129P00130000,2024-10-18 19:42:52+00:00,130.0,1.91,1.82,1.91,0.00999999,0.5263153,28,232,0.5114794946289063,False,REGULAR,USD
6,AMD241129P00135000,2024-10-18 19:57:41+00:00,135.0,2.74,2.71,2.79,-0.01999998,-0.724637,72,206,0.5041553491210937,False,REGULAR,USD
7,AMD241129P00140000,2024-10-18 19:29:26+00:00,140.0,3.9,3.85,3.95,-0.099999905,-2.4999976,82,249,0.4986622399902344,False,REGULAR,USD
8,AMD241129P00145000,2024-10-18 19:31:56+00:00,145.0,5.35,5.35,5.5,-0.1500001,-2.7272744,66,1013,0.49414568359375005,False,REGULAR,USD
9,AMD241129P00150000,2024-10-18 19:55:00+00:00,150.0,7.3,7.2,7.3,0.13000011,1.8131118,60,231,0.48376981079101566,False,REGULAR,USD
10,AMD241129P00155000,2024-10-18 19:54:40+00:00,155.0,9.55,9.45,9.6,-0.05000019,-0.5208353,84,248,0.47949739257812496,False,REGULAR,USD
11,AMD241129P00160000,2024-10-18 19:46:58+00:00,160.0,12.27,12.1,12.45,0.3800001,3.1959639,13,359,0.4828542926025391,True,REGULAR,USD
12,AMD241129P00165000,2024-10-18 14:30:04+00:00,165.0,14.84,15.15,15.55,-0.8899994,-5.6579747,20,120,0.48041291076660153,True,REGULAR,USD
13,AMD241129P00170000,2024-10-18 19:56:13+00:00,170.0,18.78,18.55,18.95,0.9899998,5.5649223,4,36,0.4757132507324219,True,REGULAR,USD
14,AMD241129P00180000,2024-10-15 19:33:20+00:00,180.0,26.7,26.1,26.9,0.0,0.0,2,1,0.4823049816894531,True,REGULAR,USD
