,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,AMZN270115C00095000,2024-10-18 19:58:49+00:00,95.0,106.6,103.8,107.45,3.3499985,3.2445505,13.0,125,0.5454147021484376,True,REGULAR,USD
1,AMZN270115C00100000,2024-10-18 14:28:56+00:00,100.0,101.4,99.9,104.0,0.40000153,0.3960411,1.0,197,0.5383041775512697,True,REGULAR,USD
2,AMZN270115C00105000,2024-10-10 18:00:35+00:00,105.0,96.15,96.55,99.25,0.0,0.0,,2,0.5238389901733399,True,REGULAR,USD
3,AMZN270115C00110000,2024-10-14 17:31:18+00:00,110.0,93.15,92.7,94.4,0.0,0.0,1.0,21,0.5044910391235352,True,REGULAR,USD
4,AMZN270115C00115000,2024-09-20 16:12:59+00:00,115.0,91.1,88.85,90.6,0.0,0.0,40.0,40,0.506840869140625,True,REGULAR,USD
5,AMZN270115C00120000,2024-10-18 17:02:22+00:00,120.0,87.15,85.1,86.85,2.5,2.9533372,2.0,51,0.4959156854248047,True,REGULAR,USD
6,AMZN270115C00125000,2024-10-18 19:58:27+00:00,125.0,81.98,81.45,82.95,0.5300064,0.6507138,4.0,34,0.4825186026000977,True,REGULAR,USD
7,AMZN270115C00130000,2024-10-18 19:58:27+00:00,130.0,78.88,78.15,79.2,2.5799942,3.3813815,5.0,10,0.47095255615234377,True,REGULAR,USD
8,AMZN270115C00135000,2024-10-10 16:34:52+00:00,135.0,73.2,74.7,75.65,0.0,0.0,22.0,24,0.46155323608398446,True,REGULAR,USD
9,AMZN270115C00140000,2024-10-18 13:53:48+00:00,140.0,71.0,71.25,72.35,0.40000153,0.5665744,2.0,43,0.4546868496704102,True,REGULAR,USD
10,AMZN270115C00145000,2024-10-17 19:20:05+00:00,145.0,68.5,67.95,68.9,1.199997,1.7830564,1.0,31,0.44540959869384766,True,REGULAR,USD
11,AMZN270115C00150000,2024-10-17 19:53:00+00:00,150.0,64.1,64.75,65.7,0.0,0.0,6.0,85,0.4384516604614258,True,REGULAR,USD
12,AMZN270115C00155000,2024-10-18 16:44:07+00:00,155.0,63.15,61.65,62.65,3.2300034,5.3905263,3.0,42,0.43247027496337886,True,REGULAR,USD
13,AMZN270115C00160000,2024-10-18 14:06:51+00:00,160.0,58.84,58.65,59.65,1.3400002,2.330435,14.0,56,0.426336303100586,True,REGULAR,USD
14,AMZN270115C00165000,2024-10-18 19:22:20+00:00,165.0,56.68,55.75,56.7,1.5,2.7183762,7.0,35,0.42008026214599614,True,REGULAR,USD
15,AMZN270115C00170000,2024-10-17 19:37:09+00:00,170.0,53.21,53.0,53.9,0.80999756,1.5457969,2.0,113,0.4146634461975098,True,REGULAR,USD
16,AMZN270115C00175000,2024-10-18 16:27:11+00:00,175.0,51.21,50.3,51.15,1.7900009,3.6220174,12.0,59,0.40907878524780267,True,REGULAR,USD
17,AMZN270115C00180000,2024-10-17 17:51:55+00:00,180.0,48.21,47.75,48.25,0.3600006,0.7523524,2.0,180,0.4014189497375488,True,REGULAR,USD
18,AMZN270115C00185000,2024-10-18 19:59:09+00:00,185.0,45.69,45.2,45.75,0.9399986,2.1005557,3.0,113,0.39693291061401365,True,REGULAR,USD
19,AMZN270115C00190000,2024-10-18 19:57:42+00:00,190.0,43.22,42.55,44.15,0.40000153,0.9341465,43.0,244,0.4000914483642578,False,REGULAR,USD
20,AMZN270115C00195000,2024-10-18 16:57:53+00:00,195.0,41.95,40.5,41.1,1.5,3.7082818,5.0,155,0.3891662646484375,False,REGULAR,USD
21,AMZN270115C00200000,2024-10-18 19:00:27+00:00,200.0,39.53,38.25,38.9,1.5399971,4.0536904,21.0,464,0.38542789871215816,False,REGULAR,USD
22,AMZN270115C00210000,2024-10-18 18:01:18+00:00,210.0,35.0,34.1,35.0,1.3699989,4.0737405,4.0,107,0.38043832458496096,False,REGULAR,USD
23,AMZN270115C00220000,2024-10-18 19:14:49+00:00,220.0,31.28,30.15,31.25,1.1800003,3.9202669,5.0,177,0.3742128009033203,False,REGULAR,USD
24,AMZN270115C00230000,2024-10-17 19:03:20+00:00,230.0,26.51,26.6,27.8,0.0,0.0,35.0,152,0.36820089813232426,False,REGULAR,USD
25,AMZN270115C00240000,2024-10-16 19:54:10+00:00,240.0,23.35,23.55,24.55,0.0,0.0,2.0,143,0.36159390853881834,False,REGULAR,USD
26,AMZN270115C00250000,2024-10-18 19:00:27+00:00,250.0,21.88,20.0,21.8,1.289999,6.2651725,16.0,205,0.35718416259765623,False,REGULAR,USD
27,AMZN270115C00260000,2024-10-18 15:34:30+00:00,260.0,18.7,18.3,19.3,0.65999985,3.6585357,1.0,55,0.35289648574829097,False,REGULAR,USD
28,AMZN270115C00270000,2024-10-17 18:44:29+00:00,270.0,16.08,14.7,17.6,0.0,0.0,3.0,14,0.35416295257568353,False,REGULAR,USD
29,AMZN270115C00280000,2024-10-18 19:44:06+00:00,280.0,15.0,14.4,15.2,0.8999996,6.3829756,26.0,257,0.3467472552490234,False,REGULAR,USD
