,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,AMZN250620P00045000,2024-10-17 16:36:45+00:00,45.0,0.05,0.02,0.06,0.0,0.0,2,3455,0.632816171875,False,REGULAR,USD
1,AMZN250620P00050000,2024-10-17 16:35:50+00:00,50.0,0.06,0.03,0.07,0.0,0.0,11,942,0.6015664843750002,False,REGULAR,USD
2,AMZN250620P00055000,2024-10-16 16:13:46+00:00,55.0,0.08,0.07,0.09,0.0,0.0,18,2257,0.5888712988281251,False,REGULAR,USD
3,AMZN250620P00060000,2024-10-14 13:54:25+00:00,60.0,0.1,0.07,0.12,0.0,0.0,2,527,0.559574716796875,False,REGULAR,USD
4,AMZN250620P00065000,2024-09-25 19:47:58+00:00,65.0,0.14,0.1,0.14,0.0,0.0,10,536,0.5371140039062501,False,REGULAR,USD
5,AMZN250620P00070000,2024-10-09 17:32:04+00:00,70.0,0.17,0.12,0.17,0.0,0.0,150,2137,0.5136767382812499,False,REGULAR,USD
6,AMZN250620P00075000,2024-10-10 13:44:24+00:00,75.0,0.22,0.16,0.21,0.0,0.0,20,2992,0.5034229345703125,False,REGULAR,USD
7,AMZN250620P00080000,2024-09-24 17:42:43+00:00,80.0,0.26,0.2,0.25,0.0,0.0,10,1772,0.48242705078125003,False,REGULAR,USD
8,AMZN250620P00085000,2024-10-18 18:41:16+00:00,85.0,0.28,0.25,0.3,-0.08000001,-22.222225,2,2272,0.46289599609375004,False,REGULAR,USD
9,AMZN250620P00090000,2024-10-04 14:23:37+00:00,90.0,0.44,0.31,0.35,0.0,0.0,1,3825,0.4426325268554688,False,REGULAR,USD
10,AMZN250620P00095000,2024-10-17 16:48:53+00:00,95.0,0.41,0.38,0.42,0.0,0.0,5,6196,0.42529871582031253,False,REGULAR,USD
11,AMZN250620P00100000,2024-10-18 16:45:12+00:00,100.0,0.48,0.47,0.52,-0.03999999,-7.6923065,2,8615,0.411138701171875,False,REGULAR,USD
12,AMZN250620P00105000,2024-10-16 14:26:12+00:00,105.0,0.66,0.57,0.63,0.0,0.0,2,4167,0.39624627197265627,False,REGULAR,USD
13,AMZN250620P00110000,2024-10-17 19:57:06+00:00,110.0,0.77,0.71,0.77,0.0,0.0,5,5310,0.38281867187499996,False,REGULAR,USD
14,AMZN250620P00115000,2024-10-14 16:25:09+00:00,115.0,0.97,0.87,0.94,0.0,0.0,4,4129,0.370123486328125,False,REGULAR,USD
15,AMZN250620P00120000,2024-10-18 19:33:09+00:00,120.0,1.12,1.08,1.16,-0.059999943,-5.084741,3,4379,0.3587710607910156,False,REGULAR,USD
