,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,AVGO241115C00070000,2024-10-01 19:18:39+00:00,70.0,99.2,109.55,110.75,0.0,0.0,10.0,48,1.57422087890625,True,REGULAR,USD
1,AVGO241115C00075000,2024-08-07 17:56:01+00:00,75.0,65.9,64.0,64.45,0.0,0.0,,1,1.0000000000000003e-05,True,REGULAR,USD
2,AVGO241115C00080000,2024-10-09 14:20:30+00:00,80.0,100.83,99.55,100.75,0.0,0.0,10.0,17,1.3671906640625,True,REGULAR,USD
3,AVGO241115C00084000,2024-07-05 18:03:55+00:00,84.0,88.21,59.5,63.1,0.0,0.0,,20,1.0000000000000003e-05,True,REGULAR,USD
4,AVGO241115C00085000,2024-07-11 14:19:14+00:00,85.0,86.66,62.9,67.0,0.0,0.0,,10,1.0000000000000003e-05,True,REGULAR,USD
5,AVGO241115C00086000,2024-08-13 17:46:26+00:00,86.0,69.3,76.7,79.6,0.0,0.0,1.0,2,1.0000000000000003e-05,True,REGULAR,USD
6,AVGO241115C00088000,2024-08-07 16:44:50+00:00,88.0,56.3,51.35,51.85,0.0,0.0,1.0,2,1.0000000000000003e-05,True,REGULAR,USD
7,AVGO241115C00090000,2024-10-01 19:18:24+00:00,90.0,79.25,89.6,90.8,0.0,0.0,10.0,40,1.2158242333984375,True,REGULAR,USD
8,AVGO241115C00092000,2024-09-12 14:54:03+00:00,92.0,73.65,88.2,91.8,0.0,0.0,1.0,5,1.7089858300781249,True,REGULAR,USD
9,AVGO241115C00094000,2024-08-07 17:47:47+00:00,94.0,48.3,45.55,46.15,0.0,0.0,,2,1.0000000000000003e-05,True,REGULAR,USD
10,AVGO241115C00095000,2024-08-07 19:10:49+00:00,95.0,46.9,42.35,44.45,0.0,0.0,,3,1.0000000000000003e-05,True,REGULAR,USD
11,AVGO241115C00096000,2024-10-04 17:13:11+00:00,96.0,80.1,83.65,85.85,0.0,0.0,10.0,13,1.3286166381835933,True,REGULAR,USD
12,AVGO241115C00098000,2024-09-06 14:53:25+00:00,98.0,40.64,78.65,79.9,0.0,0.0,1.0,3,1.0000000000000003e-05,True,REGULAR,USD
13,AVGO241115C00100000,2024-10-15 14:30:59+00:00,100.0,75.99,79.65,80.85,0.0,0.0,3.0,161,1.0732468212890627,True,REGULAR,USD
