,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,AVGO270115P00085000,2024-10-15 19:06:38+00:00,85.0,4.5,3.45,4.1,0.0,0.0,3,29,0.4144345666503906,False,REGULAR,USD
1,AVGO270115P00090000,2024-09-27 14:04:43+00:00,90.0,4.9,4.1,5.2,0.0,0.0,2,14,0.4173031903076171,False,REGULAR,USD
2,AVGO270115P00095000,2024-10-14 19:46:48+00:00,95.0,5.15,4.9,5.8,0.0,0.0,2,7,0.40512679840087884,False,REGULAR,USD
3,AVGO270115P00100000,2024-10-17 15:57:42+00:00,100.0,6.05,5.85,6.6,0.0,0.0,1,4,0.39670403106689456,False,REGULAR,USD
4,AVGO270115P00110000,2024-10-07 17:08:25+00:00,110.0,8.54,7.7,8.55,0.0,0.0,2,16,0.3832153964233398,False,REGULAR,USD
5,AVGO270115P00115000,2024-10-15 14:36:11+00:00,115.0,9.95,8.85,10.25,0.0,0.0,5,244,0.3866943655395507,False,REGULAR,USD
6,AVGO270115P00120000,2024-10-09 19:29:04+00:00,120.0,9.96,10.1,11.55,0.0,0.0,1,74,0.3815369464111328,False,REGULAR,USD
7,AVGO270115P00125000,2024-10-14 16:42:27+00:00,125.0,11.75,11.45,12.95,0.0,0.0,10,22,0.3765931481933594,False,REGULAR,USD
8,AVGO270115P00130000,2024-10-16 14:21:11+00:00,130.0,13.8,12.9,13.8,0.0,0.0,1,8,0.3630129617309571,False,REGULAR,USD
9,AVGO270115P00135000,2024-10-16 18:50:39+00:00,135.0,15.45,14.75,15.4,0.0,0.0,15,30,0.35881683670043946,False,REGULAR,USD
10,AVGO270115P00140000,2024-10-17 19:49:29+00:00,140.0,16.6,16.2,17.4,0.0,0.0,3,238,0.35831330169677733,False,REGULAR,USD
11,AVGO270115P00145000,2024-10-08 19:22:10+00:00,145.0,18.55,18.0,19.0,0.0,0.0,34,46,0.35167579483032224,False,REGULAR,USD
12,AVGO270115P00150000,2024-10-18 14:18:14+00:00,150.0,20.25,20.0,20.9,-0.20000076,-0.9779988,1,139,0.34751018707275383,False,REGULAR,USD
13,AVGO270115P00155000,2024-10-11 14:13:55+00:00,155.0,22.7,21.95,23.0,0.0,0.0,1,25,0.34442794250488284,False,REGULAR,USD
14,AVGO270115P00160000,2024-10-17 19:58:33+00:00,160.0,24.52,24.1,25.3,0.0,0.0,11,120,0.3423375093078613,False,REGULAR,USD
15,AVGO270115P00165000,2024-10-10 15:12:29+00:00,165.0,25.8,26.35,27.7,0.0,0.0,1,5,0.34015552429199214,False,REGULAR,USD
16,AVGO270115P00170000,2024-10-17 17:33:04+00:00,170.0,28.38,28.75,30.4,0.0,0.0,1,72,0.3398961274719238,False,REGULAR,USD
17,AVGO270115P00175000,2024-10-11 17:24:01+00:00,175.0,31.2,31.25,32.55,0.0,0.0,1,15,0.33316706878662117,False,REGULAR,USD
18,AVGO270115P00180000,2024-10-17 17:33:04+00:00,180.0,33.35,33.8,35.65,0.0,0.0,1,45,0.3347081910705566,True,REGULAR,USD
19,AVGO270115P00185000,2024-10-10 16:44:13+00:00,185.0,35.4,36.5,38.35,0.0,0.0,4,7,0.331412325592041,True,REGULAR,USD
20,AVGO270115P00190000,2024-10-17 17:33:04+00:00,190.0,38.53,39.25,40.95,0.0,0.0,1,22,0.32627016510009765,True,REGULAR,USD
21,AVGO270115P00195000,2024-10-09 18:28:28+00:00,195.0,40.57,42.15,44.05,0.0,0.0,2,4,0.324927405090332,True,REGULAR,USD
22,AVGO270115P00200000,2024-10-16 15:14:57+00:00,200.0,47.75,45.1,47.05,0.0,0.0,2,2,0.32175360870361325,True,REGULAR,USD
23,AVGO270115P00220000,2024-09-20 17:29:41+00:00,220.0,64.87,57.9,59.85,0.0,0.0,1,4,0.30811238769531246,True,REGULAR,USD
