,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,BAC250516C00030000,2024-10-16 16:11:26+00:00,30.0,13.4,12.15,13.1,0.0,0.0,1,1,0.4157773266601562,True,REGULAR,USD
1,BAC250516C00035000,2024-10-18 17:28:51+00:00,35.0,8.65,7.75,8.55,-0.40000057,-4.4198956,1,11,0.3288641333007812,True,REGULAR,USD
2,BAC250516C00036000,2024-10-15 19:16:17+00:00,36.0,7.85,7.45,7.75,0.0,0.0,4,9,0.32019722778320303,True,REGULAR,USD
3,BAC250516C00037000,2024-10-18 16:21:18+00:00,37.0,7.08,6.05,6.95,0.049999714,0.71123344,35,9,0.3090889404296875,True,REGULAR,USD
4,BAC250516C00038000,2024-10-18 19:20:28+00:00,38.0,6.15,6.05,6.2,-0.6199999,-9.158049,1,7,0.3002999658203125,True,REGULAR,USD
5,BAC250516C00039000,2024-10-18 19:43:25+00:00,39.0,5.45,5.2,5.5,-0.5500002,-9.16667,6,112,0.29321995849609367,True,REGULAR,USD
6,BAC250516C00040000,2024-10-17 19:03:29+00:00,40.0,5.1,4.7,4.8,0.0,0.0,60,166,0.2829661547851562,True,REGULAR,USD
7,BAC250516C00041000,2024-10-17 17:23:11+00:00,41.0,4.49,4.05,4.15,0.0,0.0,5,367,0.2740551110839844,True,REGULAR,USD
8,BAC250516C00042000,2024-10-18 18:32:51+00:00,42.0,3.6,3.45,3.6,-0.3000002,-7.6923122,2,323,0.26978269287109374,True,REGULAR,USD
9,BAC250516C00043000,2024-10-18 17:39:59+00:00,43.0,3.05,2.97,3.05,-0.35000014,-10.294122,13,147,0.2620923400878906,False,REGULAR,USD
10,BAC250516C00044000,2024-10-17 17:49:36+00:00,44.0,2.87,2.31,2.55,0.0,0.0,77,438,0.25476819458007816,False,REGULAR,USD
11,BAC250516C00045000,2024-10-17 17:17:46+00:00,45.0,2.38,2.09,2.15,0.0,0.0,4,1149,0.2515943981933594,False,REGULAR,USD
12,BAC250516C00046000,2024-10-18 19:16:40+00:00,46.0,1.77,1.52,1.76,-0.22000003,-11.055278,63,21,0.2456130126953125,False,REGULAR,USD
13,BAC250516C00047000,2024-10-18 14:28:28+00:00,47.0,1.45,1.41,1.44,-0.21999991,-13.173647,16,134,0.2417068017578125,False,REGULAR,USD
14,BAC250516C00048000,2024-10-18 18:30:09+00:00,48.0,1.2,0.94,1.17,-0.16999996,-12.408755,26,400,0.23853300537109373,False,REGULAR,USD
15,BAC250516C00050000,2024-10-18 14:33:02+00:00,50.0,0.77,0.72,0.75,-0.120000005,-13.483148,2,210,0.23279575805664063,False,REGULAR,USD
16,BAC250516C00055000,2024-10-18 19:14:56+00:00,55.0,0.23,0.22,0.24,-0.059999987,-20.689651,5,35,0.22901161621093752,False,REGULAR,USD
17,BAC250516C00060000,2024-10-17 18:22:52+00:00,60.0,0.11,0.07,0.09,0.0,0.0,7,24,0.23731231445312498,False,REGULAR,USD
