,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,BAC250919P00020000,2024-10-16 16:13:23+00:00,20.0,0.14,0.14,0.16,0.0,0.0,3,359,0.42969320312500003,False,REGULAR,USD
1,BAC250919P00023000,2024-10-16 14:27:52+00:00,23.0,0.21,0.2,0.23,0.0,0.0,2,165,0.383795224609375,False,REGULAR,USD
2,BAC250919P00025000,2024-10-16 13:31:13+00:00,25.0,0.27,0.26,0.29,0.0,0.0,5,994,0.3549869189453124,False,REGULAR,USD
3,BAC250919P00028000,2024-10-18 15:49:49+00:00,28.0,0.4,0.4,0.43,-0.00999999,-2.439022,1,431,0.3193427441406249,False,REGULAR,USD
4,BAC250919P00030000,2024-10-18 18:15:00+00:00,30.0,0.54,0.54,0.58,-0.01999998,-3.571425,7,1888,0.30054410400390624,False,REGULAR,USD
5,BAC250919P00033000,2024-10-18 18:49:58+00:00,33.0,0.88,0.87,0.9,0.00999999,1.1494242,87,4949,0.2739330419921875,False,REGULAR,USD
6,BAC250919P00035000,2024-10-16 16:24:47+00:00,35.0,1.18,1.19,1.23,0.0,0.0,4,1836,0.2601392346191406,False,REGULAR,USD
7,BAC250919P00037000,2024-10-18 16:22:41+00:00,37.0,1.61,1.62,1.68,0.03999996,2.547768,54,3339,0.24842060180664063,False,REGULAR,USD
8,BAC250919P00040000,2024-10-17 17:25:55+00:00,40.0,2.42,2.53,2.59,0.0,0.0,13,4083,0.23120885986328127,False,REGULAR,USD
9,BAC250919P00042000,2024-10-18 16:37:08+00:00,42.0,3.25,3.3,3.4,-0.3900001,-10.714288,10,2476,0.22095505615234373,False,REGULAR,USD
10,BAC250919P00045000,2024-10-18 19:39:13+00:00,45.0,4.85,4.8,4.95,0.1500001,3.1914916,116,717,0.2067950415039062,True,REGULAR,USD
11,BAC250919P00047000,2024-10-15 13:46:21+00:00,47.0,6.1,6.05,6.15,0.0,0.0,299,914,0.19336744140625,True,REGULAR,USD
12,BAC250919P00050000,2024-10-15 15:41:04+00:00,50.0,8.01,7.8,8.35,0.0,0.0,1,99,0.1772543212890625,True,REGULAR,USD
13,BAC250919P00055000,2024-09-09 18:48:22+00:00,55.0,15.8,13.75,14.85,0.0,0.0,600,519,0.3629214099121094,True,REGULAR,USD
