,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,BRKB241220C00200000,2024-10-11 15:06:30+00:00,200.0,263.5,264.9,268.3,0.0,0.0,2.0,4,1.1064497802734377,True,REGULAR,USD
1,BRKB241220C00210000,2024-01-26 18:01:13+00:00,210.0,183.55,215.55,219.5,0.0,0.0,22.0,11,1.0000000000000003e-05,True,REGULAR,USD
2,BRKB241220C00220000,2024-09-16 14:16:01+00:00,220.0,234.8,244.9,248.15,0.0,0.0,2.0,44,0.9858399853515626,True,REGULAR,USD
3,BRKB241220C00230000,2024-09-19 13:48:19+00:00,230.0,230.89,235.25,238.6,0.0,0.0,8.0,28,0.9699710034179687,True,REGULAR,USD
4,BRKB241220C00240000,2024-06-10 15:31:17+00:00,240.0,177.83,177.75,180.05,0.0,0.0,,100,1.0000000000000003e-05,True,REGULAR,USD
5,BRKB241220C00250000,2024-09-16 16:46:36+00:00,250.0,202.44,215.6,219.1,0.0,0.0,52.0,62,0.9001474829101561,True,REGULAR,USD
6,BRKB241220C00260000,2024-09-09 17:29:57+00:00,260.0,208.05,197.05,200.35,0.0,0.0,1.0,7,1.0000000000000003e-05,True,REGULAR,USD
7,BRKB241220C00270000,2024-09-24 19:20:32+00:00,270.0,186.75,195.65,199.0,0.0,0.0,2.0,9,0.8015156567382812,True,REGULAR,USD
8,BRKB241220C00280000,2024-10-10 18:56:20+00:00,280.0,176.06,185.7,188.95,0.0,0.0,11.0,22,0.7556176782226562,True,REGULAR,USD
9,BRKB241220C00290000,2024-09-12 15:18:01+00:00,290.0,166.39,171.1,175.15,0.0,0.0,4.0,15,0.508793974609375,True,REGULAR,USD
10,BRKB241220C00300000,2024-09-17 17:35:13+00:00,300.0,159.14,166.5,169.75,0.0,0.0,1.0,12,0.7100859069824219,True,REGULAR,USD
11,BRKB241220C00305000,2024-09-18 14:03:48+00:00,305.0,155.07,159.6,163.05,0.0,0.0,,2,0.5839885351562499,True,REGULAR,USD
12,BRKB241220C00310000,2024-08-12 15:19:51+00:00,310.0,127.5,145.35,150.0,0.0,0.0,4.0,6,1.0000000000000003e-05,True,REGULAR,USD
13,BRKB241220C00315000,2024-06-21 18:51:51+00:00,315.0,104.12,125.0,129.25,0.0,0.0,1.0,1,1.0000000000000003e-05,True,REGULAR,USD
14,BRKB241220C00320000,2024-09-23 13:31:03+00:00,320.0,141.98,145.65,149.55,0.0,0.0,1.0,3,0.5988809643554689,True,REGULAR,USD
15,BRKB241220C00325000,2024-05-03 18:39:42+00:00,325.0,91.66,99.0,103.5,0.0,0.0,67.0,67,1.0000000000000003e-05,True,REGULAR,USD
16,BRKB241220C00330000,2024-09-30 15:01:28+00:00,330.0,131.8,136.25,139.65,0.0,0.0,2.0,32,0.5740399041748048,True,REGULAR,USD
17,BRKB241220C00335000,2024-10-03 13:43:02+00:00,335.0,121.7,130.85,134.75,0.0,0.0,1.0,4,0.5472457385253908,True,REGULAR,USD
18,BRKB241220C00340000,2024-08-12 15:24:06+00:00,340.0,98.1,116.3,121.0,0.0,0.0,8.0,9,1.0000000000000003e-05,True,REGULAR,USD
19,BRKB241220C00345000,2024-07-31 19:00:54+00:00,345.0,103.0,134.4,138.95,0.0,0.0,1.0,1,0.8780529772949219,True,REGULAR,USD
20,BRKB241220C00350000,2024-09-20 17:30:22+00:00,350.0,112.53,116.6,119.25,0.0,0.0,6.0,301,0.5407760766601564,True,REGULAR,USD
21,BRKB241220C00355000,2024-09-10 14:36:36+00:00,355.0,110.61,101.85,105.35,0.0,0.0,4.0,39,1.0000000000000003e-05,True,REGULAR,USD
22,BRKB241220C00360000,2024-10-15 14:20:06+00:00,360.0,107.0,106.7,110.1,0.0,0.0,582.0,243,0.5252733020019531,True,REGULAR,USD
23,BRKB241220C00365000,2024-09-19 19:53:33+00:00,365.0,100.16,101.9,105.15,0.0,0.0,3.0,27,0.5055591436767577,True,REGULAR,USD
24,BRKB241220C00370000,2024-10-17 16:30:25+00:00,370.0,100.28,97.35,100.25,0.0,0.0,1.0,200,0.48730981445312505,True,REGULAR,USD
25,BRKB241220C00375000,2024-10-17 19:43:43+00:00,375.0,94.74,92.1,95.4,0.0,0.0,4.0,53,0.4703422106933594,True,REGULAR,USD
26,BRKB241220C00380000,2024-09-26 19:13:42+00:00,380.0,80.15,87.7,90.5,0.0,0.0,1.0,250,0.4519097778320313,True,REGULAR,USD
27,BRKB241220C00385000,2024-10-15 19:22:52+00:00,385.0,82.4,82.4,85.7,0.0,0.0,16.0,55,0.4359187268066406,True,REGULAR,USD
28,BRKB241220C00390000,2024-10-16 13:53:41+00:00,390.0,79.65,77.85,80.85,0.0,0.0,2.0,316,0.4184628466796875,True,REGULAR,USD
29,BRKB241220C00395000,2024-10-18 13:45:17+00:00,395.0,73.7,73.1,75.35,-2.550003,-3.3442662,3.0,421,0.3857483300781249,True,REGULAR,USD
30,BRKB241220C00400000,2024-10-16 13:53:41+00:00,400.0,70.05,67.55,71.1,0.0,0.0,8.0,581,0.3819031536865234,True,REGULAR,USD
31,BRKB241220C00405000,2024-10-17 14:16:04+00:00,405.0,66.1,62.75,66.35,0.0,0.0,19.0,417,0.36597313720703123,True,REGULAR,USD
32,BRKB241220C00410000,2024-10-17 14:00:35+00:00,410.0,61.9,59.15,60.8,0.0,0.0,12.0,257,0.3332586206054688,True,REGULAR,USD
33,BRKB241220C00415000,2024-10-18 15:20:07+00:00,415.0,54.28,53.95,56.65,-1.9700012,-3.5022244,89.0,382,0.32901671966552726,True,REGULAR,USD
34,BRKB241220C00420000,2024-10-18 18:23:51+00:00,420.0,50.63,49.65,51.25,-2.1699982,-4.109845,1.0,963,0.29968962036132807,True,REGULAR,USD
35,BRKB241220C00425000,2024-10-18 18:07:54+00:00,425.0,45.35,45.1,46.6,-1.6500015,-3.5106416,1.0,248,0.28446150115966784,True,REGULAR,USD
36,BRKB241220C00430000,2024-10-18 18:07:54+00:00,430.0,40.9,41.05,42.3,-2.3499985,-5.4335227,2.0,926,0.2744518356323242,True,REGULAR,USD
37,BRKB241220C00435000,2024-10-18 19:50:03+00:00,435.0,37.48,36.15,37.75,0.40999985,1.1060152,1.0,299,0.2589490609741212,True,REGULAR,USD
38,BRKB241220C00440000,2024-10-18 15:32:22+00:00,440.0,32.25,32.15,34.2,-1.4000015,-4.16048,6.0,853,0.2577894046020508,True,REGULAR,USD
39,BRKB241220C00445000,2024-10-18 19:08:42+00:00,445.0,28.2,28.1,29.45,-1.7999992,-5.9999976,8.0,199,0.23651886535644528,True,REGULAR,USD
40,BRKB241220C00450000,2024-10-18 19:59:20+00:00,450.0,24.96,24.5,25.5,-0.8900013,-3.442945,19.0,1254,0.2254716125488281,True,REGULAR,USD
41,BRKB241220C00455000,2024-10-18 18:07:54+00:00,455.0,20.95,20.75,21.8,-2.0900002,-9.071181,7.0,680,0.21566030929565427,True,REGULAR,USD
