,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,BRKB241101P00345000,2024-10-11 13:55:24+00:00,345.0,0.09,0.0,0.66,0.0,0.0,1.0,0,0.7138700488281251,False,REGULAR,USD
1,BRKB241101P00350000,2024-09-13 18:21:13+00:00,350.0,0.18,0.0,1.29,0.0,0.0,,1,0.7585473364257813,False,REGULAR,USD
2,BRKB241101P00355000,2024-09-16 16:19:25+00:00,355.0,0.23,0.0,0.12,0.0,0.0,,1,0.5273484765625001,False,REGULAR,USD
3,BRKB241101P00360000,2024-09-17 16:52:17+00:00,360.0,0.4,0.0,0.66,0.0,0.0,,1,0.6235389208984375,False,REGULAR,USD
4,BRKB241101P00365000,2024-09-19 15:46:24+00:00,365.0,0.36,0.0,0.66,0.0,0.0,,1,0.5942423388671876,False,REGULAR,USD
5,BRKB241101P00370000,2024-09-24 14:25:09+00:00,370.0,0.4,0.0,0.66,0.0,0.0,,17,0.5649457568359376,False,REGULAR,USD
6,BRKB241101P00375000,2024-10-10 16:12:18+00:00,375.0,0.14,0.0,0.19,0.0,0.0,,5,0.495122236328125,False,REGULAR,USD
7,BRKB241101P00385000,2024-10-18 17:52:21+00:00,385.0,0.34,0.0,0.16,0.11,47.826084,1.0,3,0.43115803222656257,False,REGULAR,USD
8,BRKB241101P00390000,2024-10-08 18:03:46+00:00,390.0,0.25,0.01,0.68,0.0,0.0,2.0,2,0.5105029418945313,False,REGULAR,USD
9,BRKB241101P00395000,2024-10-16 14:21:46+00:00,395.0,0.05,0.01,0.69,0.0,0.0,6.0,7,0.4809622216796875,False,REGULAR,USD
10,BRKB241101P00400000,2024-10-18 17:52:21+00:00,400.0,0.17,0.03,0.18,0.16,1600.0,2.0,10,0.35986968261718744,False,REGULAR,USD
11,BRKB241101P00405000,2024-10-17 18:40:04+00:00,405.0,0.11,0.03,0.51,0.0,0.0,23.0,25,0.39600213378906257,False,REGULAR,USD
12,BRKB241101P00410000,2024-10-17 15:51:52+00:00,410.0,0.15,0.04,0.31,0.0,0.0,15.0,31,0.3354558642578125,False,REGULAR,USD
13,BRKB241101P00415000,2024-10-18 17:18:48+00:00,415.0,0.11,0.1,0.12,-0.13,-54.166668,4.0,126,0.2661206201171875,False,REGULAR,USD
14,BRKB241101P00420000,2024-10-18 18:59:36+00:00,420.0,0.14,0.12,0.15,-0.14999999,-51.724136,5.0,48,0.24951922363281248,False,REGULAR,USD
15,BRKB241101P00425000,2024-10-18 16:22:47+00:00,425.0,0.19,0.16,0.19,-0.26,-57.777775,2.0,56,0.2329178271484375,False,REGULAR,USD
16,BRKB241101P00430000,2024-10-18 19:05:45+00:00,430.0,0.22,0.2,0.24,-0.13,-37.142857,3.0,314,0.2153398779296875,False,REGULAR,USD
17,BRKB241101P00435000,2024-10-18 19:34:54+00:00,435.0,0.3,0.27,0.32,-0.19999999,-39.999996,19.0,87,0.19898261962890623,False,REGULAR,USD
18,BRKB241101P00440000,2024-10-18 17:18:31+00:00,440.0,0.43,0.38,0.43,-0.21999997,-33.84615,16.0,109,0.18177087768554687,False,REGULAR,USD
19,BRKB241101P00445000,2024-10-18 19:34:54+00:00,445.0,0.58,0.57,0.64,-0.31,-34.831463,9.0,152,0.16748879394531252,False,REGULAR,USD
20,BRKB241101P00450000,2024-10-18 19:16:46+00:00,450.0,1.0,0.93,1.36,-0.42999995,-30.069927,31.0,209,0.1710287976074219,False,REGULAR,USD
21,BRKB241101P00455000,2024-10-18 19:59:39+00:00,455.0,1.67,1.6,1.73,-0.5300001,-24.090914,73.0,66,0.1456994610595703,False,REGULAR,USD
22,BRKB241101P00460000,2024-10-18 19:42:00+00:00,460.0,2.95,2.73,2.9,-0.14999986,-4.838705,50.0,205,0.13654427917480472,False,REGULAR,USD
23,BRKB241101P00465000,2024-10-18 18:13:40+00:00,465.0,4.7,4.45,4.75,-0.1500001,-3.0927856,41.0,48,0.12799944274902342,True,REGULAR,USD
24,BRKB241101P00470000,2024-10-18 19:02:34+00:00,470.0,7.25,6.95,8.45,0.25,3.5714288,20.0,38,0.14954463745117189,True,REGULAR,USD
25,BRKB241101P00480000,2024-10-04 18:21:04+00:00,480.0,20.75,13.95,17.0,0.0,0.0,1.0,0,0.18677571044921876,True,REGULAR,USD
