,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,CMCSA260116C00020000,2024-09-24 17:41:13+00:00,20.0,21.28,22.05,22.3,0.0,0.0,3,11,0.43164630859375,True,REGULAR,USD
1,CMCSA260116C00022500,2024-09-05 13:39:03+00:00,22.5,17.2,18.6,19.3,0.0,0.0,11,31,1.0000000000000003e-05,True,REGULAR,USD
2,CMCSA260116C00025000,2024-10-01 19:17:21+00:00,25.0,17.19,16.95,17.7,0.0,0.0,1,29,0.38550419189453117,True,REGULAR,USD
3,CMCSA260116C00027500,2024-08-15 14:30:26+00:00,27.5,15.3,11.5,13.25,0.0,0.0,1,25,1.0000000000000003e-05,True,REGULAR,USD
4,CMCSA260116C00030000,2024-10-18 14:23:19+00:00,30.0,13.25,13.1,15.25,0.0,0.0,10,69,0.5036670727539063,True,REGULAR,USD
5,CMCSA260116C00032500,2024-10-16 19:42:26+00:00,32.5,11.55,11.05,11.3,0.0,0.0,1,189,0.3232489550781249,True,REGULAR,USD
6,CMCSA260116C00035000,2024-10-18 17:44:19+00:00,35.0,9.55,8.35,9.4,1.1500006,13.690483,2,555,0.30676962768554683,True,REGULAR,USD
7,CMCSA260116C00037500,2024-10-16 13:47:54+00:00,37.5,8.1,7.4,7.8,0.0,0.0,11,470,0.3007882421875,True,REGULAR,USD
8,CMCSA260116C00040000,2024-10-17 16:22:32+00:00,40.0,6.1,5.1,6.25,0.0,0.0,6,4373,0.2877268493652343,True,REGULAR,USD
9,CMCSA260116C00042500,2024-10-16 17:22:55+00:00,42.5,5.06,4.35,4.95,0.0,0.0,1,670,0.2791820129394531,False,REGULAR,USD
10,CMCSA260116C00045000,2024-10-17 13:44:36+00:00,45.0,3.91,2.79,3.85,0.0,0.0,3,1069,0.2718578674316406,False,REGULAR,USD
11,CMCSA260116C00047500,2024-10-14 19:32:33+00:00,47.5,2.92,2.52,2.99,0.0,0.0,5,712,0.26819579467773436,False,REGULAR,USD
12,CMCSA260116C00050000,2024-10-15 14:38:01+00:00,50.0,2.49,2.08,2.27,0.0,0.0,1,19681,0.26367923828125,False,REGULAR,USD
13,CMCSA260116C00052500,2024-10-18 17:49:57+00:00,52.5,1.75,1.57,1.85,0.22000003,14.379087,3,1209,0.2695385546875,False,REGULAR,USD
14,CMCSA260116C00055000,2024-10-15 17:55:00+00:00,55.0,1.38,1.13,1.34,0.0,0.0,10,7410,0.2624585473632813,False,REGULAR,USD
15,CMCSA260116C00060000,2024-10-16 14:01:40+00:00,60.0,0.8,0.61,0.83,0.0,0.0,100,956,0.26709717285156254,False,REGULAR,USD
16,CMCSA260116C00065000,2024-10-15 17:55:00+00:00,65.0,0.46,0.36,0.5,0.0,0.0,20,819,0.2690502783203125,False,REGULAR,USD
