,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,CMCSA250417P00020000,2024-09-20 19:54:25+00:00,20.0,0.2,0.01,0.23,0.0,0.0,1.0,182.0,0.5507857421875001,False,REGULAR,USD
1,CMCSA250417P00022500,2024-09-12 19:40:16+00:00,22.5,0.23,0.03,1.35,0.0,0.0,,48.0,0.6894562304687502,False,REGULAR,USD
2,CMCSA250417P00025000,2024-10-03 19:14:30+00:00,25.0,0.35,0.05,1.38,0.0,0.0,4.0,253.0,0.5991251025390626,False,REGULAR,USD
3,CMCSA250417P00027500,2024-10-18 16:37:04+00:00,27.5,0.18,0.09,0.54,-0.09,-33.333336,2.0,819.0,0.47119669433593747,False,REGULAR,USD
4,CMCSA250417P00030000,2024-10-10 17:21:23+00:00,30.0,0.33,0.27,0.31,-0.06999999,-17.499998,20.0,6036.0,0.3398503515625,False,REGULAR,USD
5,CMCSA250417P00032500,2024-10-17 18:06:08+00:00,32.5,0.47,0.43,0.55,0.0,0.0,73.0,321.0,0.3227606787109374,False,REGULAR,USD
6,CMCSA250417P00035000,2024-10-18 19:45:20+00:00,35.0,0.76,0.7,0.79,0.0,0.0,50.0,1071.0,0.28784891845703114,False,REGULAR,USD
7,CMCSA250417P00037500,2024-10-17 18:04:26+00:00,37.5,1.23,1.01,1.26,0.0,0.0,2.0,328.0,0.26636475830078127,False,REGULAR,USD
8,CMCSA250417P00040000,2024-10-18 14:57:23+00:00,40.0,1.9,1.82,2.21,-0.060000062,-3.0612276,22.0,865.0,0.26807372558593745,False,REGULAR,USD
9,CMCSA250417P00042500,2024-10-18 16:43:41+00:00,42.5,2.92,2.11,4.75,-0.12999988,-4.2622914,6.0,509.0,0.37720349365234374,True,REGULAR,USD
10,CMCSA250417P00045000,2024-10-17 18:01:10+00:00,45.0,4.4,3.4,5.55,0.0,0.0,1.0,583.0,0.31372756591796874,True,REGULAR,USD
11,CMCSA250417P00047500,2024-09-13 14:12:01+00:00,47.5,8.35,6.5,6.9,0.0,0.0,,264.0,0.27295648925781246,True,REGULAR,USD
12,CMCSA250417P00060000,2024-10-08 19:30:53+00:00,60.0,19.0,17.6,19.85,0.0,0.0,,,0.5434615966796876,True,REGULAR,USD
