,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,COST260116C00265000,2024-09-12 15:00:50+00:00,265.0,653.65,632.0,642.0,0.0,0.0,3.0,28.0,0.7467066345214843,True,REGULAR,USD
1,COST260116C00275000,2024-10-14 18:41:00+00:00,275.0,631.3,623.0,633.0,0.0,0.0,2.0,125.0,0.7392299026489256,True,REGULAR,USD
2,COST260116C00280000,2023-12-21 15:40:43+00:00,280.0,401.62,0.0,0.0,0.0,0.0,6.0,36.0,1.0000000000000003e-05,True,REGULAR,USD
3,COST260116C00285000,2023-12-21 15:39:55+00:00,285.0,383.53,424.0,434.0,0.0,0.0,,7.0,1.0000000000000003e-05,True,REGULAR,USD
4,COST260116C00290000,2023-10-20 17:58:00+00:00,290.0,297.95,309.35,317.0,0.0,0.0,1.0,44.0,1.0000000000000003e-05,True,REGULAR,USD
5,COST260116C00295000,2024-03-01 15:02:56+00:00,295.0,469.62,453.0,462.95,0.0,0.0,5.0,13.0,1.0000000000000003e-05,True,REGULAR,USD
6,COST260116C00300000,2023-12-21 15:39:55+00:00,300.0,383.53,0.0,0.0,0.0,0.0,17.0,7.0,1.0000000000000003e-05,True,REGULAR,USD
7,COST260116C00305000,2024-08-29 15:52:43+00:00,305.0,602.72,590.0,599.0,0.0,0.0,1.0,12.0,0.6320227227783204,True,REGULAR,USD
8,COST260116C00310000,2023-12-06 20:03:47+00:00,310.0,323.0,0.0,0.0,0.0,0.0,3.0,10.0,1.0000000000000003e-05,True,REGULAR,USD
9,COST260116C00315000,2023-12-20 16:53:49+00:00,315.0,359.68,398.0,407.0,0.0,0.0,,11.0,1.0000000000000003e-05,True,REGULAR,USD
10,COST260116C00320000,2023-12-19 20:58:56+00:00,320.0,381.0,0.0,0.0,0.0,0.0,,4.0,1.0000000000000003e-05,True,REGULAR,USD
11,COST260116C00325000,2023-12-19 20:28:04+00:00,325.0,359.5,389.0,398.0,0.0,0.0,,1.0,1.0000000000000003e-05,True,REGULAR,USD
12,COST260116C00330000,2023-12-20 16:53:49+00:00,330.0,359.68,0.0,0.0,0.0,0.0,,11.0,1.0000000000000003e-05,True,REGULAR,USD
13,COST260116C00335000,2024-09-24 14:08:16+00:00,335.0,583.0,567.0,576.0,0.0,0.0,1.0,32.0,0.6637301693725587,True,REGULAR,USD
14,COST260116C00340000,2024-10-15 18:28:10+00:00,340.0,570.33,562.0,572.0,0.0,0.0,4.0,5.0,0.6599307688903808,True,REGULAR,USD
15,COST260116C00345000,2024-10-15 18:18:41+00:00,345.0,565.35,557.0,567.0,0.0,0.0,4.0,14.0,0.6510655010986328,True,REGULAR,USD
16,COST260116C00350000,2024-09-25 18:31:39+00:00,350.0,574.0,552.0,562.0,0.0,0.0,1.0,7.0,0.6423375610351563,True,REGULAR,USD
17,COST260116C00355000,2024-01-16 05:12:36+00:00,355.0,237.14,,,0.0,0.0,,,0.0,True,REGULAR,USD
