,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,COST241108P00580000,2024-10-10 19:52:36+00:00,580.0,0.66,,2.53,0.0,0.0,,1,0.9984131018066407,False,REGULAR,USD
1,COST241108P00610000,2024-10-10 18:04:10+00:00,610.0,0.27,,2.53,0.0,0.0,,2,0.8969736865234373,False,REGULAR,USD
2,COST241108P00650000,2024-10-16 19:28:42+00:00,650.0,0.3,0.0,2.54,0.0,0.0,3.0,9,0.6785920812988282,False,REGULAR,USD
3,COST241108P00715000,2024-10-04 19:52:55+00:00,715.0,0.57,0.05,3.95,0.0,0.0,6.0,6,0.5427291821289064,False,REGULAR,USD
4,COST241108P00720000,2024-10-15 19:50:34+00:00,720.0,0.25,0.06,3.95,0.0,0.0,1.0,8,0.5286912365722658,False,REGULAR,USD
5,COST241108P00725000,2024-10-04 17:42:46+00:00,725.0,0.69,0.07,4.0,0.0,0.0,2.0,2,0.5159960510253907,False,REGULAR,USD
6,COST241108P00730000,2024-10-04 14:09:18+00:00,730.0,0.72,0.07,2.73,0.0,0.0,8.0,8,0.5338181384277343,False,REGULAR,USD
7,COST241108P00735000,2024-10-18 19:40:49+00:00,735.0,0.04,0.08,2.76,-3.47,-98.8604,1.0,1,0.5202684692382812,False,REGULAR,USD
8,COST241108P00740000,2024-10-04 17:45:28+00:00,740.0,0.79,0.09,2.81,0.0,0.0,2.0,2,0.5074512145996093,False,REGULAR,USD
9,COST241108P00750000,2024-10-18 15:53:57+00:00,750.0,0.3,0.12,2.89,0.09000002,42.85715,1.0,4,0.48090118713378904,False,REGULAR,USD
10,COST241108P00755000,2024-10-15 16:10:51+00:00,755.0,0.45,0.13,3.15,0.0,0.0,10.0,20,0.47559118164062497,False,REGULAR,USD
11,COST241108P00760000,2024-10-16 13:32:27+00:00,760.0,0.6,0.16,4.25,0.0,0.0,10.0,13,0.49646499633789065,False,REGULAR,USD
12,COST241108P00765000,2024-10-08 15:08:54+00:00,765.0,1.4,0.18,3.05,0.0,0.0,10.0,13,0.44214425048828127,False,REGULAR,USD
13,COST241108P00770000,2024-10-18 18:04:10+00:00,770.0,0.47,0.21,3.1,-0.33,-41.250004,1.0,14,0.42896078857421877,False,REGULAR,USD
14,COST241108P00775000,2024-10-04 17:50:44+00:00,775.0,1.93,0.24,4.85,0.0,0.0,10.0,10,0.4658866888427735,False,REGULAR,USD
15,COST241108P00780000,2024-10-18 16:53:23+00:00,780.0,0.47,0.28,1.71,-0.73,-60.833336,42.0,11,0.34778484252929687,False,REGULAR,USD
16,COST241108P00785000,2024-10-18 19:40:49+00:00,785.0,0.92,0.33,3.35,-0.33999997,-26.984125,2.0,26,0.3919128192138671,False,REGULAR,USD
17,COST241108P00790000,2024-10-17 14:42:04+00:00,790.0,1.12,0.39,3.5,0.0,0.0,1.0,5,0.3811707391357422,False,REGULAR,USD
18,COST241108P00795000,2024-10-17 18:15:45+00:00,795.0,1.38,0.43,1.57,0.0,0.0,3.0,19,0.3013985876464844,False,REGULAR,USD
19,COST241108P00800000,2024-10-18 18:01:20+00:00,800.0,1.22,0.51,1.6,-0.39,-24.223602,5.0,49,0.28919167846679683,False,REGULAR,USD
20,COST241108P00805000,2024-10-18 17:23:09+00:00,805.0,1.32,0.65,2.24,-0.3499999,-20.95808,261.0,23,0.29834686035156244,False,REGULAR,USD
21,COST241108P00810000,2024-10-17 18:08:39+00:00,810.0,2.21,0.82,2.66,0.0,0.0,3.0,46,0.29688203124999996,False,REGULAR,USD
22,COST241108P00815000,2024-10-18 13:55:19+00:00,815.0,2.1,1.2,2.69,-0.10000014,-4.545461,250.0,37,0.28302718933105464,False,REGULAR,USD
23,COST241108P00820000,2024-10-17 19:51:22+00:00,820.0,2.75,1.38,2.85,0.0,0.0,8.0,46,0.27255976470947263,False,REGULAR,USD
24,COST241108P00825000,2024-10-18 17:23:09+00:00,825.0,2.38,1.22,3.0,-0.7199998,-23.225801,17.0,202,0.2613599255371094,False,REGULAR,USD
25,COST241108P00830000,2024-10-18 19:15:17+00:00,830.0,2.81,1.96,4.95,-0.80999994,-22.375689,17.0,230,0.28876443664550777,False,REGULAR,USD
26,COST241108P00835000,2024-10-18 19:40:49+00:00,835.0,3.2,2.13,5.65,-0.75,-18.98734,15.0,68,0.2852244329833984,False,REGULAR,USD
27,COST241108P00840000,2024-10-18 19:30:32+00:00,840.0,3.83,1.76,4.35,-1.04,-21.355236,4.0,149,0.24341576904296874,False,REGULAR,USD
28,COST241108P00845000,2024-10-18 19:31:52+00:00,845.0,4.45,2.24,4.85,-1.1800003,-20.959152,8.0,138,0.2358780026245117,False,REGULAR,USD
29,COST241108P00850000,2024-10-18 19:54:30+00:00,850.0,5.2,2.86,5.3,-1.7600002,-25.28736,8.0,626,0.22629557891845703,False,REGULAR,USD
30,COST241108P00855000,2024-10-18 19:31:52+00:00,855.0,6.25,4.1,6.75,-1.2199998,-16.331991,8.0,100,0.23136144622802735,False,REGULAR,USD
31,COST241108P00860000,2024-10-18 19:34:18+00:00,860.0,7.31,4.8,7.8,-2.0300002,-21.734478,17.0,159,0.22751626983642576,False,REGULAR,USD
32,COST241108P00865000,2024-10-18 19:34:18+00:00,865.0,8.58,7.45,8.95,-2.5200005,-22.702705,7.0,72,0.22309126525878903,False,REGULAR,USD
33,COST241108P00870000,2024-10-18 19:47:06+00:00,870.0,10.07,7.7,11.5,-1.3500004,-11.821369,22.0,60,0.2347641221618652,False,REGULAR,USD
34,COST241108P00875000,2024-10-18 19:16:17+00:00,875.0,11.86,10.15,12.75,0.30999947,2.683978,32.0,45,0.22695170028686518,False,REGULAR,USD
35,COST241108P00880000,2024-10-18 17:48:46+00:00,880.0,13.24,11.85,15.4,-2.21,-14.304207,25.0,152,0.23407748352050778,False,REGULAR,USD
36,COST241108P00885000,2024-10-17 19:20:57+00:00,885.0,16.55,13.2,17.3,-0.960001,-5.482587,1.0,32,0.22966773757934572,False,REGULAR,USD
37,COST241108P00890000,2024-10-18 15:36:26+00:00,890.0,18.0,16.05,20.2,-2.1499996,-10.669973,2.0,27,0.23471834625244142,True,REGULAR,USD
38,COST241108P00895000,2024-10-16 19:50:37+00:00,895.0,21.45,19.1,21.05,-0.94999886,-4.2410665,9.0,81,0.21323418609619144,True,REGULAR,USD
39,COST241108P00900000,2024-10-18 15:55:46+00:00,900.0,22.53,21.65,23.8,-2.5100002,-10.023962,4.0,151,0.21149470153808592,True,REGULAR,USD
40,COST241108P00905000,2024-10-18 16:23:32+00:00,905.0,27.65,24.25,27.0,-0.6499996,-2.2968185,2.0,7,0.21262384063720702,True,REGULAR,USD
