,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,CRM250815P00125000,2024-08-20 17:41:19+00:00,125.0,0.9,0.17,1.49,0.0,0.0,,3,0.5371140039062501,False,REGULAR,USD
1,CRM250815P00130000,2024-09-20 13:34:48+00:00,130.0,0.82,0.11,1.06,0.0,0.0,4.0,4,0.48376981079101566,False,REGULAR,USD
2,CRM250815P00135000,2024-10-08 15:17:49+00:00,135.0,0.76,0.15,1.18,0.0,0.0,2.0,3,0.4725394543457031,False,REGULAR,USD
3,CRM250815P00150000,2024-09-25 18:27:25+00:00,150.0,1.1,0.32,1.72,0.0,0.0,1.0,123,0.446294599609375,False,REGULAR,USD
4,CRM250815P00155000,2024-09-06 15:04:48+00:00,155.0,3.05,0.78,2.42,0.0,0.0,10.0,77,0.4596001306152344,False,REGULAR,USD
5,CRM250815P00160000,2024-09-16 13:32:01+00:00,160.0,2.47,0.44,2.34,0.0,0.0,1.0,65,0.4366511413574219,False,REGULAR,USD
6,CRM250815P00165000,2024-09-06 16:16:40+00:00,165.0,4.3,1.19,2.85,0.0,0.0,33.0,423,0.43726148681640625,False,REGULAR,USD
7,CRM250815P00170000,2024-10-01 19:33:45+00:00,170.0,2.33,0.7,2.72,0.0,0.0,22.0,33,0.41358008300781246,False,REGULAR,USD
8,CRM250815P00175000,2024-10-02 14:00:22+00:00,175.0,2.59,0.84,3.05,0.0,0.0,26.0,107,0.40631697204589845,False,REGULAR,USD
9,CRM250815P00180000,2024-09-27 15:00:49+00:00,180.0,2.83,0.99,3.3,0.0,0.0,2.0,309,0.3958190301513672,False,REGULAR,USD
10,CRM250815P00185000,2024-10-11 16:31:53+00:00,185.0,2.77,2.12,2.53,0.0,0.0,18.0,42,0.35352208984374994,False,REGULAR,USD
11,CRM250815P00190000,2024-10-02 19:24:07+00:00,190.0,3.72,2.63,3.25,0.0,0.0,2.0,269,0.3585269226074219,False,REGULAR,USD
12,CRM250815P00195000,2024-10-11 14:05:33+00:00,195.0,3.55,2.98,3.25,0.0,0.0,10.0,66,0.34125414611816407,False,REGULAR,USD
13,CRM250815P00200000,2024-10-18 13:50:02+00:00,200.0,3.75,3.35,3.75,-0.029999971,-0.79365003,18.0,318,0.33728690063476563,False,REGULAR,USD
14,CRM250815P00210000,2024-10-18 18:46:53+00:00,210.0,4.75,4.7,6.6,-0.25,-5.0,5.0,400,0.3625246853637696,False,REGULAR,USD
15,CRM250815P00220000,2024-10-18 17:28:50+00:00,220.0,6.15,6.05,6.3,-0.19999981,-3.1496034,123.0,264,0.32047188323974607,False,REGULAR,USD
16,CRM250815P00230000,2024-10-18 15:16:43+00:00,230.0,7.9,7.65,8.0,-0.3499999,-4.242423,1.0,172,0.3122932540893554,False,REGULAR,USD
17,CRM250815P00240000,2024-10-11 18:27:22+00:00,240.0,11.13,9.7,10.05,0.0,0.0,120.0,165,0.30449609085083,False,REGULAR,USD
18,CRM250815P00250000,2024-10-08 14:51:18+00:00,250.0,12.36,12.1,13.0,-1.7300005,-12.278214,1.0,309,0.3031991067504882,False,REGULAR,USD
19,CRM250815P00260000,2024-10-10 19:03:17+00:00,260.0,15.19,14.9,15.35,-1.7600012,-10.383488,1.0,156,0.2896189202880859,False,REGULAR,USD
20,CRM250815P00270000,2024-10-16 13:40:19+00:00,270.0,20.9,18.1,18.65,0.0,0.0,1.0,54,0.28220322296142575,False,REGULAR,USD
21,CRM250815P00280000,2024-10-08 15:29:21+00:00,280.0,24.8,21.85,22.75,0.0,0.0,1.0,25,0.2779918392944336,False,REGULAR,USD
22,CRM250815P00290000,2024-10-11 18:27:22+00:00,290.0,29.11,25.7,27.2,0.0,0.0,60.0,123,0.27210200561523434,False,REGULAR,USD
23,CRM250815P00300000,2024-10-02 19:06:28+00:00,300.0,38.0,30.8,31.45,0.0,0.0,1.0,8,0.2593610441589356,True,REGULAR,USD
24,CRM250815P00340000,2024-09-09 17:17:15+00:00,340.0,92.6,58.15,60.15,0.0,0.0,,1,0.2728801960754394,True,REGULAR,USD
25,CRM250815P00350000,2024-10-16 13:43:22+00:00,350.0,69.0,61.6,64.35,0.0,0.0,1.0,1,0.23014075531005856,True,REGULAR,USD
26,CRM250815P00370000,2024-08-20 15:57:52+00:00,370.0,108.25,102.55,105.5,0.0,0.0,,0,0.49933361999511716,True,REGULAR,USD
