,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,CSCO260116C00025000,2024-10-17 19:54:49+00:00,25.0,31.55,30.85,32.75,0.0,0.0,4,36,0.5564009204101563,True,REGULAR,USD
1,CSCO260116C00027500,2024-10-14 14:50:27+00:00,27.5,26.95,28.05,32.0,0.0,0.0,3,6,0.6928741650390625,True,REGULAR,USD
2,CSCO260116C00030000,2024-10-14 18:40:50+00:00,30.0,24.63,25.75,29.5,0.0,0.0,1,184,0.6268347863769532,True,REGULAR,USD
3,CSCO260116C00032500,2024-10-11 19:41:58+00:00,32.5,22.3,23.75,25.95,0.0,0.0,1,3,0.47559118164062497,True,REGULAR,USD
4,CSCO260116C00035000,2024-10-04 19:33:24+00:00,35.0,18.61,21.0,22.8,0.0,0.0,5,155,0.36524072265625,True,REGULAR,USD
5,CSCO260116C00037500,2024-10-16 13:32:06+00:00,37.5,18.9,19.45,21.35,0.0,0.0,1,166,0.4115049084472656,True,REGULAR,USD
6,CSCO260116C00040000,2024-10-17 14:19:16+00:00,40.0,17.64,17.95,18.25,0.0,0.0,5,1052,0.3220282641601562,True,REGULAR,USD
7,CSCO260116C00042500,2024-10-16 19:54:39+00:00,42.5,15.4,15.85,16.05,0.0,0.0,9,461,0.3023751403808594,True,REGULAR,USD
8,CSCO260116C00045000,2024-10-18 17:13:30+00:00,45.0,13.79,13.15,14.05,0.18999958,1.3970556,2,2968,0.291877198486328,True,REGULAR,USD
9,CSCO260116C00047500,2024-10-18 15:19:54+00:00,47.5,12.0,11.65,12.15,2.1499996,21.827408,1,869,0.2815013256835937,True,REGULAR,USD
10,CSCO260116C00050000,2024-10-18 17:03:36+00:00,50.0,10.0,9.4,10.35,0.17000008,1.7294006,425,3608,0.2708813146972656,True,REGULAR,USD
11,CSCO260116C00052500,2024-10-18 18:34:29+00:00,52.5,8.6,8.35,8.7,0.37000084,4.495758,2,1155,0.2616040637207031,True,REGULAR,USD
12,CSCO260116C00055000,2024-10-18 18:52:15+00:00,55.0,7.1,6.3,7.15,0.3699999,5.49777,29,3523,0.25098405273437496,True,REGULAR,USD
13,CSCO260116C00057500,2024-10-18 17:12:14+00:00,57.5,5.7,4.3,6.1,0.3499999,6.5420547,19,2964,0.25476819458007816,False,REGULAR,USD
14,CSCO260116C00060000,2024-10-17 19:15:56+00:00,60.0,4.37,4.4,4.8,0.0,0.0,65,3774,0.24250025085449217,False,REGULAR,USD
15,CSCO260116C00062500,2024-10-18 18:34:29+00:00,62.5,3.71,2.79,3.8,0.1500001,4.2134857,10,4386,0.23627472717285153,False,REGULAR,USD
16,CSCO260116C00065000,2024-10-18 18:53:39+00:00,65.0,2.92,2.66,3.05,0.13000011,4.659502,9,3721,0.23462679443359374,False,REGULAR,USD
17,CSCO260116C00070000,2024-10-18 18:34:29+00:00,70.0,1.83,1.68,1.88,0.13,7.6470585,1,1141,0.2298660998535156,False,REGULAR,USD
18,CSCO260116C00075000,2024-10-18 19:39:17+00:00,75.0,1.1,1.03,1.18,0.029999971,2.8037355,29,13576,0.23011023803710937,False,REGULAR,USD
19,CSCO260116C00080000,2024-10-18 17:55:52+00:00,80.0,0.65,0.62,0.73,0.00999999,1.5624986,1,7146,0.23035437622070312,False,REGULAR,USD
