,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,CSCO250620P00025000,2024-09-18 14:50:45+00:00,25.0,0.07,0.0,0.09,0.0,0.0,2.0,26,0.47363807617187503,False,REGULAR,USD
1,CSCO250620P00027500,2024-09-24 14:19:09+00:00,27.5,0.08,0.02,0.13,0.0,0.0,2.0,22,0.44824770507812495,False,REGULAR,USD
2,CSCO250620P00030000,2024-10-17 14:35:59+00:00,30.0,0.08,0.03,0.25,0.0,0.0,2.0,467,0.44824770507812495,False,REGULAR,USD
3,CSCO250620P00032500,2024-10-18 14:02:02+00:00,32.5,0.16,0.09,0.17,-0.060000002,-27.272728,2.0,1253,0.3711000390625,False,REGULAR,USD
4,CSCO250620P00035000,2024-10-18 17:29:05+00:00,35.0,0.17,0.12,0.22,-0.019999996,-10.526314,4.0,3383,0.3442448388671875,False,REGULAR,USD
5,CSCO250620P00037500,2024-10-18 15:35:55+00:00,37.5,0.19,0.18,0.29,-0.09,-32.14286,1.0,1466,0.3193427441406249,False,REGULAR,USD
6,CSCO250620P00040000,2024-10-18 13:39:19+00:00,40.0,0.34,0.32,0.36,-0.030000001,-8.1081085,20.0,2609,0.29175512939453113,False,REGULAR,USD
7,CSCO250620P00042500,2024-10-11 18:08:01+00:00,42.5,0.66,0.47,0.51,0.0,0.0,1.0,4733,0.2739330419921875,False,REGULAR,USD
8,CSCO250620P00045000,2024-10-18 17:08:32+00:00,45.0,0.7,0.66,0.73,-0.07999998,-10.256408,26.0,8353,0.257819921875,False,REGULAR,USD
9,CSCO250620P00047500,2024-10-18 15:03:29+00:00,47.5,1.04,0.97,1.05,-0.56000006,-35.000004,15.0,4576,0.24341576904296874,False,REGULAR,USD
10,CSCO250620P00050000,2024-10-17 18:40:51+00:00,50.0,1.65,1.01,1.52,0.0,0.0,351.0,8665,0.23169713623046873,False,REGULAR,USD
11,CSCO250620P00052500,2024-10-17 14:51:20+00:00,52.5,2.16,1.99,2.2,0.0,0.0,4.0,2086,0.22290816162109373,False,REGULAR,USD
12,CSCO250620P00055000,2024-10-18 17:29:05+00:00,55.0,2.98,2.88,3.45,-0.119999886,-3.870964,2.0,2557,0.23438265625,False,REGULAR,USD
13,CSCO250620P00057500,2024-09-27 16:13:02+00:00,57.5,6.3,3.55,4.65,0.0,0.0,137.0,922,0.2291336853027344,True,REGULAR,USD
14,CSCO250620P00060000,2024-10-17 14:00:48+00:00,60.0,5.65,4.85,5.75,0.0,0.0,1.0,75,0.20581848876953124,True,REGULAR,USD
15,CSCO250620P00062500,2024-10-16 18:16:09+00:00,62.5,7.35,6.9,7.2,0.0,0.0,1.0,3,0.18677571044921876,True,REGULAR,USD
16,CSCO250620P00065000,2024-01-29 18:21:24+00:00,65.0,13.15,15.15,18.15,0.0,0.0,38.0,39,0.6148720153808593,True,REGULAR,USD
17,CSCO250620P00070000,2024-01-29 18:10:26+00:00,70.0,17.95,21.65,23.05,0.0,0.0,,2,0.7277248907470704,True,REGULAR,USD
