,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,CVX250321C00075000,2024-09-23 13:44:49+00:00,75.0,73.2,73.9,78.0,0.0,0.0,1,1,0.5019581054687501,True,REGULAR,USD
1,CVX250321C00090000,2024-09-23 19:47:02+00:00,90.0,58.04,59.0,62.4,0.0,0.0,4,5,0.5753216296386718,True,REGULAR,USD
2,CVX250321C00100000,2024-09-23 14:19:00+00:00,100.0,49.3,49.1,52.4,0.0,0.0,6,8,0.47827670166015623,True,REGULAR,USD
3,CVX250321C00105000,2024-09-30 18:08:29+00:00,105.0,41.99,44.85,47.85,0.0,0.0,4,30,0.4630180651855469,True,REGULAR,USD
4,CVX250321C00110000,2024-09-23 18:36:53+00:00,110.0,38.13,40.25,42.65,0.0,0.0,1,8,0.40491317749023437,True,REGULAR,USD
5,CVX250321C00115000,2024-10-09 16:10:47+00:00,115.0,35.6,34.45,37.9,0.0,0.0,1,3,0.37525038818359374,True,REGULAR,USD
6,CVX250321C00120000,2024-10-11 15:28:10+00:00,120.0,32.93,31.65,32.15,0.0,0.0,1,20,0.2906565075683593,True,REGULAR,USD
7,CVX250321C00125000,2024-10-15 14:00:15+00:00,125.0,25.8,27.1,27.5,0.0,0.0,4,42,0.2695385546875,True,REGULAR,USD
8,CVX250321C00130000,2024-10-16 15:17:02+00:00,130.0,21.1,22.05,23.95,0.0,0.0,2,349,0.28833719482421866,True,REGULAR,USD
9,CVX250321C00135000,2024-10-15 13:46:14+00:00,135.0,17.3,18.55,19.9,0.0,0.0,1,334,0.2742992492675781,True,REGULAR,USD
10,CVX250321C00140000,2024-10-18 14:13:07+00:00,140.0,14.5,15.05,16.0,-0.5500002,-3.6544864,2,520,0.25757578369140627,True,REGULAR,USD
11,CVX250321C00145000,2024-10-18 19:33:51+00:00,145.0,11.87,10.4,12.35,1.0199995,9.400917,7,860,0.2399978344726562,True,REGULAR,USD
12,CVX250321C00150000,2024-10-18 14:40:22+00:00,150.0,8.4,8.8,9.1,-0.40000057,-4.545461,4,677,0.2238847143554687,True,REGULAR,USD
13,CVX250321C00155000,2024-10-18 19:59:06+00:00,155.0,6.51,6.45,6.6,0.16000032,2.5196903,74,1095,0.21613332702636717,False,REGULAR,USD
14,CVX250321C00160000,2024-10-18 16:16:47+00:00,160.0,4.55,4.55,4.7,0.0,0.0,48,1009,0.2122881506347656,False,REGULAR,USD
15,CVX250321C00165000,2024-10-18 15:22:22+00:00,165.0,3.09,2.9,3.25,-0.06000018,-1.9047675,8,1634,0.20929745788574217,False,REGULAR,USD
16,CVX250321C00170000,2024-10-18 18:20:37+00:00,170.0,2.12,2.11,2.3,0.049999952,2.4154565,8,1145,0.21112849426269528,False,REGULAR,USD
17,CVX250321C00175000,2024-10-18 15:56:29+00:00,175.0,1.25,1.41,1.73,-0.17999995,-12.587409,5,658,0.2181474670410156,False,REGULAR,USD
18,CVX250321C00180000,2024-10-18 19:51:57+00:00,180.0,0.95,0.91,0.97,0.0,0.0,8,1565,0.20716124877929684,False,REGULAR,USD
19,CVX250321C00185000,2024-10-14 19:31:47+00:00,185.0,0.74,0.57,0.65,0.0,0.0,4,445,0.20887021606445308,False,REGULAR,USD
20,CVX250321C00190000,2024-10-17 15:16:49+00:00,190.0,0.43,0.35,0.48,0.0,0.0,2,204,0.21509573974609375,False,REGULAR,USD
21,CVX250321C00195000,2024-10-18 19:47:00+00:00,195.0,0.32,0.21,0.32,0.00999999,3.2258034,3,975,0.21656056884765623,False,REGULAR,USD
22,CVX250321C00200000,2024-10-18 18:18:03+00:00,200.0,0.21,0.09,0.22,0.049999997,31.25,4,76,0.21949022705078125,False,REGULAR,USD
23,CVX250321C00210000,2024-10-18 14:33:42+00:00,210.0,0.11,0.03,0.27,-0.030000001,-21.428572,2,104,0.25830819824218754,False,REGULAR,USD
24,CVX250321C00220000,2024-10-18 18:17:59+00:00,220.0,0.08,0.01,0.48,0.009999998,14.285712,2,29,0.3161689477539062,False,REGULAR,USD
25,CVX250321C00230000,2024-09-17 14:40:08+00:00,230.0,0.01,0.0,0.34,0.0,0.0,2,83,0.32617861328125,False,REGULAR,USD
26,CVX250321C00240000,2024-09-16 14:14:38+00:00,240.0,0.03,0.0,0.13,0.0,0.0,1,4,0.30811238769531246,False,REGULAR,USD
