,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,CVX251219P00075000,2024-10-18 18:08:03+00:00,75.0,0.46,0.19,0.52,-0.00999999,-2.1276574,2.0,468,0.35156898437499995,False,REGULAR,USD
1,CVX251219P00080000,2024-10-18 18:06:49+00:00,80.0,0.56,0.25,0.79,-0.060000002,-9.67742,2.0,957,0.3491276025390625,False,REGULAR,USD
2,CVX251219P00085000,2024-10-18 18:08:22+00:00,85.0,0.72,0.43,0.81,-0.55999994,-43.749996,2.0,234,0.3217841259765625,False,REGULAR,USD
3,CVX251219P00090000,2024-09-23 13:58:22+00:00,90.0,1.11,0.67,1.2,0.0,0.0,20.0,150,0.32031929687499994,False,REGULAR,USD
4,CVX251219P00095000,2024-10-15 19:09:48+00:00,95.0,1.25,1.14,1.27,0.0,0.0,1.0,73,0.29614961669921874,False,REGULAR,USD
5,CVX251219P00100000,2024-09-26 18:43:05+00:00,100.0,2.35,1.48,1.64,0.0,0.0,3.0,50,0.2869944348144531,False,REGULAR,USD
6,CVX251219P00105000,2024-10-04 14:17:37+00:00,105.0,2.25,1.9,2.09,0.0,0.0,5.0,72,0.2779002874755859,False,REGULAR,USD
7,CVX251219P00110000,2024-09-30 15:00:12+00:00,110.0,3.35,2.48,2.64,0.0,0.0,28.0,327,0.2691113128662109,False,REGULAR,USD
8,CVX251219P00115000,2024-10-14 16:37:23+00:00,115.0,3.3,3.2,3.35,0.0,0.0,1.0,187,0.2617261328125,False,REGULAR,USD
9,CVX251219P00120000,2024-10-11 19:13:12+00:00,120.0,4.1,4.05,4.2,0.0,0.0,1.0,196,0.254463021850586,False,REGULAR,USD
10,CVX251219P00125000,2024-10-18 17:41:03+00:00,125.0,5.25,5.1,5.3,-0.4499998,-7.8947334,20.0,236,0.2491835336303711,False,REGULAR,USD
11,CVX251219P00130000,2024-10-16 15:53:34+00:00,130.0,7.0,6.35,6.6,0.0,0.0,15.0,456,0.24402611450195313,False,REGULAR,USD
12,CVX251219P00135000,2024-10-17 17:17:47+00:00,135.0,8.1,7.8,8.05,0.0,0.0,1.0,579,0.23770903900146478,False,REGULAR,USD
13,CVX251219P00140000,2024-10-11 14:43:52+00:00,140.0,9.64,9.55,9.85,0.0,0.0,3.0,301,0.2335892071533203,False,REGULAR,USD
14,CVX251219P00145000,2024-10-18 15:11:44+00:00,145.0,12.15,11.55,11.85,-0.5500002,-4.3307104,8.0,197,0.22867592620849608,False,REGULAR,USD
15,CVX251219P00150000,2024-10-18 15:17:46+00:00,150.0,14.55,13.85,14.15,0.31000042,2.1769693,6.0,184,0.22449505981445309,False,REGULAR,USD
16,CVX251219P00155000,2024-10-15 16:53:40+00:00,155.0,17.3,16.4,16.65,0.0,0.0,1.0,234,0.21936815795898437,True,REGULAR,USD
17,CVX251219P00160000,2024-09-12 19:09:33+00:00,160.0,27.08,19.0,21.5,0.0,0.0,1.0,161,0.24652853088378907,True,REGULAR,USD
18,CVX251219P00165000,2024-10-08 18:21:28+00:00,165.0,24.3,22.05,23.25,0.0,0.0,8.0,76,0.22202316070556638,True,REGULAR,USD
19,CVX251219P00170000,2024-04-19 14:32:49+00:00,170.0,22.5,18.05,20.25,0.0,0.0,6.0,140,0.0960173406982422,True,REGULAR,USD
20,CVX251219P00175000,2024-10-16 15:45:16+00:00,175.0,30.97,28.8,31.1,0.0,0.0,3.0,61,0.2312698944091797,True,REGULAR,USD
21,CVX251219P00180000,2024-08-13 14:48:27+00:00,180.0,40.15,41.45,44.05,0.0,0.0,2.0,72,0.38138436004638665,True,REGULAR,USD
22,CVX251219P00185000,2023-10-19 15:17:16+00:00,185.0,30.1,43.05,45.65,0.0,0.0,40.0,1,0.34671673797607416,True,REGULAR,USD
23,CVX251219P00190000,2024-08-16 17:50:46+00:00,190.0,44.11,49.0,52.45,0.0,0.0,1.0,39,0.39468989105224617,True,REGULAR,USD
24,CVX251219P00195000,2024-04-02 17:05:01+00:00,195.0,39.2,37.7,38.75,0.0,0.0,3.0,0,1.0000000000000003e-05,True,REGULAR,USD
25,CVX251219P00200000,2024-02-02 16:11:11+00:00,200.0,50.4,46.85,49.15,0.0,0.0,1.0,3,1.0000000000000003e-05,True,REGULAR,USD
26,CVX251219P00210000,2023-04-06 16:16:51+00:00,210.0,51.1,55.15,58.7,0.0,0.0,1.0,1,1.0000000000000003e-05,True,REGULAR,USD
27,CVX251219P00220000,2023-05-23 17:17:49+00:00,220.0,64.49,67.35,71.0,0.0,0.0,,10,0.249030947265625,True,REGULAR,USD
28,CVX251219P00250000,2024-08-19 19:46:02+00:00,250.0,103.02,103.6,108.45,0.0,0.0,25.0,0,0.4916737844848633,True,REGULAR,USD
