,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,DHR241025C00215000,2024-10-18 18:35:20+00:00,215.0,60.33,57.5,61.1,1.9700012,3.3756018,1.0,1,1.2915074487304685,True,REGULAR,USD
1,DHR241025C00230000,2024-10-18 18:33:31+00:00,230.0,45.4,43.0,46.0,0.30000305,0.6651952,3.0,3,0.59570716796875,True,REGULAR,USD
2,DHR241025C00245000,2024-09-06 16:33:26+00:00,245.0,25.1,25.7,28.3,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD
3,DHR241025C00252500,2024-10-10 19:41:35+00:00,252.5,17.37,22.4,24.3,0.0,0.0,,2,0.5585981640625001,True,REGULAR,USD
4,DHR241025C00255000,2024-10-16 17:23:42+00:00,255.0,14.62,20.4,21.0,0.0,0.0,6.0,3,0.5295457202148439,True,REGULAR,USD
5,DHR241025C00260000,2024-10-17 13:39:55+00:00,260.0,18.6,16.2,17.7,0.0,0.0,1.0,22,0.523320196533203,True,REGULAR,USD
6,DHR241025C00265000,2024-10-18 15:09:06+00:00,265.0,11.84,11.6,12.9,0.84000015,7.6363654,1.0,4,0.48779809082031256,True,REGULAR,USD
7,DHR241025C00270000,2024-10-18 16:20:44+00:00,270.0,9.0,9.1,9.5,1.0,12.5,12.0,30,0.47192910888671874,True,REGULAR,USD
8,DHR241025C00272500,2024-10-18 19:57:14+00:00,272.5,7.9,7.6,8.0,1.4000001,21.538464,63.0,306,0.4647270324707031,True,REGULAR,USD
9,DHR241025C00275000,2024-10-18 19:42:50+00:00,275.0,6.1,6.3,6.6,0.5999999,10.909089,108.0,51,0.45508357421875,False,REGULAR,USD
10,DHR241025C00277500,2024-10-18 19:40:38+00:00,277.5,5.1,5.1,5.4,0.7999997,18.604643,108.0,29,0.44922425781249997,False,REGULAR,USD
11,DHR241025C00280000,2024-10-18 18:25:10+00:00,280.0,4.57,4.0,4.4,1.2100003,36.011913,34.0,138,0.44714908325195313,False,REGULAR,USD
12,DHR241025C00285000,2024-10-18 18:10:00+00:00,285.0,2.44,2.35,2.65,0.26,11.926605,27.0,244,0.43079182495117196,False,REGULAR,USD
13,DHR241025C00287500,2024-10-18 16:43:36+00:00,287.5,1.85,1.65,2.0,-0.049999952,-2.6315765,12.0,43,0.4242000939941406,False,REGULAR,USD
14,DHR241025C00290000,2024-10-18 18:48:55+00:00,290.0,1.45,1.15,1.5,0.53000003,57.6087,66.0,198,0.4204159521484375,False,REGULAR,USD
15,DHR241025C00295000,2024-10-18 19:54:42+00:00,295.0,0.61,0.6,0.75,0.09000003,17.3077,511.0,48,0.4067442138671875,False,REGULAR,USD
16,DHR241025C00300000,2024-10-18 18:22:48+00:00,300.0,0.38,0.25,0.4,-0.02000001,-5.000003,10.0,23,0.40918559570312496,False,REGULAR,USD
17,DHR241025C00305000,2024-10-18 18:26:01+00:00,305.0,0.17,0.05,0.3,-0.030000001,-15.000001,59.0,12,0.4414118359375,False,REGULAR,USD
18,DHR241025C00325000,2024-09-23 13:30:18+00:00,325.0,0.25,0.0,0.05,0.0,0.0,5.0,5,0.500005,False,REGULAR,USD
