,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,DHR241220P00120000,2024-09-17 19:13:46+00:00,120.0,0.12,0.0,1.35,0.0,0.0,,3,1.007329182128906,False,REGULAR,USD
1,DHR241220P00170000,2024-08-20 16:25:54+00:00,170.0,0.25,0.0,0.75,0.0,0.0,7.0,17,0.5627485131835939,False,REGULAR,USD
2,DHR241220P00175000,2024-06-24 16:10:19+00:00,175.0,0.55,0.0,2.5,0.0,0.0,,1,0.6589389575195312,False,REGULAR,USD
3,DHR241220P00180000,2024-09-19 15:44:39+00:00,180.0,0.15,0.0,1.4,0.0,0.0,4.0,66,0.5581098876953126,False,REGULAR,USD
4,DHR241220P00185000,2024-07-26 15:31:27+00:00,185.0,0.5,0.1,0.75,0.0,0.0,1.0,68,0.5336960693359375,False,REGULAR,USD
5,DHR241220P00190000,2024-09-19 15:46:02+00:00,190.0,0.24,0.0,0.5,0.0,0.0,2.0,1031,0.467778759765625,False,REGULAR,USD
6,DHR241220P00195000,2024-10-04 19:56:11+00:00,195.0,0.42,0.0,1.75,0.0,0.0,1.0,35,0.5647016186523439,False,REGULAR,USD
7,DHR241220P00200000,2024-10-03 19:55:45+00:00,200.0,0.67,0.0,2.3,0.0,0.0,4.0,21,0.5681195532226562,False,REGULAR,USD
8,DHR241220P00210000,2024-09-26 19:41:13+00:00,210.0,0.57,0.15,0.75,0.0,0.0,1.0,125,0.3850159155273437,False,REGULAR,USD
9,DHR241220P00220000,2024-10-18 18:49:39+00:00,220.0,0.56,0.3,0.7,-0.59,-51.304348,4.0,208,0.32434757690429683,False,REGULAR,USD
10,DHR241220P00230000,2024-10-17 15:04:03+00:00,230.0,1.07,0.85,1.0,0.0,0.0,10.0,188,0.29273168212890616,False,REGULAR,USD
11,DHR241220P00240000,2024-10-18 18:49:39+00:00,240.0,1.65,1.55,1.85,-0.20000005,-10.810813,9.0,858,0.28009753112792957,False,REGULAR,USD
12,DHR241220P00250000,2024-10-18 15:38:58+00:00,250.0,3.2,2.85,3.1,0.0,0.0,2.0,457,0.2618482019042969,False,REGULAR,USD
13,DHR241220P00260000,2024-10-18 15:36:44+00:00,260.0,5.4,5.1,5.4,-0.42000008,-7.216496,21.0,2661,0.25189957092285153,False,REGULAR,USD
14,DHR241220P00270000,2024-10-18 17:20:20+00:00,270.0,8.55,8.4,8.7,-0.25,-2.840909,7.0,1426,0.23841093627929685,False,REGULAR,USD
15,DHR241220P00280000,2024-10-17 18:48:33+00:00,280.0,14.52,13.1,13.4,0.0,0.0,30.0,1101,0.22541057800292968,True,REGULAR,USD
16,DHR241220P00290000,2024-10-04 19:26:38+00:00,290.0,23.3,19.2,19.8,0.0,0.0,40.0,245,0.21686574157714844,True,REGULAR,USD
17,DHR241220P00300000,2024-10-17 13:47:54+00:00,300.0,28.8,26.7,27.5,0.0,0.0,18.0,67,0.20606262695312497,True,REGULAR,USD
18,DHR241220P00310000,2024-10-17 15:04:03+00:00,310.0,36.45,35.1,37.5,0.0,0.0,10.0,10,0.25403578002929694,True,REGULAR,USD
