,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,DIS250620C00040000,2024-08-19 16:56:52+00:00,40.0,51.0,54.45,55.1,0.0,0.0,1,9,1.0000000000000003e-05,True,REGULAR,USD
1,DIS250620C00045000,2024-07-23 14:49:31+00:00,45.0,48.22,46.25,46.75,0.0,0.0,2,219,1.0000000000000003e-05,True,REGULAR,USD
2,DIS250620C00050000,2024-10-07 16:39:01+00:00,50.0,43.75,48.5,50.0,0.0,0.0,2,268,0.6629672375488282,True,REGULAR,USD
3,DIS250620C00055000,2024-09-24 19:42:06+00:00,55.0,40.16,43.75,45.3,0.0,0.0,1,80,0.6081582153320313,True,REGULAR,USD
4,DIS250620C00060000,2024-10-17 16:42:26+00:00,60.0,38.6,38.15,40.65,0.0,0.0,2,416,0.5247850256347657,True,REGULAR,USD
5,DIS250620C00065000,2024-10-16 16:58:00+00:00,65.0,33.25,34.45,36.0,0.0,0.0,3,604,0.5114794946289063,True,REGULAR,USD
6,DIS250620C00070000,2024-10-18 19:07:34+00:00,70.0,30.13,30.05,30.45,-0.0700016,-0.23179339,1,395,0.4556939196777344,True,REGULAR,USD
7,DIS250620C00075000,2024-10-15 19:26:08+00:00,75.0,22.85,24.85,27.15,0.0,0.0,5,416,0.4708915216064453,True,REGULAR,USD
8,DIS250620C00080000,2024-10-18 17:34:36+00:00,80.0,22.05,20.8,22.1,0.8499985,4.0094266,5,899,0.39789420471191406,True,REGULAR,USD
9,DIS250620C00085000,2024-10-18 16:14:25+00:00,85.0,17.76,17.75,18.15,1.7399998,10.861422,2,836,0.368719691772461,True,REGULAR,USD
10,DIS250620C00090000,2024-10-18 17:14:06+00:00,90.0,14.65,14.35,14.85,0.6999998,5.01792,7,2211,0.35492588439941397,True,REGULAR,USD
11,DIS250620C00095000,2024-10-18 19:59:22+00:00,95.0,11.62,11.5,11.7,0.5699997,5.158368,10,4826,0.33576103698730464,True,REGULAR,USD
12,DIS250620C00100000,2024-10-18 19:17:18+00:00,100.0,9.0,8.9,9.1,0.5,5.882353,61,5812,0.32355412780761705,False,REGULAR,USD
13,DIS250620C00105000,2024-10-18 18:30:38+00:00,105.0,6.9,6.8,7.0,0.3499999,5.3435097,4,3625,0.31580274047851553,False,REGULAR,USD
14,DIS250620C00110000,2024-10-18 19:50:28+00:00,110.0,5.13,5.1,5.35,0.1800003,3.63637,14,3722,0.3113472186279296,False,REGULAR,USD
15,DIS250620C00115000,2024-10-18 19:15:24+00:00,115.0,3.8,3.8,3.9,0.14999986,4.109585,13,4327,0.30286341674804684,False,REGULAR,USD
16,DIS250620C00120000,2024-10-18 18:28:42+00:00,120.0,2.81,2.74,2.99,0.099999905,3.6900334,26,5094,0.3042061767578125,False,REGULAR,USD
17,DIS250620C00125000,2024-10-18 17:06:04+00:00,125.0,2.1,2.09,2.22,0.099999905,4.999995,8,4492,0.30261927856445314,False,REGULAR,USD
18,DIS250620C00130000,2024-10-18 19:09:34+00:00,130.0,1.58,1.55,1.76,0.110000014,7.4829946,5,7876,0.30811238769531246,False,REGULAR,USD
19,DIS250620C00135000,2024-10-18 17:34:20+00:00,135.0,1.2,1.17,1.25,0.07000005,6.194695,1,1455,0.3039620385742187,False,REGULAR,USD
20,DIS250620C00140000,2024-10-17 17:31:21+00:00,140.0,0.93,0.88,0.95,0.06999999,8.139534,1,6173,0.30591514404296877,False,REGULAR,USD
21,DIS250620C00145000,2024-10-18 17:11:27+00:00,145.0,0.68,0.66,0.72,0.00999999,1.4925358,1,962,0.30762411132812495,False,REGULAR,USD
22,DIS250620C00150000,2024-10-18 17:36:54+00:00,150.0,0.55,0.35,0.66,0.04000002,7.843141,1,2903,0.32129584960937496,False,REGULAR,USD
23,DIS250620C00155000,2024-10-18 19:02:13+00:00,155.0,0.33,0.24,0.44,-0.049999982,-13.15789,9,653,0.31445998046874996,False,REGULAR,USD
24,DIS250620C00160000,2024-10-18 15:14:40+00:00,160.0,0.37,0.17,0.38,0.03999999,12.121209,4,1977,0.3227606787109374,False,REGULAR,USD
25,DIS250620C00165000,2024-10-18 15:14:55+00:00,165.0,0.29,0.11,0.3,0.01999998,7.4074,4,1216,0.32569033691406246,False,REGULAR,USD
26,DIS250620C00170000,2024-10-18 14:44:16+00:00,170.0,0.18,0.13,0.25,-0.00999999,-5.263153,2,2717,0.3305731005859375,False,REGULAR,USD
27,DIS250620C00175000,2024-10-17 19:59:39+00:00,175.0,0.2,0.06,0.27,0.0,0.0,5,677,0.348639326171875,False,REGULAR,USD
28,DIS250620C00180000,2024-10-16 15:30:52+00:00,180.0,0.12,0.01,0.21,0.0,0.0,2,370,0.3491276025390625,False,REGULAR,USD
