,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,DIS241220P00045000,2024-09-23 17:11:53+00:00,45.0,0.04,0.0,0.13,0.0,0.0,1,15,0.7851583984375,False,REGULAR,USD
1,DIS241220P00050000,2024-09-10 14:11:53+00:00,50.0,0.08,0.0,0.18,0.0,0.0,2,33,0.7148466015625,False,REGULAR,USD
2,DIS241220P00055000,2024-10-07 16:40:44+00:00,55.0,0.03,0.01,0.14,0.0,0.0,2,53,0.6074258007812501,False,REGULAR,USD
3,DIS241220P00060000,2024-10-11 18:06:54+00:00,60.0,0.1,0.0,0.12,0.0,0.0,5,450,0.507817421875,False,REGULAR,USD
4,DIS241220P00065000,2024-10-16 13:30:46+00:00,65.0,0.37,0.07,0.18,0.0,0.0,9,211,0.507817421875,False,REGULAR,USD
5,DIS241220P00070000,2024-10-18 18:37:27+00:00,70.0,0.19,0.15,0.2,0.0,0.0,25,1957,0.43457596679687505,False,REGULAR,USD
6,DIS241220P00075000,2024-10-18 14:45:43+00:00,75.0,0.3,0.25,0.44,-0.00999999,-3.2258034,18,1543,0.418951123046875,False,REGULAR,USD
7,DIS241220P00080000,2024-10-18 19:57:58+00:00,80.0,0.57,0.55,0.6,-0.07999998,-12.30769,44,7980,0.36157864990234373,False,REGULAR,USD
8,DIS241220P00085000,2024-10-18 19:56:37+00:00,85.0,1.1,1.09,1.16,-0.17999995,-14.062495,97,8718,0.3398503515625,False,REGULAR,USD
9,DIS241220P00090000,2024-10-18 19:56:37+00:00,90.0,2.11,2.09,2.16,-0.24000001,-10.212767,497,7644,0.3210517114257812,False,REGULAR,USD
10,DIS241220P00095000,2024-10-18 19:52:02+00:00,95.0,3.85,3.75,3.85,-0.3000002,-7.22892,660,6795,0.30811238769531246,False,REGULAR,USD
11,DIS241220P00100000,2024-10-18 19:55:44+00:00,100.0,6.3,6.2,6.35,-0.5999999,-8.695651,95,3306,0.2981027221679687,True,REGULAR,USD
12,DIS241220P00105000,2024-10-18 19:06:43+00:00,105.0,9.6,9.45,9.7,-0.54999924,-5.4187117,16,617,0.2929758203124999,True,REGULAR,USD
13,DIS241220P00110000,2024-10-18 13:59:11+00:00,110.0,14.4,13.4,13.65,0.14999962,1.0526289,7,189,0.2834544311523437,True,REGULAR,USD
14,DIS241220P00115000,2024-10-16 17:08:52+00:00,115.0,19.45,17.7,18.25,0.0,0.0,11,45,0.2978585839843749,True,REGULAR,USD
15,DIS241220P00120000,2024-10-01 17:16:39+00:00,120.0,26.4,22.5,22.9,0.0,0.0,1,2,0.28125718749999995,True,REGULAR,USD
16,DIS241220P00125000,2024-08-16 14:13:49+00:00,125.0,36.5,33.15,35.7,0.0,0.0,1,0,0.9398199377441407,True,REGULAR,USD
17,DIS241220P00130000,2024-09-11 14:26:16+00:00,130.0,42.85,34.8,37.65,0.0,0.0,2,0,0.7670921728515626,True,REGULAR,USD
18,DIS241220P00135000,2024-08-13 14:35:12+00:00,135.0,49.42,44.7,46.9,0.0,0.0,4,0,1.1634563311767578,True,REGULAR,USD
19,DIS241220P00140000,2024-05-17 14:56:40+00:00,140.0,36.65,39.55,42.15,0.0,0.0,1,1,1.0000000000000003e-05,True,REGULAR,USD
