,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,GOOGL241108C00105000,2024-10-02 16:35:10+00:00,105.0,61.07,58.3,59.2,0.0,0.0,,21,0.9677737597656251,True,REGULAR,USD
1,GOOGL241108C00120000,2024-10-18 16:37:19+00:00,120.0,44.15,43.25,44.5,0.15000153,0.34091255,27.0,2,0.7543969873046875,True,REGULAR,USD
2,GOOGL241108C00130000,2024-10-17 17:08:11+00:00,130.0,35.02,33.75,34.65,0.0,0.0,1.0,3,0.6630893066406252,True,REGULAR,USD
3,GOOGL241108C00135000,2024-10-09 19:32:58+00:00,135.0,27.45,28.65,29.75,0.0,0.0,1.0,2,0.5756878369140624,True,REGULAR,USD
4,GOOGL241108C00140000,2024-10-03 13:56:16+00:00,140.0,26.65,24.15,25.45,0.0,0.0,2.0,2,0.57617611328125,True,REGULAR,USD
5,GOOGL241108C00145000,2024-10-18 18:44:51+00:00,145.0,19.85,19.5,19.75,-0.03999901,-0.20110111,3.0,23,0.4753470434570312,True,REGULAR,USD
6,GOOGL241108C00150000,2024-10-17 17:54:38+00:00,150.0,16.25,15.05,15.6,0.5500002,3.503186,3.0,93,0.4616753051757813,True,REGULAR,USD
7,GOOGL241108C00155000,2024-10-17 19:32:38+00:00,155.0,11.9,11.05,11.6,0.6499996,5.7777743,1.0,47,0.4299373413085938,True,REGULAR,USD
8,GOOGL241108C00160000,2024-10-18 19:24:27+00:00,160.0,8.19,7.85,8.0,0.3899994,4.999992,146.0,303,0.39685661743164063,True,REGULAR,USD
9,GOOGL241108C00165000,2024-10-18 19:58:18+00:00,165.0,5.28,5.25,5.4,0.03000021,0.5714326,213.0,570,0.39197385375976557,False,REGULAR,USD
10,GOOGL241108C00170000,2024-10-18 19:54:57+00:00,170.0,3.2,3.25,3.4,-0.12999988,-3.9039001,624.0,1329,0.3848938464355468,False,REGULAR,USD
11,GOOGL241108C00175000,2024-10-18 19:50:11+00:00,175.0,1.93,1.87,2.0,-0.110000014,-5.3921576,538.0,1340,0.3786683227539062,False,REGULAR,USD
12,GOOGL241108C00180000,2024-10-18 19:45:50+00:00,180.0,1.11,1.02,1.08,-0.029999971,-2.6315765,196.0,733,0.37134417724609375,False,REGULAR,USD
13,GOOGL241108C00185000,2024-10-18 19:17:03+00:00,185.0,0.63,0.55,0.64,-0.04000002,-5.9701524,86.0,580,0.3811097045898437,False,REGULAR,USD
14,GOOGL241108C00190000,2024-10-18 18:20:36+00:00,190.0,0.34,0.3,0.36,-0.099999994,-22.727272,95.0,230,0.38721315917968746,False,REGULAR,USD
15,GOOGL241108C00195000,2024-10-18 14:52:45+00:00,195.0,0.2,0.17,0.24,-0.00999999,-4.7619004,8.0,61,0.4062559375,False,REGULAR,USD
16,GOOGL241108C00200000,2024-10-18 19:31:01+00:00,200.0,0.13,0.11,0.13,-0.02000001,-13.33334,91.0,148,0.4101621484375,False,REGULAR,USD
17,GOOGL241108C00205000,2024-10-18 18:01:40+00:00,205.0,0.09,0.05,0.12,-0.009999998,-9.999998,12.0,3,0.446294599609375,False,REGULAR,USD
18,GOOGL241108C00210000,2024-10-18 18:01:40+00:00,210.0,0.05,0.03,0.1,0.0,0.0,2.0,24,0.4726615234375,False,REGULAR,USD
19,GOOGL241108C00215000,2024-10-16 17:48:01+00:00,215.0,0.05,0.02,0.08,0.0,0.0,1.0,2,0.49609878906250005,False,REGULAR,USD
