,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,GOOGL251219P00045000,2024-09-23 15:37:04+00:00,45.0,0.12,0.01,0.21,0.0,0.0,15.0,1235,0.53320779296875,False,REGULAR,USD
1,GOOGL251219P00050000,2024-10-08 19:17:47+00:00,50.0,0.17,0.1,0.24,0.0,0.0,2.0,1863,0.5004932763671875,False,REGULAR,USD
2,GOOGL251219P00055000,2024-08-21 18:49:05+00:00,55.0,0.24,0.06,0.45,0.0,0.0,6.0,307,0.507817421875,False,REGULAR,USD
3,GOOGL251219P00060000,2024-08-21 18:49:39+00:00,60.0,0.17,0.09,0.51,0.0,0.0,4.0,1472,0.4797415307617187,False,REGULAR,USD
4,GOOGL251219P00065000,2024-09-30 14:24:01+00:00,65.0,0.33,0.21,0.41,0.0,0.0,10.0,1519,0.428716650390625,False,REGULAR,USD
5,GOOGL251219P00070000,2024-08-23 18:48:58+00:00,70.0,0.96,0.17,0.69,0.0,0.0,2.0,580,0.4338435522460938,False,REGULAR,USD
6,GOOGL251219P00075000,2024-08-21 18:51:03+00:00,75.0,0.71,0.4,0.8,0.0,0.0,2.0,307,0.4133359448242187,False,REGULAR,USD
7,GOOGL251219P00080000,2024-10-14 14:26:17+00:00,80.0,0.66,0.5,0.71,0.0,0.0,1.0,561,0.3742738354492187,False,REGULAR,USD
8,GOOGL251219P00085000,2024-10-11 19:06:24+00:00,85.0,0.85,0.65,0.82,0.0,0.0,20.0,372,0.3557193334960937,False,REGULAR,USD
9,GOOGL251219P00090000,2024-09-27 16:29:13+00:00,90.0,0.98,0.86,1.08,0.0,0.0,2.0,766,0.34766277343749996,False,REGULAR,USD
10,GOOGL251219P00095000,2024-10-15 19:43:33+00:00,95.0,1.12,1.08,1.36,0.0,0.0,1.0,175,0.3375310388183594,False,REGULAR,USD
11,GOOGL251219P00100000,2024-10-17 14:30:40+00:00,100.0,1.52,1.4,1.59,0.0,0.0,1.0,2377,0.32263860961914054,False,REGULAR,USD
12,GOOGL251219P00105000,2024-10-09 14:51:22+00:00,105.0,2.25,1.81,2.0,0.0,0.0,1.0,319,0.31427687683105465,False,REGULAR,USD
13,GOOGL251219P00110000,2024-10-17 16:05:35+00:00,110.0,2.35,2.29,2.42,0.0,0.0,1.0,1730,0.3036568658447265,False,REGULAR,USD
14,GOOGL251219P00115000,2024-10-14 17:47:55+00:00,115.0,2.95,2.86,2.99,0.0,0.0,25.0,948,0.29572237487792963,False,REGULAR,USD
15,GOOGL251219P00120000,2024-10-18 14:58:48+00:00,120.0,3.65,3.55,3.8,-0.029999971,-0.81521666,19.0,1533,0.29175512939453113,False,REGULAR,USD
16,GOOGL251219P00125000,2024-10-17 16:22:02+00:00,125.0,4.41,4.35,4.65,0.0,0.0,2.0,1769,0.2852244329833984,False,REGULAR,USD
17,GOOGL251219P00130000,2024-10-18 18:28:17+00:00,130.0,5.38,5.3,5.5,-0.049999714,-0.92080504,1.0,577,0.275825112915039,False,REGULAR,USD
18,GOOGL251219P00135000,2024-10-18 15:13:19+00:00,135.0,6.6,6.45,6.8,0.21000004,3.2863855,70.0,1849,0.27295648925781246,False,REGULAR,USD
19,GOOGL251219P00140000,2024-10-17 16:02:35+00:00,140.0,7.75,7.75,7.95,0.099999905,1.3071883,1.0,1074,0.263953893737793,False,REGULAR,USD
20,GOOGL251219P00145000,2024-10-17 17:43:26+00:00,145.0,9.37,9.2,9.6,0.0,0.0,2.0,4893,0.26081061462402344,False,REGULAR,USD
21,GOOGL251219P00150000,2024-10-18 19:53:36+00:00,150.0,11.0,10.9,11.3,-0.10000038,-0.9009043,47.0,4642,0.2551954364013672,False,REGULAR,USD
22,GOOGL251219P00155000,2024-10-15 18:17:59+00:00,155.0,12.35,12.65,13.2,0.0,0.0,2.0,387,0.24958025817871093,False,REGULAR,USD
23,GOOGL251219P00160000,2024-10-18 17:09:04+00:00,160.0,14.85,14.9,15.15,0.6500006,4.577469,1.0,1552,0.24167628448486328,False,REGULAR,USD
24,GOOGL251219P00165000,2024-10-17 15:03:53+00:00,165.0,17.2,17.2,17.6,-0.29999924,-1.7142813,8.0,500,0.23789214263916014,True,REGULAR,USD
25,GOOGL251219P00170000,2024-10-16 13:30:03+00:00,170.0,19.8,19.6,20.15,0.5099983,2.643848,10.0,370,0.23230748168945312,True,REGULAR,USD
26,GOOGL251219P00175000,2024-10-09 19:48:18+00:00,175.0,24.27,22.5,22.85,0.0,0.0,1.0,152,0.22565471618652344,True,REGULAR,USD
27,GOOGL251219P00180000,2024-10-09 19:44:14+00:00,180.0,27.24,25.5,25.85,0.0,0.0,1.0,2291,0.21994798614501948,True,REGULAR,USD
28,GOOGL251219P00185000,2024-10-08 19:31:26+00:00,185.0,29.7,28.55,29.15,0.0,0.0,8.0,352,0.21537039520263673,True,REGULAR,USD
29,GOOGL251219P00190000,2024-10-08 19:31:26+00:00,190.0,33.1,32.05,32.5,0.0,0.0,12.0,242,0.20798521514892576,True,REGULAR,USD
30,GOOGL251219P00195000,2024-10-08 19:31:30+00:00,195.0,36.65,35.65,36.15,0.0,0.0,16.0,40,0.20179020874023437,True,REGULAR,USD
