,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,GOOG250321C00070000,2024-06-06 19:29:37+00:00,70.0,111.0,122.15,126.45,0.0,0.0,1,7,2.5750768045043944,True,REGULAR,USD
1,GOOG250321C00075000,2024-09-06 15:42:42+00:00,75.0,80.6,94.8,95.55,0.0,0.0,1,1,1.09534143737793,True,REGULAR,USD
2,GOOG250321C00080000,2024-09-11 14:44:48+00:00,80.0,71.2,84.45,87.65,0.0,0.0,1,29,0.6723665576171877,True,REGULAR,USD
3,GOOG250321C00085000,2024-03-18 13:53:56+00:00,85.0,71.22,74.5,79.5,0.0,0.0,1,0,1.0000000000000003e-05,True,REGULAR,USD
4,GOOG250321C00090000,2024-08-21 18:51:52+00:00,90.0,80.33,74.7,78.4,0.0,0.0,1,14,0.6296423754882813,True,REGULAR,USD
5,GOOG250321C00095000,2024-09-12 18:57:42+00:00,95.0,63.2,70.1,73.7,0.0,0.0,1,4,0.6123085644531252,True,REGULAR,USD
6,GOOG250321C00100000,2024-10-16 17:17:03+00:00,100.0,68.62,66.75,67.55,0.0,0.0,11,5725,0.5839885351562499,True,REGULAR,USD
7,GOOG250321C00105000,2024-10-01 17:30:40+00:00,105.0,64.8,61.2,62.75,0.0,0.0,3,318,0.5256395092773438,True,REGULAR,USD
8,GOOG250321C00110000,2024-10-17 18:05:03+00:00,110.0,57.55,56.4,58.95,0.0,0.0,2,148,0.5258836474609375,True,REGULAR,USD
9,GOOG250321C00115000,2024-10-17 14:34:59+00:00,115.0,53.25,52.65,53.2,0.0,0.0,1,334,0.5091601818847658,True,REGULAR,USD
10,GOOG250321C00120000,2024-10-17 18:05:03+00:00,120.0,48.2,48.0,48.45,0.0,0.0,10,602,0.47626256164550784,True,REGULAR,USD
11,GOOG250321C00125000,2024-10-18 19:49:50+00:00,125.0,43.75,43.5,43.8,0.54999924,1.2731464,23,678,0.44714908325195313,True,REGULAR,USD
12,GOOG250321C00130000,2024-10-18 18:47:28+00:00,130.0,39.5,39.0,39.3,-1.1800003,-2.9006891,4,385,0.4226742303466796,True,REGULAR,USD
13,GOOG250321C00135000,2024-10-18 18:36:26+00:00,135.0,35.05,34.55,34.95,-2.2299995,-5.9817586,7,358,0.4012511047363281,True,REGULAR,USD
14,GOOG250321C00140000,2024-10-18 19:18:31+00:00,140.0,30.95,30.5,30.8,-0.02999878,-0.09683273,12,707,0.383245913696289,True,REGULAR,USD
15,GOOG250321C00145000,2024-10-18 19:42:05+00:00,145.0,26.85,26.55,26.8,0.39999962,1.5122858,10,213,0.3657289990234375,True,REGULAR,USD
16,GOOG250321C00150000,2024-10-18 16:59:41+00:00,150.0,22.9,22.85,23.15,-0.10000038,-0.43478426,22,738,0.35346105529785155,True,REGULAR,USD
17,GOOG250321C00155000,2024-10-17 19:56:00+00:00,155.0,19.68,19.35,19.65,0.32999992,1.705426,1,376,0.33969776519775385,True,REGULAR,USD
18,GOOG250321C00160000,2024-10-18 17:12:22+00:00,160.0,16.66,16.3,16.5,0.3600006,2.2085927,2,2870,0.3289251678466796,True,REGULAR,USD
19,GOOG250321C00165000,2024-10-18 19:30:29+00:00,165.0,13.8,13.5,13.7,0.15000057,1.0989053,36,3762,0.3202887796020507,True,REGULAR,USD
20,GOOG250321C00170000,2024-10-18 19:49:09+00:00,170.0,11.2,11.05,11.25,-0.22000027,-1.926447,134,3992,0.3133613586425781,False,REGULAR,USD
21,GOOG250321C00175000,2024-10-18 18:59:40+00:00,175.0,9.25,8.95,9.15,0.3000002,3.3519573,33,1459,0.3080208358764648,False,REGULAR,USD
22,GOOG250321C00180000,2024-10-18 19:15:28+00:00,180.0,7.4,7.15,7.35,0.11000013,1.5089182,99,2324,0.3032906585693359,False,REGULAR,USD
23,GOOG250321C00185000,2024-10-18 18:34:11+00:00,185.0,5.78,5.7,5.85,-0.21999979,-3.6666632,11,1502,0.2995675512695312,False,REGULAR,USD
24,GOOG250321C00190000,2024-10-18 19:48:08+00:00,190.0,4.55,4.45,4.65,-0.17999983,-3.805493,141,1744,0.29761444580078117,False,REGULAR,USD
25,GOOG250321C00195000,2024-10-18 19:53:36+00:00,195.0,3.55,3.5,3.65,-0.049999952,-1.3888876,54,4965,0.2954172021484375,False,REGULAR,USD
26,GOOG250321C00200000,2024-10-18 19:52:34+00:00,200.0,2.79,2.76,2.88,-0.059999943,-2.105261,134,2307,0.2949899603271484,False,REGULAR,USD
