,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,GOOG250620P00045000,2024-10-17 16:09:51+00:00,45.0,0.05,0.03,0.08,0.0,0.0,4,517,0.6035195898437502,False,REGULAR,USD
1,GOOG250620P00050000,2024-09-12 17:23:34+00:00,50.0,0.1,0.03,0.11,0.0,0.0,2,1995,0.570316796875,False,REGULAR,USD
2,GOOG250620P00055000,2024-10-11 19:56:55+00:00,55.0,0.05,0.0,0.13,0.0,0.0,4,904,0.5224657128906249,False,REGULAR,USD
3,GOOG250620P00060000,2024-10-11 16:00:56+00:00,60.0,0.11,0.05,0.13,0.0,0.0,10,435,0.5019581054687501,False,REGULAR,USD
4,GOOG250620P00065000,2024-10-01 14:23:35+00:00,65.0,0.13,0.04,0.16,0.0,0.0,2,1041,0.49805189453125004,False,REGULAR,USD
5,GOOG250620P00070000,2024-10-14 14:05:26+00:00,70.0,0.16,0.08,0.19,0.0,0.0,4,1356,0.4721732470703125,False,REGULAR,USD
6,GOOG250620P00075000,2024-10-15 16:00:54+00:00,75.0,0.15,0.14,0.23,0.0,0.0,10,1199,0.44873598144531246,False,REGULAR,USD
7,GOOG250620P00080000,2024-09-18 19:13:21+00:00,80.0,0.34,0.19,0.29,0.0,0.0,5,773,0.42969320312500003,False,REGULAR,USD
8,GOOG250620P00085000,2024-10-09 19:27:15+00:00,85.0,0.39,0.23,0.36,0.0,0.0,1,569,0.4106504248046875,False,REGULAR,USD
9,GOOG250620P00090000,2024-10-14 19:37:21+00:00,90.0,0.39,0.33,0.44,0.0,0.0,5,1017,0.3918517846679687,False,REGULAR,USD
10,GOOG250620P00095000,2024-10-01 18:03:29+00:00,95.0,0.55,0.44,0.55,0.0,0.0,2,677,0.3754945263671875,False,REGULAR,USD
11,GOOG250620P00100000,2024-10-18 19:50:07+00:00,100.0,0.62,0.57,0.69,0.01999998,3.3333302,1,1666,0.3601138208007812,False,REGULAR,USD
12,GOOG250620P00105000,2024-10-15 18:04:27+00:00,105.0,0.76,0.75,0.85,0.0,0.0,1,1032,0.3443669079589844,False,REGULAR,USD
13,GOOG250620P00110000,2024-10-17 14:44:04+00:00,110.0,1.04,0.98,1.08,0.0,0.0,2,2327,0.3315496533203125,False,REGULAR,USD
14,GOOG250620P00115000,2024-10-15 13:30:00+00:00,115.0,1.25,1.29,1.36,0.0,0.0,2,1839,0.3188544677734374,False,REGULAR,USD
15,GOOG250620P00120000,2024-10-18 19:33:45+00:00,120.0,1.7,1.67,1.75,-0.01999998,-1.1627896,8,1985,0.3086006640625,False,REGULAR,USD
16,GOOG250620P00125000,2024-10-18 19:33:43+00:00,125.0,2.2,2.16,2.25,0.10000014,4.761912,9,1908,0.29932341308593746,False,REGULAR,USD
17,GOOG250620P00130000,2024-10-18 19:50:07+00:00,130.0,2.81,2.78,2.91,-0.18000007,-6.020069,1,3654,0.29175512939453113,False,REGULAR,USD
18,GOOG250620P00135000,2024-10-18 19:33:06+00:00,135.0,3.6,3.55,3.7,0.049999952,1.4084494,12,2613,0.28375960388183585,False,REGULAR,USD
19,GOOG250620P00140000,2024-10-18 19:23:10+00:00,140.0,4.53,4.5,4.65,0.03000021,0.66667134,1,2148,0.2756420092773437,False,REGULAR,USD
20,GOOG250620P00145000,2024-10-18 16:09:20+00:00,145.0,5.85,5.7,5.9,0.25,4.464286,6,4396,0.2703014865112304,False,REGULAR,USD
21,GOOG250620P00150000,2024-10-18 19:52:36+00:00,150.0,7.19,7.1,7.25,-0.21000004,-2.8378382,34,3181,0.26215337463378907,False,REGULAR,USD
22,GOOG250620P00155000,2024-10-17 17:16:00+00:00,155.0,8.75,8.75,9.0,0.0,0.0,206,3046,0.2574537145996094,False,REGULAR,USD
23,GOOG250620P00160000,2024-10-17 19:05:26+00:00,160.0,10.89,10.7,10.9,-0.119999886,-1.0899172,2,5903,0.25040422454833977,False,REGULAR,USD
24,GOOG250620P00165000,2024-10-18 19:33:06+00:00,165.0,12.85,12.9,13.1,0.20000076,1.5810337,17,1635,0.2438430108642578,False,REGULAR,USD
25,GOOG250620P00170000,2024-10-18 14:20:37+00:00,170.0,15.34,15.4,15.65,0.34000015,2.2666676,5,1155,0.23841093627929685,True,REGULAR,USD
26,GOOG250620P00175000,2024-10-18 17:11:55+00:00,175.0,18.1,18.2,18.45,0.26000023,1.4574003,1,2369,0.23212437805175778,True,REGULAR,USD
