,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,HD250620C00145000,2024-06-24 13:55:34+00:00,145.0,212.5,210.6,214.5,0.0,0.0,2.0,4,1.0000000000000003e-05,True,REGULAR,USD
1,HD250620C00150000,2024-04-30 18:22:30+00:00,150.0,185.88,180.05,184.45,0.0,0.0,1.0,1,1.0000000000000003e-05,True,REGULAR,USD
2,HD250620C00165000,2024-08-23 14:41:43+00:00,165.0,206.91,224.6,228.3,0.0,0.0,5.0,5,1.0000000000000003e-05,True,REGULAR,USD
3,HD250620C00170000,2023-12-19 14:44:57+00:00,170.0,184.85,188.0,191.85,0.0,0.0,3.0,5,1.0000000000000003e-05,True,REGULAR,USD
4,HD250620C00175000,2024-10-07 13:30:03+00:00,175.0,229.9,239.2,243.45,0.0,0.0,1.0,1,0.5537154003906251,True,REGULAR,USD
5,HD250620C00195000,2024-07-11 13:36:56+00:00,195.0,154.4,154.9,158.95,0.0,0.0,,1,1.0000000000000003e-05,True,REGULAR,USD
6,HD250620C00200000,2024-07-12 13:57:54+00:00,200.0,162.95,150.2,154.45,0.0,0.0,5.0,16,1.0000000000000003e-05,True,REGULAR,USD
7,HD250620C00210000,2024-07-11 13:36:56+00:00,210.0,140.45,140.5,145.0,0.0,0.0,,4,1.0000000000000003e-05,True,REGULAR,USD
8,HD250620C00220000,2024-07-11 13:36:56+00:00,220.0,131.25,132.65,135.95,0.0,0.0,1.0,1,1.0000000000000003e-05,True,REGULAR,USD
9,HD250620C00230000,2024-10-15 18:19:16+00:00,230.0,189.0,185.75,189.8,0.0,0.0,30.0,45,0.5168505346679688,True,REGULAR,USD
10,HD250620C00240000,2024-10-15 18:21:39+00:00,240.0,179.37,176.15,180.2,0.0,0.0,8.0,127,0.49573258178710944,True,REGULAR,USD
11,HD250620C00250000,2024-07-10 19:09:01+00:00,250.0,101.35,105.8,109.45,0.0,0.0,3.0,6,1.0000000000000003e-05,True,REGULAR,USD
12,HD250620C00260000,2024-07-19 19:44:25+00:00,260.0,111.0,107.25,110.7,0.0,0.0,2.0,11,1.0000000000000003e-05,True,REGULAR,USD
13,HD250620C00270000,2024-08-21 13:30:08+00:00,270.0,105.37,0.0,0.0,0.0,0.0,1.0,38,1.0000000000000003e-05,True,REGULAR,USD
14,HD250620C00280000,2024-08-27 13:56:18+00:00,280.0,99.95,122.8,125.35,0.0,0.0,4.0,43,1.0000000000000003e-05,True,REGULAR,USD
15,HD250620C00290000,2024-09-24 14:06:05+00:00,290.0,114.3,129.3,133.05,0.0,0.0,5.0,20,0.4032957620239258,True,REGULAR,USD
16,HD250620C00300000,2024-10-09 13:47:04+00:00,300.0,124.05,120.7,122.95,0.0,0.0,1.0,144,0.37329728271484375,True,REGULAR,USD
17,HD250620C00310000,2024-10-02 13:56:22+00:00,310.0,107.25,111.8,113.7,0.0,0.0,1.0,129,0.3563907135009765,True,REGULAR,USD
18,HD250620C00320000,2024-09-23 17:07:51+00:00,320.0,82.7,102.95,104.85,0.0,0.0,2.0,119,0.34393966613769533,True,REGULAR,USD
19,HD250620C00330000,2024-10-04 17:20:12+00:00,330.0,90.3,94.45,96.55,0.0,0.0,2.0,129,0.33646293426513674,True,REGULAR,USD
20,HD250620C00340000,2024-10-02 18:00:11+00:00,340.0,83.23,86.05,87.05,0.0,0.0,2.0,115,0.31345291046142576,True,REGULAR,USD
