,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,HD260116P00145000,2024-10-18 19:59:29+00:00,145.0,0.74,0.68,0.86,-0.050000012,-6.3291154,80.0,3344.0,0.4555718505859375,False,REGULAR,USD
1,HD260116P00150000,2024-10-17 13:30:17+00:00,150.0,0.77,0.69,2.05,0.0,0.0,3.0,213.0,0.5109301837158204,False,REGULAR,USD
2,HD260116P00155000,2024-10-18 14:21:00+00:00,155.0,0.72,0.37,2.11,-0.3399999,-32.075466,3.0,27.0,0.49841810180664065,False,REGULAR,USD
3,HD260116P00160000,2024-10-18 14:21:00+00:00,160.0,1.04,0.41,2.16,-1.73,-62.454872,3.0,30.0,0.4858449853515625,False,REGULAR,USD
4,HD260116P00165000,2024-07-18 18:03:47+00:00,165.0,1.59,0.54,2.55,0.0,0.0,2.0,28.0,0.48694360717773444,False,REGULAR,USD
5,HD260116P00170000,2024-08-14 19:54:12+00:00,170.0,1.5,0.73,2.01,0.0,0.0,1.0,23.0,0.4516046051025391,False,REGULAR,USD
6,HD260116P00175000,2024-10-04 17:38:23+00:00,175.0,1.15,0.9,1.53,0.0,0.0,2.0,43.0,0.4172421557617187,False,REGULAR,USD
7,HD260116P00180000,2024-09-20 13:38:25+00:00,180.0,1.37,0.66,1.75,0.0,0.0,3.0,73.0,0.4146787048339844,False,REGULAR,USD
8,HD260116P00185000,2024-10-16 15:53:03+00:00,185.0,1.05,0.65,1.67,0.0,0.0,2.0,127.0,0.39905386108398444,False,REGULAR,USD
9,HD260116P00190000,2024-10-16 19:48:22+00:00,190.0,1.0,0.7,1.74,0.0,0.0,20.0,525.0,0.3900817828369141,False,REGULAR,USD
10,HD260116P00195000,2024-10-17 17:38:42+00:00,195.0,1.57,1.4,1.69,0.0,0.0,7.0,281.0,0.3764710791015625,False,REGULAR,USD
11,HD260116P00200000,2024-10-17 17:28:48+00:00,200.0,1.63,1.31,1.98,0.0,0.0,50.0,191.0,0.3761048718261719,False,REGULAR,USD
12,HD260116P00210000,2024-10-18 19:59:29+00:00,210.0,1.82,1.29,2.15,-0.13,-6.666666,32.0,100.0,0.3595645098876953,False,REGULAR,USD
13,HD260116P00220000,2024-10-09 13:32:34+00:00,220.0,2.53,2.0,2.48,0.0,0.0,1.0,106.0,0.3479069116210937,False,REGULAR,USD
14,HD260116P00230000,2024-10-04 17:51:01+00:00,230.0,2.95,1.94,3.4,0.0,0.0,1.0,84.0,0.3498600170898437,False,REGULAR,USD
15,HD260116P00240000,2024-10-17 17:24:52+00:00,240.0,1.94,1.77,3.9,0.0,0.0,10.0,392.0,0.3391179370117187,False,REGULAR,USD
16,HD260116P00250000,2024-10-10 17:23:26+00:00,250.0,3.55,3.0,3.8,-0.059999943,-1.6620483,2.0,428.0,0.31604687866210934,False,REGULAR,USD
17,HD260116P00260000,2024-10-17 17:36:22+00:00,260.0,4.05,3.9,4.25,0.0,0.0,1.0,181.0,0.30405359039306634,False,REGULAR,USD
18,HD260116P00270000,2024-10-18 14:21:09+00:00,270.0,4.85,4.6,4.95,0.0,0.0,1.0,192.0,0.2955697885131836,False,REGULAR,USD
19,HD260116P00280000,2024-10-16 16:19:35+00:00,280.0,5.96,5.4,5.8,0.0,0.0,7.0,332.0,0.2880015048217772,False,REGULAR,USD
20,HD260116P00290000,2024-10-18 16:53:01+00:00,290.0,6.35,6.3,6.75,-1.1700001,-15.558511,7.0,235.0,0.2803416693115234,False,REGULAR,USD
21,HD260116P00300000,2024-10-17 17:23:49+00:00,300.0,7.65,7.35,7.9,0.0,0.0,4.0,231.0,0.27362786926269533,False,REGULAR,USD
22,HD260116P00310000,2024-10-18 19:41:56+00:00,310.0,8.94,8.6,9.15,0.059999466,0.6756696,1.0,167.0,0.26642579284667967,False,REGULAR,USD
23,HD260116P00320000,2024-10-15 14:19:11+00:00,320.0,9.85,10.1,10.6,0.0,0.0,5.0,403.0,0.2596814755249024,False,REGULAR,USD
24,HD260116P00330000,2024-10-16 18:23:43+00:00,330.0,11.95,11.8,12.3,0.0,0.0,1.0,241.0,0.25356276229858404,False,REGULAR,USD
