,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,INTC250417C00010000,2024-10-11 14:13:32+00:00,10.0,14.04,12.6,14.25,0.0,0.0,2,119,1.021489267578125,True,REGULAR,USD
1,INTC250417C00012000,2024-10-02 13:37:25+00:00,12.0,11.27,9.65,12.4,0.0,0.0,10,249,0.63867548828125,True,REGULAR,USD
2,INTC250417C00013000,2024-10-14 19:52:24+00:00,13.0,11.15,9.6,11.5,0.0,0.0,3,45,0.7944356494140624,True,REGULAR,USD
3,INTC250417C00014000,2024-09-30 15:55:09+00:00,14.0,10.2,9.45,10.65,0.0,0.0,7,39,0.866212275390625,True,REGULAR,USD
4,INTC250417C00015000,2024-10-18 15:35:17+00:00,15.0,8.6,8.6,9.7,0.0,0.0,10,250,0.8061542822265625,True,REGULAR,USD
5,INTC250417C00016000,2024-10-17 14:03:54+00:00,16.0,7.7,7.8,7.95,0.0,0.0,11,132,0.6543003320312502,True,REGULAR,USD
6,INTC250417C00017000,2024-10-15 15:30:46+00:00,17.0,7.22,6.55,7.2,0.0,0.0,1,73,0.5795940478515625,True,REGULAR,USD
7,INTC250417C00018000,2024-10-18 14:29:54+00:00,18.0,6.4,5.45,7.4,-0.099999905,-1.53846,4,459,0.6259803027343751,True,REGULAR,USD
8,INTC250417C00019000,2024-10-18 17:49:42+00:00,19.0,5.6,5.3,5.8,0.5,9.803922,3,654,0.5730023168945313,True,REGULAR,USD
9,INTC250417C00020000,2024-10-18 14:59:28+00:00,20.0,5.0,5.05,5.15,0.05000019,1.0101049,13,1003,0.5949747534179688,True,REGULAR,USD
10,INTC250417C00021000,2024-10-17 13:39:19+00:00,21.0,4.4,4.45,5.55,0.0,0.0,1,1934,0.6655306884765627,True,REGULAR,USD
11,INTC250417C00022000,2024-10-18 17:22:44+00:00,22.0,3.9,3.95,4.05,0.0,0.0,38,2819,0.5766643896484375,True,REGULAR,USD
12,INTC250417C00023000,2024-10-18 19:35:47+00:00,23.0,3.41,3.45,3.55,0.0,0.0,27,1959,0.5656781713867188,False,REGULAR,USD
13,INTC250417C00024000,2024-10-18 14:31:36+00:00,24.0,3.07,3.0,3.6,0.07999992,2.6755826,3,938,0.59570716796875,False,REGULAR,USD
14,INTC250417C00025000,2024-10-18 17:56:03+00:00,25.0,2.69,2.61,2.75,0.08000016,3.0651402,6,3907,0.5534712622070312,False,REGULAR,USD
15,INTC250417C00026000,2024-10-17 19:11:28+00:00,26.0,2.29,2.32,2.58,0.0,0.0,11,1669,0.5666547241210937,False,REGULAR,USD
16,INTC250417C00027000,2024-10-18 16:28:39+00:00,27.0,2.02,1.67,2.29,0.120000005,6.31579,5,1148,0.5363815893554689,False,REGULAR,USD
17,INTC250417C00028000,2024-10-18 19:03:12+00:00,28.0,1.7,1.35,2.01,-0.059999943,-3.4090877,1,2834,0.5273484765625001,False,REGULAR,USD
18,INTC250417C00029000,2024-10-17 19:00:23+00:00,29.0,1.51,1.31,1.88,0.0,0.0,4,146,0.5498091894531252,False,REGULAR,USD
19,INTC250417C00030000,2024-10-18 19:29:41+00:00,30.0,1.33,1.27,1.56,0.03000009,2.3076994,10,1382,0.5522505712890625,False,REGULAR,USD
20,INTC250417C00031000,2024-10-18 17:13:18+00:00,31.0,1.14,1.07,1.2,0.00999999,0.8849549,4,276,0.5317429638671876,False,REGULAR,USD
21,INTC250417C00032000,2024-10-18 17:33:28+00:00,32.0,0.97,0.98,1.04,-0.01999998,-2.0202003,2,171,0.5361374511718751,False,REGULAR,USD
22,INTC250417C00033000,2024-10-17 19:25:27+00:00,33.0,0.86,0.74,0.98,0.0,0.0,5,818,0.5317429638671876,False,REGULAR,USD
23,INTC250417C00034000,2024-10-15 14:38:41+00:00,34.0,0.81,0.51,0.79,0.0,0.0,2,12,0.5083056982421875,False,REGULAR,USD
24,INTC250417C00035000,2024-10-18 19:35:42+00:00,35.0,0.62,0.63,0.69,-0.029999971,-4.6153803,16,912,0.5336960693359375,False,REGULAR,USD
