,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,INTC260618P00005000,2024-09-30 18:20:13+00:00,5.0,0.13,0.02,1.37,0.0,0.0,,2,0.9941406835937501,False,REGULAR,USD
1,INTC260618P00010000,2024-10-16 13:50:31+00:00,10.0,0.56,0.5,0.6,0.0,0.0,2.0,183,0.5293015820312501,False,REGULAR,USD
2,INTC260618P00013000,2024-10-15 18:34:40+00:00,13.0,1.0,0.9,1.4,0.0,0.0,1.0,668,0.5009815527343751,False,REGULAR,USD
3,INTC260618P00015000,2024-10-16 19:51:35+00:00,15.0,1.56,1.39,1.91,0.0,0.0,6.0,2929,0.5136767382812499,False,REGULAR,USD
4,INTC260618P00018000,2024-10-16 17:33:21+00:00,18.0,2.58,2.18,2.84,0.0,0.0,1750.0,20069,0.4721732470703125,False,REGULAR,USD
5,INTC260618P00020000,2024-10-18 15:08:59+00:00,20.0,3.35,2.99,3.45,-0.25,-6.9444447,2001.0,4197,0.4337214831542969,False,REGULAR,USD
6,INTC260618P00023000,2024-10-16 17:55:00+00:00,23.0,5.0,4.45,4.95,0.0,0.0,2.0,2673,0.4154111193847656,True,REGULAR,USD
7,INTC260618P00025000,2024-10-16 14:26:58+00:00,25.0,6.25,5.8,6.25,0.0,0.0,155.0,11076,0.4167538793945312,True,REGULAR,USD
8,INTC260618P00028000,2024-10-16 14:45:15+00:00,28.0,8.35,7.7,8.05,0.0,0.0,133.0,2229,0.38867798828125,True,REGULAR,USD
9,INTC260618P00030000,2024-10-16 17:03:44+00:00,30.0,9.65,9.0,10.35,0.0,0.0,2.0,7065,0.4558159887695313,True,REGULAR,USD
10,INTC260618P00033000,2024-10-02 19:36:03+00:00,33.0,11.7,11.15,11.75,0.0,0.0,69.0,1810,0.36133451171875,True,REGULAR,USD
11,INTC260618P00035000,2024-10-09 13:30:08+00:00,35.0,12.79,12.75,13.85,0.0,0.0,5.0,589,0.40039662109375,True,REGULAR,USD
12,INTC260618P00038000,2024-09-27 18:37:17+00:00,38.0,15.01,15.4,18.5,0.0,0.0,3.0,762,0.5949747534179688,True,REGULAR,USD
13,INTC260618P00040000,2024-10-01 18:17:40+00:00,40.0,17.59,15.05,20.0,0.0,0.0,129.0,2011,0.5747112841796875,True,REGULAR,USD
14,INTC260618P00043000,2024-10-15 19:02:37+00:00,43.0,20.35,19.2,21.25,0.0,0.0,135.0,112,0.42578699218750005,True,REGULAR,USD
15,INTC260618P00045000,2024-08-16 19:24:55+00:00,45.0,24.19,23.05,26.55,0.0,0.0,5.0,2,0.6103554589843752,True,REGULAR,USD
16,INTC260618P00047000,2024-08-14 14:44:50+00:00,47.0,26.71,25.1,27.7,0.0,0.0,1.0,0,0.5903361279296876,True,REGULAR,USD
17,INTC260618P00050000,2024-08-09 17:17:27+00:00,50.0,30.17,29.0,33.15,0.0,0.0,3.0,0,0.7740501110839844,True,REGULAR,USD
18,INTC260618P00055000,2024-02-01 17:47:59+00:00,55.0,15.03,13.85,15.3,0.0,0.0,,10,1.0000000000000003e-05,True,REGULAR,USD
19,INTC260618P00060000,2024-05-24 13:41:08+00:00,60.0,29.68,26.5,31.5,0.0,0.0,10.0,0,1.0000000000000003e-05,True,REGULAR,USD
20,INTC260618P00065000,2024-03-07 19:30:37+00:00,65.0,20.7,25.1,27.7,0.0,0.0,3.0,20,1.0000000000000003e-05,True,REGULAR,USD
21,INTC260618P00070000,2024-08-19 16:19:13+00:00,70.0,48.75,46.55,51.45,0.0,0.0,2.0,0,0.7063017651367188,True,REGULAR,USD
