,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,JNJ241108C00155000,2024-10-09 16:47:59+00:00,155.0,8.05,8.7,11.35,0.0,0.0,,4,0.30274134765625,True,REGULAR,USD
1,JNJ241108C00157500,2024-10-17 18:49:53+00:00,157.5,7.61,8.25,10.25,0.0,0.0,5.0,7,0.3654848608398438,True,REGULAR,USD
2,JNJ241108C00160000,2024-10-18 19:13:23+00:00,160.0,6.0,4.3,8.0,-0.05000019,-0.8264494,5.0,40,0.32349309326171866,True,REGULAR,USD
3,JNJ241108C00162500,2024-10-18 13:58:10+00:00,162.5,4.0,3.25,6.1,-0.28999996,-6.759906,1.0,111,0.29822479125976553,True,REGULAR,USD
4,JNJ241108C00165000,2024-10-18 19:28:24+00:00,165.0,2.57,2.37,2.88,0.16999984,7.0833263,24.0,370,0.17847501220703127,True,REGULAR,USD
5,JNJ241108C00167500,2024-10-18 19:12:23+00:00,167.5,1.4,1.21,1.92,0.0,0.0,17.0,441,0.1859212268066406,False,REGULAR,USD
6,JNJ241108C00170000,2024-10-18 19:07:55+00:00,170.0,0.69,0.67,0.94,0.029999971,4.54545,26.0,1816,0.16895362304687503,False,REGULAR,USD
7,JNJ241108C00172500,2024-10-18 19:03:04+00:00,172.5,0.31,0.29,0.37,0.030000001,10.714286,114.0,1145,0.1550377465820313,False,REGULAR,USD
8,JNJ241108C00175000,2024-10-18 18:34:40+00:00,175.0,0.15,0.1,0.27,0.02000001,15.3846245,4.0,1019,0.174812939453125,False,REGULAR,USD
9,JNJ241108C00177500,2024-10-15 14:30:20+00:00,177.5,0.18,0.02,0.47,0.0,0.0,88.0,106,0.2368240380859375,False,REGULAR,USD
10,JNJ241108C00180000,2024-10-11 16:15:19+00:00,180.0,0.08,0.01,0.63,0.0,0.0,8.0,1,0.2915109912109374,False,REGULAR,USD
11,JNJ241108C00182500,2024-10-16 15:46:22+00:00,182.5,0.04,0.0,0.41,0.0,0.0,1.0,3,0.29053443847656246,False,REGULAR,USD
