,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,JNJ241115P00110000,2024-10-15 14:31:19+00:00,110.0,0.03,0.0,0.07,0.0,0.0,1,17,0.570316796875,False,REGULAR,USD
1,JNJ241115P00115000,2024-10-03 17:59:25+00:00,115.0,0.05,0.0,0.42,0.0,0.0,10,36,0.6523472265625001,False,REGULAR,USD
2,JNJ241115P00120000,2024-10-11 19:59:42+00:00,120.0,0.1,0.0,0.43,0.0,0.0,1,28,0.58789474609375,False,REGULAR,USD
3,JNJ241115P00125000,2024-10-03 15:39:35+00:00,125.0,0.15,0.0,0.44,0.0,0.0,4,1159,0.524418818359375,False,REGULAR,USD
4,JNJ241115P00130000,2024-10-15 17:19:36+00:00,130.0,0.03,0.0,0.2,0.0,0.0,8,63,0.45313046875,False,REGULAR,USD
5,JNJ241115P00135000,2024-10-17 15:24:31+00:00,135.0,0.03,0.01,0.32,0.0,0.0,3,202,0.42676354492187507,False,REGULAR,USD
6,JNJ241115P00140000,2024-10-18 17:02:11+00:00,140.0,0.17,0.02,0.11,0.13,325.0,15,373,0.299811689453125,False,REGULAR,USD
7,JNJ241115P00145000,2024-10-18 18:55:52+00:00,145.0,0.1,0.09,0.1,-0.009999998,-9.090907,53,825,0.24024197265624997,False,REGULAR,USD
8,JNJ241115P00150000,2024-10-18 18:55:52+00:00,150.0,0.16,0.15,0.25,-0.049999997,-23.809523,18,2639,0.22266402343749997,False,REGULAR,USD
9,JNJ241115P00155000,2024-10-18 19:36:04+00:00,155.0,0.36,0.32,0.48,-0.089999974,-19.999994,32,4329,0.19117019775390626,False,REGULAR,USD
10,JNJ241115P00160000,2024-10-18 19:54:42+00:00,160.0,0.88,0.85,0.89,-0.21000004,-19.266058,128,8747,0.15125360473632815,False,REGULAR,USD
11,JNJ241115P00165000,2024-10-18 19:56:03+00:00,165.0,2.39,2.29,2.38,-0.25,-9.469697,1208,2327,0.133797724609375,False,REGULAR,USD
12,JNJ241115P00170000,2024-10-18 19:38:56+00:00,170.0,5.6,5.05,7.45,-0.75,-11.811024,8,344,0.24878680908203127,True,REGULAR,USD
13,JNJ241115P00175000,2024-10-18 16:16:57+00:00,175.0,10.15,8.25,10.05,-0.8500004,-7.7272763,8,0,0.1362391064453125,True,REGULAR,USD
