,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,JPM261218C00100000,2024-10-11 13:35:37+00:00,100.0,122.25,125.0,129.5,0.0,0.0,1,15,0.42407802490234375,True,REGULAR,USD
1,JPM261218C00105000,2024-09-23 13:59:25+00:00,105.0,105.25,120.0,125.0,0.0,0.0,2,4,0.41519749847412113,True,REGULAR,USD
2,JPM261218C00115000,2024-10-04 18:08:23+00:00,115.0,97.92,111.5,116.0,0.0,0.0,10,50,0.3958190301513672,True,REGULAR,USD
3,JPM261218C00120000,2024-10-17 13:37:29+00:00,120.0,107.65,107.0,112.0,0.0,0.0,2,6,0.39539178833007815,True,REGULAR,USD
4,JPM261218C00125000,2024-09-23 16:54:07+00:00,125.0,105.05,102.5,107.45,15.389999,17.164845,4,18,0.38327643096923825,True,REGULAR,USD
5,JPM261218C00130000,2024-10-17 15:18:22+00:00,130.0,101.23,98.6,103.45,0.0,0.0,10,40,0.3804688418579102,True,REGULAR,USD
6,JPM261218C00135000,2024-10-04 18:12:04+00:00,135.0,82.05,94.5,98.9,0.0,0.0,10,8,0.36780417358398443,True,REGULAR,USD
7,JPM261218C00140000,2024-10-16 13:48:00+00:00,140.0,89.6,90.0,95.0,0.0,0.0,2,280,0.36484399810791024,True,REGULAR,USD
8,JPM261218C00145000,2024-10-17 13:34:01+00:00,145.0,87.05,86.15,89.8,0.0,0.0,2,282,0.3425358715820312,True,REGULAR,USD
9,JPM261218C00150000,2024-10-17 14:54:24+00:00,150.0,84.85,83.0,85.9,0.0,0.0,15,192,0.3386906951904296,True,REGULAR,USD
10,JPM261218C00155000,2024-10-15 19:51:02+00:00,155.0,78.0,78.05,81.3,0.0,0.0,44,94,0.3250494741821288,True,REGULAR,USD
11,JPM261218C00160000,2024-10-17 19:21:45+00:00,160.0,76.1,75.5,77.3,0.0,0.0,2,67,0.31873239868164055,True,REGULAR,USD
12,JPM261218C00165000,2024-10-16 13:47:21+00:00,165.0,70.15,70.55,75.45,0.0,0.0,4,49,0.33600517517089845,True,REGULAR,USD
13,JPM261218C00170000,2024-10-16 13:46:11+00:00,170.0,66.65,67.05,71.45,0.0,0.0,10,26,0.3274298214721679,True,REGULAR,USD
14,JPM261218C00175000,2024-10-16 13:51:00+00:00,175.0,63.45,64.45,67.4,0.0,0.0,26,53,0.31793894958496094,True,REGULAR,USD
15,JPM261218C00180000,2024-10-16 13:45:52+00:00,180.0,59.55,60.0,63.65,0.0,0.0,40,116,0.3110267872619628,True,REGULAR,USD
16,JPM261218C00185000,2024-10-16 16:11:54+00:00,185.0,56.9,58.3,60.25,0.0,0.0,3,169,0.3068764381408691,True,REGULAR,USD
17,JPM261218C00190000,2024-10-18 13:37:54+00:00,190.0,54.0,54.3,56.95,-0.15000153,-0.27701113,2,105,0.30289393402099607,True,REGULAR,USD
18,JPM261218C00195000,2024-10-14 19:27:21+00:00,195.0,49.18,50.25,54.5,0.0,0.0,1,29,0.30560997131347656,True,REGULAR,USD
19,JPM261218C00200000,2024-10-18 19:50:12+00:00,200.0,48.99,48.65,50.4,1.4400024,3.0283964,2,307,0.29314366531372066,True,REGULAR,USD
20,JPM261218C00210000,2024-10-18 18:56:22+00:00,210.0,43.25,41.85,43.95,2.8499985,7.054451,5,130,0.2815013256835937,True,REGULAR,USD
21,JPM261218C00220000,2024-10-18 19:50:12+00:00,220.0,37.98,35.9,37.95,1.8100014,5.0041513,1,240,0.27078976287841794,True,REGULAR,USD
22,JPM261218C00230000,2024-10-17 17:12:33+00:00,230.0,32.4,31.45,33.4,0.0,0.0,10,395,0.2683331224060058,False,REGULAR,USD
23,JPM261218C00240000,2024-10-17 18:20:32+00:00,240.0,27.58,27.0,28.35,0.0,0.0,20,408,0.2589643196105958,False,REGULAR,USD
24,JPM261218C00250000,2024-10-15 18:16:09+00:00,250.0,22.75,22.45,24.0,0.0,0.0,4,134,0.2518537950134277,False,REGULAR,USD
25,JPM261218C00260000,2024-10-17 13:30:22+00:00,260.0,19.4,18.55,20.95,0.0,0.0,3,102,0.2516401741027832,False,REGULAR,USD
26,JPM261218C00270000,2024-10-15 15:10:04+00:00,270.0,16.54,15.65,17.25,0.0,0.0,6,35,0.2434768035888672,False,REGULAR,USD
27,JPM261218C00280000,2024-09-17 13:36:15+00:00,280.0,8.5,11.75,14.7,0.0,0.0,4,24,0.24153895675659182,False,REGULAR,USD
28,JPM261218C00290000,2024-10-04 17:47:33+00:00,290.0,7.45,10.85,11.85,0.0,0.0,1,18,0.23419955261230468,False,REGULAR,USD
29,JPM261218C00300000,2024-10-18 19:50:12+00:00,300.0,9.34,8.95,10.4,0.03999996,0.43010712,1,6,0.23657989990234374,False,REGULAR,USD
30,JPM261218C00310000,2024-10-02 18:38:45+00:00,310.0,4.35,7.2,8.1,0.0,0.0,1,181,0.22840127075195313,False,REGULAR,USD
31,JPM261218C00320000,2024-10-18 19:50:12+00:00,320.0,6.25,5.9,6.75,0.0,0.0,1,24,0.22699747619628902,False,REGULAR,USD
32,JPM261218C00330000,2024-10-17 18:54:26+00:00,330.0,5.35,4.8,5.45,0.0,0.0,3,32,0.22376264526367184,False,REGULAR,USD
