,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,JPM250919P00105000,2024-10-07 17:45:35+00:00,105.0,0.5,0.1,0.75,0.0,0.0,4.0,16,0.426885614013672,False,REGULAR,USD
1,JPM250919P00110000,2024-10-17 19:26:14+00:00,110.0,0.57,0.14,0.85,0.0,0.0,2.0,8,0.41260353027343744,False,REGULAR,USD
2,JPM250919P00115000,2024-10-17 19:25:45+00:00,115.0,0.58,0.2,0.95,0.0,0.0,2.0,7,0.3979552392578125,False,REGULAR,USD
3,JPM250919P00120000,2024-10-17 19:25:22+00:00,120.0,0.72,0.3,1.05,0.0,0.0,2.0,5,0.38294074096679687,False,REGULAR,USD
4,JPM250919P00125000,2024-10-15 18:58:21+00:00,125.0,0.85,0.49,1.15,0.0,0.0,5.0,10,0.36780417358398443,False,REGULAR,USD
5,JPM250919P00130000,2024-10-10 13:57:38+00:00,130.0,1.4,0.55,1.74,0.0,0.0,100.0,100,0.3786072882080078,False,REGULAR,USD
6,JPM250919P00135000,2024-10-17 13:42:31+00:00,135.0,0.99,0.75,1.5,0.0,0.0,1.0,3,0.3450993225097656,False,REGULAR,USD
7,JPM250919P00140000,2024-10-04 17:27:50+00:00,140.0,1.98,0.95,2.23,0.0,0.0,10.0,20,0.35596347167968745,False,REGULAR,USD
8,JPM250919P00145000,2024-10-17 13:30:02+00:00,145.0,1.35,1.3,2.41,0.0,0.0,1.0,3,0.3411931115722656,False,REGULAR,USD
9,JPM250919P00150000,2024-10-11 17:52:59+00:00,150.0,1.85,1.63,2.0,0.0,0.0,10.0,891,0.3051827294921875,False,REGULAR,USD
10,JPM250919P00155000,2024-10-17 15:10:10+00:00,155.0,2.08,1.05,2.91,0.0,0.0,10.0,36,0.31525342956542957,False,REGULAR,USD
11,JPM250919P00160000,2024-10-17 13:59:12+00:00,160.0,2.53,2.33,2.85,0.0,0.0,1.0,91,0.29267064758300776,False,REGULAR,USD
12,JPM250919P00165000,2024-09-26 15:45:23+00:00,165.0,4.8,2.53,4.85,0.0,0.0,1.0,60,0.3223029196166991,False,REGULAR,USD
13,JPM250919P00170000,2024-10-17 14:30:20+00:00,170.0,3.49,3.25,3.4,0.0,0.0,2.0,98,0.266608896484375,False,REGULAR,USD
14,JPM250919P00175000,2024-10-11 16:32:08+00:00,175.0,4.32,3.8,4.55,0.0,0.0,2.0,235,0.2720409710693359,False,REGULAR,USD
15,JPM250919P00180000,2024-10-18 16:20:16+00:00,180.0,4.6,3.5,5.6,-0.099999905,-2.1276577,4.0,238,0.2714306256103516,False,REGULAR,USD
16,JPM250919P00185000,2024-10-18 19:15:02+00:00,185.0,5.4,5.25,7.0,-0.6500001,-10.743803,60.0,248,0.2741466629028321,False,REGULAR,USD
17,JPM250919P00190000,2024-10-11 14:16:35+00:00,190.0,7.0,5.3,6.35,0.0,0.0,1.0,17,0.2405776626586914,False,REGULAR,USD
18,JPM250919P00195000,2024-10-18 18:00:05+00:00,195.0,7.32,7.1,8.0,-0.70999956,-8.841838,1.0,14,0.24402611450195313,False,REGULAR,USD
19,JPM250919P00200000,2024-10-18 14:29:51+00:00,200.0,8.6,8.3,8.9,-0.09999943,-1.1494187,1.0,491,0.2335586898803711,False,REGULAR,USD
20,JPM250919P00205000,2024-10-18 19:14:58+00:00,205.0,9.7,9.55,9.9,-0.35000038,-3.4825907,40.0,97,0.2229997134399414,False,REGULAR,USD
21,JPM250919P00210000,2024-10-17 14:25:42+00:00,210.0,11.45,11.0,11.4,0.0,0.0,9.0,54,0.21726246612548827,False,REGULAR,USD
22,JPM250919P00215000,2024-10-17 19:55:02+00:00,215.0,13.05,12.2,13.0,0.0,0.0,152.0,364,0.2105639247131348,False,REGULAR,USD
23,JPM250919P00220000,2024-10-18 16:05:48+00:00,220.0,14.7,14.4,14.85,-1.0,-6.3694267,15.0,109,0.20462831512451168,False,REGULAR,USD
24,JPM250919P00225000,2024-10-15 15:54:20+00:00,225.0,17.15,16.5,17.0,0.0,0.0,20.0,31,0.19980658599853518,False,REGULAR,USD
25,JPM250919P00230000,2024-10-16 16:16:08+00:00,230.0,20.15,18.7,19.15,0.0,0.0,5.0,40,0.1924214059448242,True,REGULAR,USD
26,JPM250919P00240000,2024-10-11 13:49:35+00:00,240.0,27.45,23.8,24.6,0.0,0.0,,5,0.18290001678466794,True,REGULAR,USD
