,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,KO241025C00055000,2024-10-14 16:34:09+00:00,55.0,15.26,14.45,15.55,0.0,0.0,42.0,21,0.97460962890625,True,REGULAR,USD
1,KO241025C00059000,2024-10-11 14:01:28+00:00,59.0,10.15,10.45,11.55,0.0,0.0,1.0,1,0.73633076171875,True,REGULAR,USD
2,KO241025C00060000,2024-10-18 18:28:36+00:00,60.0,10.5,9.45,10.6,-0.4300003,-3.934129,5.0,3,0.7324245507812499,True,REGULAR,USD
3,KO241025C00061000,2024-10-18 17:10:32+00:00,61.0,9.55,9.45,9.6,0.26000023,2.7987108,1.0,2,0.5898478515625001,True,REGULAR,USD
4,KO241025C00063000,2024-10-14 19:24:51+00:00,63.0,7.45,7.45,7.6,0.0,0.0,28.0,38,0.5488326367187502,True,REGULAR,USD
5,KO241025C00064000,2024-10-11 14:10:42+00:00,64.0,5.45,6.45,6.6,0.0,0.0,1.0,5,0.48828636718750007,True,REGULAR,USD
6,KO241025C00065000,2024-10-18 16:20:59+00:00,65.0,5.55,5.5,5.6,0.20000029,3.7383232,3.0,77,0.42676354492187507,True,REGULAR,USD
7,KO241025C00066000,2024-10-18 19:39:37+00:00,66.0,4.5,4.5,4.65,-0.099999905,-2.173911,3.0,463,0.39258419921875,True,REGULAR,USD
8,KO241025C00067000,2024-10-18 19:07:47+00:00,67.0,3.5,3.55,3.7,0.5,16.666668,3.0,106,0.34961587890624996,True,REGULAR,USD
9,KO241025C00068000,2024-10-18 17:47:31+00:00,68.0,2.65,2.69,2.76,0.5400002,25.592428,61.0,188,0.3007882421875,True,REGULAR,USD
10,KO241025C00069000,2024-10-18 19:42:17+00:00,69.0,1.8,1.88,1.96,0.25,16.129034,40.0,1256,0.2836985693359374,True,REGULAR,USD
11,KO241025C00070000,2024-10-18 19:58:21+00:00,70.0,1.25,1.21,1.25,0.29000002,30.208338,752.0,2162,0.2617261328125,True,REGULAR,USD
12,KO241025C00071000,2024-10-18 19:59:59+00:00,71.0,0.7,0.67,0.72,0.18,34.615387,1045.0,1605,0.24951922363281248,False,REGULAR,USD
13,KO241025C00072000,2024-10-18 19:56:19+00:00,72.0,0.37,0.34,0.37,0.120000005,48.0,684.0,2461,0.242195078125,False,REGULAR,USD
14,KO241025C00073000,2024-10-18 19:53:30+00:00,73.0,0.15,0.13,0.17,0.060000002,66.66667,171.0,1042,0.23926541992187497,False,REGULAR,USD
15,KO241025C00074000,2024-10-18 19:58:57+00:00,74.0,0.08,0.06,0.07,0.02,33.333336,78.0,780,0.23828886718749998,False,REGULAR,USD
16,KO241025C00075000,2024-10-18 19:54:09+00:00,75.0,0.04,0.03,0.04,-0.050000004,-55.555557,85.0,708,0.25586681640625003,False,REGULAR,USD
17,KO241025C00076000,2024-10-17 19:07:09+00:00,76.0,0.01,0.01,0.04,0.0,0.0,15.0,233,0.3007882421875,False,REGULAR,USD
18,KO241025C00077000,2024-10-18 17:56:54+00:00,77.0,0.01,0.0,0.04,-0.049999997,-83.33333,28.0,862,0.3398503515625,False,REGULAR,USD
19,KO241025C00078000,2024-10-18 19:20:28+00:00,78.0,0.01,0.0,0.01,-0.14999999,-93.74999,9.0,2,0.31250687499999996,False,REGULAR,USD
20,KO241025C00080000,2024-10-10 14:59:35+00:00,80.0,0.02,0.0,0.15,0.0,0.0,1.0,90,0.5097705273437501,False,REGULAR,USD
21,KO241025C00082000,2024-09-09 16:17:07+00:00,82.0,0.01,0.0,0.51,0.0,0.0,,2,0.75195560546875,False,REGULAR,USD
