,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,KO250620P00030000,2024-10-18 14:53:22+00:00,30.0,0.07,0.02,0.06,0.030000001,75.00001,2,559,0.45117736328125,False,REGULAR,USD
1,KO250620P00032500,2024-10-18 14:56:42+00:00,32.5,0.06,0.02,0.09,-0.010000002,-14.285716,2,83,0.43555251953125,False,REGULAR,USD
2,KO250620P00035000,2024-10-10 15:20:30+00:00,35.0,0.11,0.04,0.28,0.0,0.0,2,1,0.4770560107421875,False,REGULAR,USD
3,KO250620P00037500,2024-10-15 16:52:46+00:00,37.5,0.09,0.05,0.27,0.0,0.0,2,5,0.432622861328125,False,REGULAR,USD
4,KO250620P00040000,2024-10-18 16:05:42+00:00,40.0,0.11,0.06,0.31,0.0,0.0,4,9,0.40381455566406255,False,REGULAR,USD
5,KO250620P00042500,2024-10-17 16:48:48+00:00,42.5,0.12,0.06,0.4,0.0,0.0,2,170,0.3857483300781249,False,REGULAR,USD
6,KO250620P00045000,2024-10-07 19:20:48+00:00,45.0,0.17,0.1,0.44,0.0,0.0,4,179,0.3562076098632812,False,REGULAR,USD
7,KO250620P00047500,2024-10-10 15:43:21+00:00,47.5,0.23,0.14,0.47,0.0,0.0,2,1756,0.32520206054687495,False,REGULAR,USD
8,KO250620P00050000,2024-10-18 19:31:36+00:00,50.0,0.26,0.2,0.42,-0.07000002,-21.212128,2,1106,0.2827220166015625,False,REGULAR,USD
9,KO250620P00052500,2024-10-16 18:22:37+00:00,52.5,0.32,0.28,0.37,0.0,0.0,2,1583,0.24268335449218748,False,REGULAR,USD
10,KO250620P00055000,2024-10-15 18:57:24+00:00,55.0,0.43,0.41,0.48,0.0,0.0,3,2321,0.225593681640625,False,REGULAR,USD
11,KO250620P00057500,2024-10-16 15:53:16+00:00,57.5,0.59,0.57,0.63,0.0,0.0,1,4665,0.2092364233398437,False,REGULAR,USD
12,KO250620P00060000,2024-10-18 18:28:34+00:00,60.0,0.87,0.79,0.89,-0.06999999,-7.446808,1,4981,0.19763985961914063,False,REGULAR,USD
13,KO250620P00062500,2024-10-17 18:03:34+00:00,62.5,1.37,1.17,1.24,0.0,0.0,21,2588,0.18567708862304685,False,REGULAR,USD
14,KO250620P00065000,2024-10-17 16:28:01+00:00,65.0,1.85,1.66,1.74,0.0,0.0,71,999,0.1749960430908203,False,REGULAR,USD
15,KO250620P00067500,2024-10-18 17:16:55+00:00,67.5,2.41,2.34,2.43,-0.2099998,-8.01526,1,1619,0.16510844665527347,False,REGULAR,USD
16,KO250620P00070000,2024-10-14 19:26:48+00:00,70.0,3.37,3.25,3.35,0.0,0.0,2,441,0.15552602294921875,False,REGULAR,USD
17,KO250620P00072500,2024-10-11 17:33:39+00:00,72.5,5.1,4.4,4.55,0.0,0.0,1,192,0.14673704833984375,True,REGULAR,USD
18,KO250620P00075000,2024-10-07 18:47:08+00:00,75.0,7.0,5.9,6.05,0.0,0.0,2,63,0.1381922119140625,True,REGULAR,USD
19,KO250620P00077500,2024-10-14 18:26:40+00:00,77.5,7.9,7.7,7.85,0.0,0.0,1,5,0.13001358276367186,True,REGULAR,USD
20,KO250620P00080000,2024-10-04 19:27:23+00:00,80.0,10.37,9.8,9.95,0.0,0.0,3,3,0.12500875,True,REGULAR,USD
21,KO250620P00085000,2024-09-23 14:09:44+00:00,85.0,13.08,14.15,14.65,0.0,0.0,1,0,0.12305564453125001,True,REGULAR,USD
