,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,LIN241220C00405000,2024-09-30 14:18:41+00:00,405.0,75.8,82.9,86.4,0.0,0.0,,1,0.39801627380371096,True,REGULAR,USD
1,LIN241220C00435000,2024-10-11 14:03:29+00:00,435.0,44.1,54.1,57.3,0.0,0.0,,2,0.30118496673583983,True,REGULAR,USD
2,LIN241220C00450000,2024-09-27 15:22:53+00:00,450.0,41.3,41.0,43.4,0.0,0.0,5.0,5,0.2597119927978516,True,REGULAR,USD
3,LIN241220C00460000,2024-09-27 14:41:14+00:00,460.0,33.15,33.4,35.2,0.0,0.0,1.0,2,0.24408714904785156,True,REGULAR,USD
4,LIN241220C00465000,2024-10-18 15:03:58+00:00,465.0,28.9,29.3,30.9,-0.55000114,-1.8675759,1.0,17,0.23087316986083983,True,REGULAR,USD
5,LIN241220C00470000,2024-10-17 13:46:26+00:00,470.0,25.7,25.7,26.6,0.0,0.0,6.0,53,0.2161943615722656,True,REGULAR,USD
6,LIN241220C00475000,2024-10-16 16:36:52+00:00,475.0,20.3,22.0,23.3,0.0,0.0,2.0,142,0.21292901336669923,True,REGULAR,USD
7,LIN241220C00480000,2024-10-16 16:21:48+00:00,480.0,17.0,17.7,19.8,0.0,0.0,2.0,68,0.20444521148681638,True,REGULAR,USD
8,LIN241220C00485000,2024-10-16 19:07:25+00:00,485.0,15.5,15.8,16.7,0.0,0.0,29.0,62,0.19831123962402342,True,REGULAR,USD
9,LIN241220C00490000,2024-10-17 18:12:01+00:00,490.0,12.95,13.0,13.7,0.0,0.0,2.0,18,0.19043778320312502,False,REGULAR,USD
10,LIN241220C00495000,2024-10-18 18:34:55+00:00,495.0,10.7,10.6,11.2,-0.19999981,-1.8348607,2.0,24,0.18555501953124998,False,REGULAR,USD
11,LIN241220C00500000,2024-10-18 15:35:00+00:00,500.0,8.52,6.9,9.1,-0.17999935,-2.068958,1.0,13,0.18235070587158203,False,REGULAR,USD
12,LIN241220C00505000,2024-10-18 16:06:37+00:00,505.0,6.6,6.5,7.3,-0.4000001,-5.7142873,3.0,15,0.17963466857910154,False,REGULAR,USD
13,LIN241220C00510000,2024-10-18 15:18:08+00:00,510.0,5.4,5.2,5.7,0.20000029,3.8461595,1.0,363,0.17612518218994144,False,REGULAR,USD
14,LIN241220C00515000,2024-10-17 15:19:11+00:00,515.0,4.4,3.9,6.3,0.0,0.0,1.0,40,0.2033465896606445,False,REGULAR,USD
15,LIN241220C00520000,2024-10-17 18:12:01+00:00,520.0,3.25,3.0,3.5,0.0,0.0,2.0,9,0.1739584558105469,False,REGULAR,USD
16,LIN241220C00525000,2024-10-17 16:22:25+00:00,525.0,2.55,1.2,4.4,0.0,0.0,1.0,13,0.20575745422363279,False,REGULAR,USD
17,LIN241220C00530000,2024-10-17 17:07:56+00:00,530.0,1.95,1.65,2.0,0.0,0.0,1.0,9,0.17112034942626952,False,REGULAR,USD
18,LIN241220C00535000,2024-10-16 17:45:05+00:00,535.0,1.36,0.9,3.5,0.0,0.0,1.0,9,0.2181474670410156,False,REGULAR,USD
19,LIN241220C00540000,2024-09-26 16:37:37+00:00,540.0,1.47,0.7,2.9,0.0,0.0,,5,0.21881884704589843,False,REGULAR,USD
20,LIN241220C00555000,2024-09-26 15:22:52+00:00,555.0,0.74,0.15,1.7,0.0,0.0,5.0,0,0.2237016107177734,False,REGULAR,USD
