,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,LIN250620P00220000,2024-07-23 14:35:11+00:00,220.0,0.12,0.0,5.0,0.0,0.0,,4,0.5599409240722657,False,REGULAR,USD
1,LIN250620P00270000,2024-02-01 16:39:06+00:00,270.0,3.1,0.0,5.0,0.0,0.0,,1,0.5015308636474609,False,REGULAR,USD
2,LIN250620P00280000,2024-02-06 17:07:10+00:00,280.0,3.64,0.6,5.5,0.0,0.0,1.0,75,0.48682153808593753,False,REGULAR,USD
3,LIN250620P00290000,2024-05-24 14:11:14+00:00,290.0,2.95,0.0,5.0,0.0,0.0,10.0,185,0.45038391418457036,False,REGULAR,USD
4,LIN250620P00300000,2024-05-24 14:11:14+00:00,300.0,3.41,0.5,5.2,0.0,0.0,10.0,12,0.430242514038086,False,REGULAR,USD
5,LIN250620P00310000,2024-02-12 15:17:20+00:00,310.0,6.3,3.8,6.0,0.0,0.0,41.0,101,0.42188078125,False,REGULAR,USD
6,LIN250620P00320000,2024-01-31 15:29:22+00:00,320.0,8.7,0.0,0.0,0.0,0.0,,3,0.12500875,False,REGULAR,USD
7,LIN250620P00330000,2024-08-08 19:27:02+00:00,330.0,5.7,2.95,4.0,0.0,0.0,1.0,80,0.33743948699951176,False,REGULAR,USD
8,LIN250620P00340000,2024-09-19 16:38:08+00:00,340.0,2.7,1.9,3.4,0.0,0.0,1.0,326,0.30417565948486325,False,REGULAR,USD
9,LIN250620P00350000,2024-09-25 15:01:13+00:00,350.0,3.04,2.0,3.9,0.0,0.0,30.0,73,0.2940439248657226,False,REGULAR,USD
10,LIN250620P00360000,2024-09-26 14:15:24+00:00,360.0,3.4,2.0,4.4,0.0,0.0,1.0,11,0.28284408569335934,False,REGULAR,USD
11,LIN250620P00370000,2024-09-25 17:17:56+00:00,370.0,3.99,2.4,4.8,0.0,0.0,31.0,216,0.26914183013916015,False,REGULAR,USD
12,LIN250620P00380000,2024-08-08 19:54:42+00:00,380.0,12.0,6.8,8.0,0.0,0.0,3.0,93,0.29184668121337876,False,REGULAR,USD
13,LIN250620P00390000,2024-09-25 17:16:24+00:00,390.0,5.34,2.45,5.6,0.0,0.0,1.0,65,0.24022671401977536,False,REGULAR,USD
14,LIN250620P00400000,2024-09-06 13:34:20+00:00,400.0,7.9,6.9,8.2,0.0,0.0,100.0,314,0.2504652590942382,False,REGULAR,USD
15,LIN250620P00410000,2024-09-17 19:05:14+00:00,410.0,8.9,4.5,7.8,0.0,0.0,1.0,203,0.2246476461791992,False,REGULAR,USD
16,LIN250620P00420000,2024-10-03 17:35:02+00:00,420.0,10.8,6.4,9.1,0.0,0.0,1.0,83,0.21610280975341795,False,REGULAR,USD
17,LIN250620P00430000,2024-10-16 17:08:59+00:00,430.0,9.5,7.6,9.5,0.0,0.0,1.0,53,0.19770089416503905,False,REGULAR,USD
18,LIN250620P00440000,2024-10-03 17:31:44+00:00,440.0,15.8,9.2,12.1,0.0,0.0,1.0,60,0.1968006346130371,False,REGULAR,USD
19,LIN250620P00450000,2024-10-17 16:56:33+00:00,450.0,12.8,11.4,12.5,0.0,0.0,34.0,123,0.17598785446166992,False,REGULAR,USD
20,LIN250620P00460000,2024-10-08 14:51:46+00:00,460.0,21.5,13.1,15.0,0.0,0.0,4.0,77,0.16915198532104492,False,REGULAR,USD
21,LIN250620P00470000,2024-09-25 19:00:11+00:00,470.0,21.8,16.6,18.0,0.0,0.0,4.0,98,0.1626060302734375,False,REGULAR,USD
22,LIN250620P00480000,2024-10-15 14:22:54+00:00,480.0,23.3,20.0,21.4,0.0,0.0,2.0,24,0.15526662612915043,False,REGULAR,USD
23,LIN250620P00490000,2024-09-25 16:58:10+00:00,490.0,30.6,23.3,25.6,0.0,0.0,55.0,55,0.1492394647216797,True,REGULAR,USD
24,LIN250620P00510000,2024-06-18 14:25:30+00:00,510.0,74.8,61.5,65.4,0.0,0.0,,0,0.32533938827514647,True,REGULAR,USD
25,LIN250620P00520000,2024-06-18 14:25:30+00:00,520.0,84.2,69.7,73.5,0.0,0.0,,0,0.33637138244628906,True,REGULAR,USD
