,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,LLY241220C00620000,2024-10-08 14:35:17+00:00,620.0,308.8,302.2,307.85,0.0,0.0,2.0,2,0.6603427520751954,True,REGULAR,USD
1,LLY241220C00640000,2024-10-09 14:14:11+00:00,640.0,284.75,282.7,288.6,0.0,0.0,2.0,1,0.6299475482177734,True,REGULAR,USD
2,LLY241220C00660000,2024-09-18 16:00:28+00:00,660.0,260.2,263.5,268.25,0.0,0.0,,2,0.5912516461181643,True,REGULAR,USD
3,LLY241220C00680000,2024-10-09 14:37:07+00:00,680.0,248.0,244.25,250.1,0.0,0.0,2.0,3,0.5718426605224609,True,REGULAR,USD
4,LLY241220C00700000,2024-10-18 19:32:21+00:00,700.0,226.81,225.25,231.05,0.80999756,0.35840598,1.0,267,0.5445907357788086,True,REGULAR,USD
5,LLY241220C00720000,2024-10-14 15:32:31+00:00,720.0,221.04,206.5,210.75,0.0,0.0,1.0,2,0.5087024227905274,True,REGULAR,USD
6,LLY241220C00740000,2024-09-30 13:31:17+00:00,740.0,190.0,186.55,191.6,43.490005,29.683987,3.0,1,0.5049030223083495,True,REGULAR,USD
7,LLY241220C00760000,2024-10-11 19:28:50+00:00,760.0,183.9,169.15,174.2,0.0,0.0,,3,0.4904836108398438,True,REGULAR,USD
8,LLY241220C00780000,2024-10-09 18:42:51+00:00,780.0,154.45,152.35,155.8,0.0,0.0,2.0,4,0.4616142706298829,True,REGULAR,USD
9,LLY241220C00800000,2024-10-18 17:18:07+00:00,800.0,134.65,135.7,139.45,-3.9000092,-2.814875,4.0,60,0.44988037918090823,True,REGULAR,USD
10,LLY241220C00820000,2024-10-16 16:35:06+00:00,820.0,117.95,119.6,123.05,0.0,0.0,1.0,15,0.43259234405517577,True,REGULAR,USD
11,LLY241220C00840000,2024-10-18 14:38:08+00:00,840.0,103.35,104.9,107.5,-5.1800003,-4.7728744,2.0,51,0.41748629394531245,True,REGULAR,USD
12,LLY241220C00860000,2024-10-17 14:50:36+00:00,860.0,92.2,90.9,92.6,0.0,0.0,1.0,24,0.4019911486053467,True,REGULAR,USD
13,LLY241220C00880000,2024-10-18 18:32:58+00:00,880.0,78.88,77.95,79.85,-2.0699997,-2.5571337,37.0,319,0.3959410992431641,True,REGULAR,USD
14,LLY241220C00890000,2024-10-18 14:00:27+00:00,890.0,68.15,71.8,73.8,-6.75,-9.012016,7.0,74,0.39258419921875,True,REGULAR,USD
15,LLY241220C00900000,2024-10-18 17:17:11+00:00,900.0,65.8,66.4,68.1,-1.699997,-2.518514,13.0,114,0.3898681619262696,True,REGULAR,USD
16,LLY241220C00910000,2024-10-18 18:54:32+00:00,910.0,61.25,61.05,61.8,-1.2000008,-1.9215385,19.0,144,0.3814301359558105,True,REGULAR,USD
17,LLY241220C00920000,2024-10-18 19:57:05+00:00,920.0,56.51,55.7,57.8,-0.29000092,-0.510565,108.0,113,0.3864654859924316,False,REGULAR,USD
18,LLY241220C00930000,2024-10-18 19:55:03+00:00,930.0,51.55,51.2,51.85,-1.1500015,-2.182166,33.0,138,0.37688306228637697,False,REGULAR,USD
19,LLY241220C00940000,2024-10-18 19:21:31+00:00,940.0,46.95,46.5,47.35,-1.2000008,-2.4922135,4.0,149,0.37508254318237305,False,REGULAR,USD
20,LLY241220C00960000,2024-10-18 16:50:24+00:00,960.0,38.9,38.35,39.2,-0.3999977,-1.0178059,6.0,89,0.3717866777038575,False,REGULAR,USD
21,LLY241220C00980000,2024-10-18 18:52:16+00:00,980.0,31.95,31.3,32.2,-1.25,-3.76506,6.0,62,0.3693147785949707,False,REGULAR,USD
22,LLY241220C01000000,2024-10-18 18:30:35+00:00,1000.0,25.82,25.35,26.15,-0.6800003,-2.5660388,31.0,262,0.3667055517578125,False,REGULAR,USD
23,LLY241220C01020000,2024-10-18 17:39:53+00:00,1020.0,20.4,20.2,21.1,-1.3999996,-6.4220166,95.0,109,0.3649050326538086,False,REGULAR,USD
24,LLY241220C01040000,2024-10-18 19:43:24+00:00,1040.0,16.4,16.15,17.0,-0.95000076,-5.475508,9.0,60,0.36437098037719734,False,REGULAR,USD
25,LLY241220C01060000,2024-10-18 19:59:35+00:00,1060.0,13.15,12.8,13.5,-0.25,-1.8656718,1.0,280,0.3629977030944825,False,REGULAR,USD
26,LLY241220C01080000,2024-10-18 18:29:14+00:00,1080.0,10.55,9.95,10.7,-0.5199995,-4.6973763,4.0,44,0.36250942672729497,False,REGULAR,USD
27,LLY241220C01100000,2024-10-18 18:16:59+00:00,1100.0,8.1,7.75,8.4,-0.79999924,-8.988756,5.0,72,0.3618227880859375,False,REGULAR,USD
