,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,LLY250321P00370000,2024-10-15 13:30:09+00:00,370.0,0.56,0.28,4.9,0.0,0.0,1.0,101,0.7178983288574219,False,REGULAR,USD
1,LLY250321P00380000,2024-09-20 19:53:30+00:00,380.0,0.78,0.31,0.93,0.0,0.0,1.0,43,0.5700726586914062,False,REGULAR,USD
2,LLY250321P00390000,2024-08-27 17:59:29+00:00,390.0,1.13,0.33,3.65,0.0,0.0,3.0,4,0.6517368811035158,False,REGULAR,USD
3,LLY250321P00400000,2024-09-06 18:31:07+00:00,400.0,1.17,0.1,5.35,0.0,0.0,2.0,173,0.6671175866699222,False,REGULAR,USD
4,LLY250321P00410000,2024-09-30 16:19:15+00:00,410.0,1.4,0.41,1.06,0.0,0.0,1.0,13,0.5356491748046875,False,REGULAR,USD
5,LLY250321P00440000,2024-10-16 13:30:33+00:00,440.0,1.11,0.08,1.17,0.0,0.0,1.0,31,0.5241746801757812,False,REGULAR,USD
6,LLY250321P00450000,2024-10-10 13:31:20+00:00,450.0,1.26,0.27,5.45,0.0,0.0,2.0,52,0.5860026751708984,False,REGULAR,USD
7,LLY250321P00470000,2024-09-19 14:47:51+00:00,470.0,1.71,0.69,3.45,0.0,0.0,1.0,64,0.5248460601806642,False,REGULAR,USD
8,LLY250321P00480000,2024-10-09 13:31:13+00:00,480.0,1.96,0.73,4.5,0.0,0.0,2.0,21,0.5302781347656251,False,REGULAR,USD
9,LLY250321P00490000,2024-10-18 19:35:50+00:00,490.0,1.63,1.54,1.63,-0.65999997,-28.82096,3.0,23,0.4770560107421875,False,REGULAR,USD
10,LLY250321P00500000,2024-09-27 13:52:05+00:00,500.0,2.86,1.57,2.65,0.0,0.0,1.0,127,0.5017750018310547,False,REGULAR,USD
11,LLY250321P00510000,2024-04-19 13:32:06+00:00,510.0,10.95,2.87,8.4,0.0,0.0,1.0,2,0.5627790304565431,False,REGULAR,USD
12,LLY250321P00520000,2024-10-11 16:15:52+00:00,520.0,2.1,1.5,3.9,0.0,0.0,10.0,11,0.5078784564208985,False,REGULAR,USD
13,LLY250321P00530000,2024-10-11 17:00:56+00:00,530.0,2.5,1.72,6.2,0.0,0.0,3.0,11,0.5421493539428713,False,REGULAR,USD
14,LLY250321P00540000,2024-08-15 13:55:41+00:00,540.0,4.85,1.67,6.25,0.0,0.0,18.0,7,0.5274095111083985,False,REGULAR,USD
15,LLY250321P00550000,2024-10-17 14:08:45+00:00,550.0,2.7,2.38,4.45,0.0,0.0,1.0,62,0.4766592861938477,False,REGULAR,USD
16,LLY250321P00560000,2024-09-13 13:48:24+00:00,560.0,4.35,1.75,4.45,0.0,0.0,10.0,64,0.46234668518066413,False,REGULAR,USD
17,LLY250321P00570000,2024-08-26 15:03:39+00:00,570.0,4.3,2.65,5.05,0.0,0.0,1.0,58,0.4601494415283204,False,REGULAR,USD
18,LLY250321P00580000,2024-06-28 17:22:44+00:00,580.0,5.05,10.5,15.55,0.0,0.0,6.0,68,0.5610548045349122,False,REGULAR,USD
19,LLY250321P00590000,2024-09-27 19:31:23+00:00,590.0,4.25,1.95,6.4,-2.4499998,-36.56716,1.0,14,0.45523616058349614,False,REGULAR,USD
20,LLY250321P00600000,2024-10-17 14:08:45+00:00,600.0,4.34,2.17,6.25,0.0,0.0,1.0,301,0.4385432122802735,False,REGULAR,USD
21,LLY250321P00610000,2024-08-08 13:54:51+00:00,610.0,15.95,6.1,10.75,0.0,0.0,8.0,17,0.4856313644409179,False,REGULAR,USD
22,LLY250321P00620000,2024-10-01 17:35:44+00:00,620.0,8.95,2.65,8.6,0.0,0.0,1.0,82,0.443639596862793,False,REGULAR,USD
23,LLY250321P00630000,2024-10-14 18:47:54+00:00,630.0,5.45,5.55,9.95,0.0,0.0,5.0,75,0.4458063232421875,False,REGULAR,USD
24,LLY250321P00640000,2024-10-07 14:09:41+00:00,640.0,9.2,3.75,10.55,0.0,0.0,2.0,10,0.4379939013671875,False,REGULAR,USD
25,LLY250321P00650000,2024-10-09 15:00:11+00:00,650.0,7.7,5.95,8.7,0.0,0.0,1.0,954,0.40190722610473634,False,REGULAR,USD
26,LLY250321P00660000,2024-10-07 15:37:05+00:00,660.0,10.4,4.8,9.55,0.0,0.0,1.0,55,0.39771110107421875,False,REGULAR,USD
27,LLY250321P00670000,2024-10-15 16:16:49+00:00,670.0,9.7,5.7,12.7,0.0,0.0,10.0,103,0.4162198271179199,False,REGULAR,USD
28,LLY250321P00680000,2024-09-27 17:28:22+00:00,680.0,15.75,8.05,10.75,0.0,0.0,5.0,29,0.38220832641601554,False,REGULAR,USD
