,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,MA241101C00350000,2024-09-20 19:14:00+00:00,350.0,142.59,165.05,169.9,0.0,0.0,1.0,1,1.0756882153320313,True,REGULAR,USD
1,MA241101C00380000,2024-09-13 19:09:44+00:00,380.0,117.09,121.15,126.1,0.0,0.0,,1,1.0000000000000003e-05,True,REGULAR,USD
2,MA241101C00390000,2024-10-17 19:46:47+00:00,390.0,123.01,125.6,130.05,0.0,0.0,1.0,3,0.858399853515625,True,REGULAR,USD
3,MA241101C00430000,2024-09-20 16:49:56+00:00,430.0,65.62,85.55,90.25,0.0,0.0,1.0,1,0.6123085644531252,True,REGULAR,USD
4,MA241101C00435000,2024-10-03 14:58:30+00:00,435.0,62.59,80.5,84.8,0.0,0.0,,1,0.5593305786132813,True,REGULAR,USD
5,MA241101C00445000,2024-10-11 19:50:08+00:00,445.0,59.38,70.9,75.45,0.0,0.0,1.0,1,0.5400436621093752,True,REGULAR,USD
6,MA241101C00460000,2024-09-26 14:56:40+00:00,460.0,37.15,56.5,60.7,0.0,0.0,,1,0.5755657678222657,True,REGULAR,USD
7,MA241101C00465000,2024-09-25 15:15:56+00:00,465.0,25.85,51.35,53.5,0.0,0.0,,1,0.4325007922363281,True,REGULAR,USD
8,MA241101C00470000,2024-09-25 19:41:16+00:00,470.0,25.85,46.65,51.05,0.0,0.0,,1,0.5154467401123046,True,REGULAR,USD
9,MA241101C00475000,2024-10-10 16:41:20+00:00,475.0,29.7,42.15,46.35,0.0,0.0,2.0,2,0.4887746435546876,True,REGULAR,USD
10,MA241101C00480000,2024-10-10 17:38:53+00:00,480.0,24.28,37.8,40.75,0.0,0.0,1.0,8,0.4276180285644532,True,REGULAR,USD
11,MA241101C00485000,2024-10-16 19:27:26+00:00,485.0,33.0,32.7,35.15,0.0,0.0,1.0,10,0.3670717590332031,True,REGULAR,USD
12,MA241101C00490000,2024-10-16 19:27:26+00:00,490.0,28.39,28.45,30.6,-0.5300007,-1.8326441,1.0,53,0.34467208068847655,True,REGULAR,USD
13,MA241101C00495000,2024-10-18 17:18:50+00:00,495.0,26.25,24.3,26.35,2.42,10.155267,1.0,26,0.32874206420898433,True,REGULAR,USD
14,MA241101C00500000,2024-10-17 15:28:36+00:00,500.0,20.34,20.35,22.3,0.0,0.0,4.0,46,0.31391066955566405,True,REGULAR,USD
15,MA241101C00505000,2024-10-18 15:42:42+00:00,505.0,18.31,17.7,18.55,3.8599997,26.712803,1.0,25,0.301764794921875,True,REGULAR,USD
16,MA241101C00510000,2024-10-18 19:27:03+00:00,510.0,14.8,14.25,15.25,1.1999998,8.823527,3.0,87,0.29456271850585936,True,REGULAR,USD
17,MA241101C00515000,2024-10-18 19:27:03+00:00,515.0,11.87,10.75,12.55,0.9200001,8.401828,41.0,65,0.29456271850585936,True,REGULAR,USD
18,MA241101C00520000,2024-10-18 19:56:01+00:00,520.0,9.25,9.0,10.35,1.0,12.121212,21.0,83,0.29871306762695304,False,REGULAR,USD
19,MA241101C00525000,2024-10-18 19:56:54+00:00,525.0,6.93,6.55,8.05,0.6799998,10.879997,11.0,54,0.29206030212402334,False,REGULAR,USD
20,MA241101C00530000,2024-10-18 19:56:54+00:00,530.0,5.07,4.95,5.8,0.71000004,16.284405,12.0,53,0.2775951147460937,False,REGULAR,USD
21,MA241101C00535000,2024-10-18 18:29:32+00:00,535.0,4.0,3.3,4.6,0.53,15.273773,8.0,37,0.2830882238769531,False,REGULAR,USD
22,MA241101C00540000,2024-10-18 19:56:54+00:00,540.0,2.51,2.19,2.75,0.27999997,12.556052,123.0,20,0.25818612915039063,False,REGULAR,USD
23,MA241101C00550000,2024-10-18 15:17:36+00:00,550.0,1.25,1.05,1.34,-0.13999999,-10.071941,10.0,9,0.256843369140625,False,REGULAR,USD
24,MA241101C00565000,2024-10-16 14:37:22+00:00,565.0,0.3,0.17,0.6,0.0,0.0,1.0,2,0.2778392529296875,False,REGULAR,USD
