,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,MA250417P00250000,2024-09-20 13:30:32+00:00,250.0,0.6,0.06,2.99,0.0,0.0,1.0,1,0.543949873046875,False,REGULAR,USD
1,MA250417P00320000,2024-08-23 16:54:38+00:00,320.0,1.6,0.61,3.45,0.0,0.0,1.0,1,0.4441889077758788,False,REGULAR,USD
2,MA250417P00365000,2024-09-30 13:30:03+00:00,365.0,2.55,1.0,2.7,0.0,0.0,1.0,5,0.3225165405273437,False,REGULAR,USD
3,MA250417P00370000,2024-10-07 18:54:32+00:00,370.0,2.75,1.15,2.85,0.0,0.0,,20,0.31595532684326166,False,REGULAR,USD
4,MA250417P00375000,2024-09-24 14:13:57+00:00,375.0,3.15,1.3,4.9,0.0,0.0,1.0,3,0.3493717407226562,False,REGULAR,USD
5,MA250417P00380000,2024-10-16 15:42:50+00:00,380.0,2.25,1.45,3.15,0.0,0.0,1.0,13,0.3023446231079102,False,REGULAR,USD
6,MA250417P00385000,2024-09-30 17:52:09+00:00,385.0,3.35,1.76,3.35,0.0,0.0,1.0,2,0.2963937548828125,False,REGULAR,USD
7,MA250417P00390000,2024-10-07 18:56:10+00:00,390.0,3.7,1.87,5.05,0.0,0.0,20.0,21,0.31842722595214834,False,REGULAR,USD
8,MA250417P00395000,2024-09-17 14:36:25+00:00,395.0,3.72,2.42,3.3,0.0,0.0,1.0,1,0.27472649108886715,False,REGULAR,USD
9,MA250417P00400000,2024-10-14 18:54:23+00:00,400.0,3.27,2.23,3.85,0.0,0.0,1.0,3,0.27521476745605467,False,REGULAR,USD
10,MA250417P00405000,2024-09-13 17:21:53+00:00,405.0,5.03,3.4,6.5,0.0,0.0,1.0,2,0.3077766976928711,False,REGULAR,USD
11,MA250417P00410000,2024-10-15 14:16:37+00:00,410.0,3.85,2.72,4.35,0.0,0.0,5.0,34,0.26319096191406255,False,REGULAR,USD
12,MA250417P00415000,2024-10-07 17:48:29+00:00,415.0,5.68,2.78,4.7,0.0,0.0,1.0,10,0.258369232788086,False,REGULAR,USD
13,MA250417P00420000,2024-10-07 17:48:29+00:00,420.0,6.24,3.6,6.0,0.0,0.0,1.0,4,0.26689881057739256,False,REGULAR,USD
14,MA250417P00425000,2024-08-29 15:58:42+00:00,425.0,9.23,6.65,7.0,0.0,0.0,,1,0.2691723474121094,False,REGULAR,USD
15,MA250417P00430000,2024-10-16 15:12:05+00:00,430.0,5.4,3.9,5.1,0.0,0.0,1.0,8,0.23252110260009767,False,REGULAR,USD
16,MA250417P00435000,2024-09-18 19:43:06+00:00,435.0,8.21,3.3,8.1,0.0,0.0,1.0,162,0.2597119927978516,False,REGULAR,USD
17,MA250417P00440000,2024-09-20 14:03:37+00:00,440.0,9.54,3.9,6.95,0.0,0.0,9.0,10,0.23465731170654297,False,REGULAR,USD
18,MA250417P00445000,2024-09-19 14:15:07+00:00,445.0,9.42,5.4,6.7,0.0,0.0,1.0,21,0.22048203842163083,False,REGULAR,USD
19,MA250417P00450000,2024-10-15 16:35:39+00:00,450.0,8.0,6.65,8.85,0.0,0.0,2.0,8,0.23287205123901367,False,REGULAR,USD
20,MA250417P00455000,2024-10-08 14:21:31+00:00,455.0,12.3,7.3,9.6,0.0,0.0,2.0,3,0.22864540893554688,False,REGULAR,USD
21,MA250417P00460000,2024-10-11 16:45:41+00:00,460.0,11.35,7.8,11.4,0.0,0.0,3.0,18,0.2337723107910156,False,REGULAR,USD
22,MA250417P00465000,2024-10-14 16:11:53+00:00,465.0,10.85,8.85,12.4,0.0,0.0,3.0,17,0.23026282440185547,False,REGULAR,USD
23,MA250417P00470000,2024-10-16 16:20:52+00:00,470.0,11.4,9.9,11.8,0.0,0.0,3.0,80,0.21210504699707028,False,REGULAR,USD
24,MA250417P00475000,2024-10-18 16:32:13+00:00,475.0,11.4,10.95,12.45,-2.6000004,-18.571432,11.0,19,0.2048266773986816,False,REGULAR,USD
25,MA250417P00480000,2024-10-17 14:43:58+00:00,480.0,13.3,12.05,13.1,0.0,0.0,2.0,14,0.1970905487060547,False,REGULAR,USD
26,MA250417P00485000,2024-10-18 17:12:12+00:00,485.0,13.9,13.3,14.9,-7.6499996,-35.49884,3.0,19,0.19797554962158204,False,REGULAR,USD
27,MA250417P00490000,2024-10-11 14:25:48+00:00,490.0,20.5,14.65,15.95,0.0,0.0,2.0,14,0.1920246813964844,False,REGULAR,USD
28,MA250417P00495000,2024-10-14 14:49:22+00:00,495.0,19.8,15.85,17.25,0.0,0.0,3.0,13,0.18724872817993166,False,REGULAR,USD
29,MA250417P00500000,2024-10-16 14:33:37+00:00,500.0,20.7,17.6,19.25,0.0,0.0,2.0,39,0.18672993453979492,False,REGULAR,USD
30,MA250417P00505000,2024-10-18 18:40:48+00:00,505.0,19.27,19.35,20.9,-2.0200005,-9.488025,6.0,20,0.18270165451049802,False,REGULAR,USD
31,MA250417P00510000,2024-10-18 18:40:48+00:00,510.0,21.12,21.2,23.1,-1.9799995,-8.571426,1.0,5,0.18158777404785154,False,REGULAR,USD
32,MA250417P00520000,2024-10-17 19:07:27+00:00,520.0,27.35,25.35,26.0,0.0,0.0,3.0,4,0.16592478370666505,True,REGULAR,USD
33,MA250417P00560000,2024-09-16 15:14:01+00:00,560.0,66.9,52.9,56.65,0.0,0.0,2.0,2,0.19808236007690427,True,REGULAR,USD
