,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,MCD241220C00130000,2024-10-15 14:05:30+00:00,130.0,182.65,185.95,188.5,0.0,0.0,1.0,0,1.0502977172851562,True,REGULAR,USD
1,MCD241220C00145000,2024-09-27 15:07:32+00:00,145.0,162.7,171.1,173.9,0.0,0.0,7.0,8,0.9855958471679689,True,REGULAR,USD
2,MCD241220C00185000,2024-04-23 18:14:31+00:00,185.0,95.02,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD
3,MCD241220C00200000,2024-10-03 14:39:13+00:00,200.0,104.65,115.6,119.15,0.0,0.0,1.0,18,0.6015664843750002,True,REGULAR,USD
4,MCD241220C00205000,2024-07-31 13:31:33+00:00,205.0,65.75,82.1,86.4,0.0,0.0,1.0,2,1.0000000000000003e-05,True,REGULAR,USD
5,MCD241220C00210000,2024-08-21 19:19:45+00:00,210.0,81.12,87.8,91.05,0.0,0.0,5.0,2,1.0000000000000003e-05,True,REGULAR,USD
6,MCD241220C00215000,2024-08-05 13:33:44+00:00,215.0,63.53,0.0,0.0,0.0,0.0,10.0,10,1.0000000000000003e-05,True,REGULAR,USD
7,MCD241220C00220000,2024-09-16 13:30:07+00:00,220.0,80.95,0.0,0.0,0.0,0.0,5.0,45,1.0000000000000003e-05,True,REGULAR,USD
8,MCD241220C00225000,2024-08-02 17:36:36+00:00,225.0,52.0,63.4,66.9,0.0,0.0,2.0,28,1.0000000000000003e-05,True,REGULAR,USD
9,MCD241220C00230000,2024-10-18 18:04:58+00:00,230.0,87.8,86.7,89.65,45.15,105.861664,1.0,94,0.5079394909667969,True,REGULAR,USD
10,MCD241220C00235000,2024-09-13 19:59:06+00:00,235.0,64.2,70.7,72.95,0.0,0.0,1.0,30,1.0000000000000003e-05,True,REGULAR,USD
11,MCD241220C00240000,2024-09-06 17:42:01+00:00,240.0,55.48,64.8,67.35,0.0,0.0,1.0,40,1.0000000000000003e-05,True,REGULAR,USD
12,MCD241220C00245000,2024-09-19 15:49:44+00:00,245.0,50.1,71.9,74.15,0.0,0.0,1.0,215,0.4792532543945312,True,REGULAR,USD
13,MCD241220C00250000,2024-10-18 19:49:35+00:00,250.0,67.79,66.95,69.35,6.3600006,10.353249,1.0,727,0.45953909606933596,True,REGULAR,USD
14,MCD241220C00255000,2024-10-18 18:42:20+00:00,255.0,63.13,62.05,63.8,3.1800003,5.304421,3.0,1033,0.40479110839843746,True,REGULAR,USD
15,MCD241220C00260000,2024-10-17 14:48:57+00:00,260.0,55.66,57.15,59.55,0.0,0.0,3.0,308,0.4096738720703125,True,REGULAR,USD
16,MCD241220C00265000,2024-10-18 19:27:38+00:00,265.0,53.26,52.25,55.0,1.2599983,2.4230738,1.0,605,0.39771110107421875,True,REGULAR,USD
17,MCD241220C00270000,2024-10-18 19:27:38+00:00,270.0,48.44,47.4,49.8,2.829998,6.2047753,1.0,1037,0.36072416625976556,True,REGULAR,USD
18,MCD241220C00275000,2024-10-18 19:47:10+00:00,275.0,43.42,43.4,44.3,2.9799995,7.368941,69.0,913,0.313483427734375,True,REGULAR,USD
19,MCD241220C00280000,2024-10-16 16:33:02+00:00,280.0,38.7,38.7,39.55,2.4300003,6.699753,2.0,579,0.29358616577148433,True,REGULAR,USD
20,MCD241220C00285000,2024-10-18 19:21:18+00:00,285.0,35.95,33.9,34.95,3.540001,10.922558,33.0,536,0.2769237347412109,True,REGULAR,USD
