,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,MCD241115P00175000,2024-09-20 13:30:09+00:00,175.0,0.11,0.0,0.32,0.0,0.0,1.0,1,0.893555751953125,False,REGULAR,USD
1,MCD241115P00190000,2024-09-13 15:33:31+00:00,190.0,0.05,0.0,0.14,0.0,0.0,,1,0.70898728515625,False,REGULAR,USD
2,MCD241115P00205000,2024-09-27 19:29:54+00:00,205.0,0.04,0.0,0.34,0.0,0.0,10.0,11,0.6796907031250001,False,REGULAR,USD
3,MCD241115P00210000,2024-10-16 13:30:15+00:00,210.0,0.09,0.0,0.34,0.0,0.0,40.0,41,0.6455113574218749,False,REGULAR,USD
4,MCD241115P00215000,2024-10-09 19:27:46+00:00,215.0,0.01,0.0,0.34,0.0,0.0,15.0,41,0.6123085644531252,False,REGULAR,USD
5,MCD241115P00220000,2024-10-11 15:03:13+00:00,220.0,0.06,0.0,0.25,0.0,0.0,10.0,73,0.5566450585937501,False,REGULAR,USD
6,MCD241115P00225000,2024-10-07 17:09:08+00:00,225.0,0.14,0.0,0.35,0.0,0.0,5.0,13,0.5498091894531252,False,REGULAR,USD
7,MCD241115P00230000,2024-10-08 19:17:36+00:00,230.0,0.17,0.01,0.37,0.0,0.0,2.0,135,0.5239305419921875,False,REGULAR,USD
8,MCD241115P00235000,2024-10-07 15:06:52+00:00,235.0,0.17,0.01,1.41,0.0,0.0,2.0,17,0.6086464916992189,False,REGULAR,USD
9,MCD241115P00240000,2024-10-18 17:13:20+00:00,240.0,0.1,0.1,0.61,-0.050000004,-33.333336,1.0,816,0.5073291455078125,False,REGULAR,USD
10,MCD241115P00245000,2024-10-16 15:02:45+00:00,245.0,0.05,0.0,2.11,0.0,0.0,3.0,50,0.5806926696777344,False,REGULAR,USD
11,MCD241115P00250000,2024-10-16 15:16:22+00:00,250.0,0.17,0.1,0.26,0.0,0.0,1.0,247,0.42090422851562503,False,REGULAR,USD
12,MCD241115P00255000,2024-10-17 18:01:24+00:00,255.0,0.3,0.1,0.41,0.0,0.0,23.0,2451,0.42090422851562503,False,REGULAR,USD
13,MCD241115P00260000,2024-10-17 19:58:17+00:00,260.0,0.22,0.09,0.25,0.0,0.0,25.0,685,0.3579165771484375,False,REGULAR,USD
14,MCD241115P00265000,2024-10-17 16:40:33+00:00,265.0,0.41,0.11,0.3,0.0,0.0,2.0,443,0.33789724609375,False,REGULAR,USD
15,MCD241115P00270000,2024-10-17 19:50:48+00:00,270.0,0.28,0.14,0.57,0.0,0.0,132.0,638,0.34668622070312494,False,REGULAR,USD
16,MCD241115P00275000,2024-10-18 19:48:50+00:00,275.0,0.36,0.19,0.6,0.01000002,2.8571486,10.0,222,0.317389638671875,False,REGULAR,USD
17,MCD241115P00280000,2024-10-18 18:43:52+00:00,280.0,0.46,0.41,0.53,-0.119999975,-20.689651,11.0,679,0.27686270019531245,False,REGULAR,USD
18,MCD241115P00285000,2024-10-18 19:01:14+00:00,285.0,0.63,0.58,0.65,-0.14999998,-19.230766,87.0,1020,0.25586681640625003,False,REGULAR,USD
19,MCD241115P00290000,2024-10-18 19:07:13+00:00,290.0,0.91,0.77,0.91,-0.13999993,-13.333326,84.0,639,0.2420730090332031,False,REGULAR,USD
20,MCD241115P00295000,2024-10-18 18:56:21+00:00,295.0,1.26,1.17,1.29,-0.31000006,-19.745226,60.0,642,0.22852333984375,False,REGULAR,USD
21,MCD241115P00300000,2024-10-18 19:56:52+00:00,300.0,1.78,1.75,2.0,-0.43000007,-19.457016,115.0,1470,0.22217574707031246,False,REGULAR,USD
22,MCD241115P00305000,2024-10-18 19:28:37+00:00,305.0,2.9,2.58,2.77,-0.37999988,-11.585362,135.0,913,0.20691711059570309,False,REGULAR,USD
23,MCD241115P00310000,2024-10-18 19:47:14+00:00,310.0,4.1,3.95,4.15,-0.7000003,-14.583339,92.0,1463,0.20063055236816402,False,REGULAR,USD
24,MCD241115P00315000,2024-10-18 19:39:40+00:00,315.0,6.05,5.75,6.0,-0.8499999,-12.318839,340.0,252,0.1935505450439453,False,REGULAR,USD
25,MCD241115P00320000,2024-10-18 19:22:06+00:00,320.0,8.41,8.15,8.4,-2.4400005,-22.488483,10.0,60,0.1859212268066406,True,REGULAR,USD
26,MCD241115P00325000,2024-10-18 18:54:36+00:00,325.0,11.5,11.15,11.5,-8.9,-43.62745,5.0,12,0.18109949768066402,True,REGULAR,USD
27,MCD241115P00330000,2024-10-18 19:22:02+00:00,330.0,15.5,13.6,15.15,-2.0499992,-11.680908,3.0,4,0.17554535400390625,True,REGULAR,USD
28,MCD241115P00335000,2024-09-27 15:47:53+00:00,335.0,28.27,18.05,20.3,0.0,0.0,3.0,0,0.21887988159179686,True,REGULAR,USD
