,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,MDT241108C00080000,2024-10-15 14:39:02+00:00,80.0,10.71,11.45,12.75,0.0,0.0,2.0,2,0.47900911621093745,True,REGULAR,USD
1,MDT241108C00085000,2024-10-14 18:28:23+00:00,85.0,5.7,7.45,9.5,0.0,0.0,1.0,11,0.5998575170898439,True,REGULAR,USD
2,MDT241108C00086000,2024-10-10 16:39:50+00:00,86.0,4.35,6.5,7.9,0.0,0.0,,1,0.47363807617187503,True,REGULAR,USD
3,MDT241108C00087000,2024-10-16 17:09:01+00:00,87.0,3.95,5.25,5.8,0.0,0.0,53.0,105,0.266608896484375,True,REGULAR,USD
4,MDT241108C00088000,2024-10-16 16:07:40+00:00,88.0,3.1,4.35,5.7,0.0,0.0,50.0,85,0.3635317553710938,True,REGULAR,USD
5,MDT241108C00089000,2024-10-18 16:37:51+00:00,89.0,3.18,3.7,4.9,0.79999995,33.61344,3.0,47,0.34668622070312494,True,REGULAR,USD
6,MDT241108C00090000,2024-10-18 19:59:02+00:00,90.0,3.16,2.89,3.25,1.6000001,102.56412,46.0,840,0.22095505615234373,True,REGULAR,USD
7,MDT241108C00091000,2024-10-18 19:59:08+00:00,91.0,2.44,2.41,2.55,1.2600001,106.77967,2521.0,16,0.21265435791015624,True,REGULAR,USD
8,MDT241108C00092000,2024-10-18 19:55:38+00:00,92.0,1.87,1.6,2.01,1.02,119.99999,40.0,39,0.21411918701171873,True,REGULAR,USD
9,MDT241108C00093000,2024-10-18 18:23:45+00:00,93.0,1.39,1.26,1.49,0.81,139.65517,10.0,9,0.2082598706054687,False,REGULAR,USD
10,MDT241108C00094000,2024-10-18 19:17:49+00:00,94.0,0.85,0.76,1.04,0.45000002,112.5,8.0,10,0.20020331054687499,False,REGULAR,USD
11,MDT241108C00095000,2024-10-18 19:27:38+00:00,95.0,0.58,0.54,0.72,0.42,262.5,20.0,137,0.19727365234375,False,REGULAR,USD
