,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,MDT241108P00080000,2024-10-18 19:21:23+00:00,80.0,0.06,0.02,0.3,-0.32,-84.210526,8.0,8.0,0.41748629394531245,False,REGULAR,USD
1,MDT241108P00081000,2024-10-07 15:24:56+00:00,81.0,0.53,0.02,0.75,0.0,0.0,8.0,8.0,0.5034229345703125,False,REGULAR,USD
2,MDT241108P00082000,2024-10-18 19:21:12+00:00,82.0,0.1,0.02,0.65,-0.39000002,-79.59184,8.0,11.0,0.44873598144531246,False,REGULAR,USD
3,MDT241108P00083000,2024-10-18 17:02:19+00:00,83.0,0.1,0.07,0.8,-0.1,-50.0,1.0,12.0,0.446294599609375,False,REGULAR,USD
4,MDT241108P00084000,2024-10-18 14:30:20+00:00,84.0,0.18,0.09,0.23,-0.07999998,-30.769226,12.0,12.0,0.28321029296874994,False,REGULAR,USD
5,MDT241108P00085000,2024-10-18 18:35:22+00:00,85.0,0.16,0.12,0.17,-0.21000001,-56.75676,2.0,74.0,0.23731231445312498,False,REGULAR,USD
6,MDT241108P00086000,2024-10-17 15:08:39+00:00,86.0,0.36,0.17,0.4,0.0,0.0,5.0,36.0,0.26782958740234375,False,REGULAR,USD
7,MDT241108P00087000,2024-10-18 19:47:39+00:00,87.0,0.26,0.25,0.31,-0.3,-53.571434,2.0,9.0,0.21826953613281247,False,REGULAR,USD
8,MDT241108P00088000,2024-10-18 17:02:19+00:00,88.0,0.41,0.34,0.41,-0.39000002,-48.75,1.0,12.0,0.2067950415039062,False,REGULAR,USD
9,MDT241108P00089000,2024-10-18 19:15:51+00:00,89.0,0.58,0.28,0.56,-0.59,-50.42735,21.0,61.0,0.1977619287109375,False,REGULAR,USD
10,MDT241108P00090000,2024-10-18 19:13:16+00:00,90.0,0.81,0.56,1.2,-1.06,-56.684486,9.0,1.0,0.245124736328125,False,REGULAR,USD
11,MDT241108P00095000,2024-10-17 13:48:33+00:00,95.0,5.37,2.45,3.25,0.0,0.0,1.0,1.0,0.165047412109375,True,REGULAR,USD
12,MDT241108P00105000,2024-10-08 14:03:38+00:00,105.0,16.87,11.9,14.9,0.0,0.0,,,0.7082548706054688,True,REGULAR,USD
