,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,META241115C00005000,2024-10-09 18:52:22+00:00,5.0,587.1,570.25,572.7,0.0,0.0,60.0,89,5.000003749999999,True,REGULAR,USD
1,META241115C00030000,2024-07-22 14:49:10+00:00,30.0,459.26,500.6,503.3,0.0,0.0,2.0,3,1.0000000000000003e-05,True,REGULAR,USD
2,META241115C00035000,2024-07-05 18:43:13+00:00,35.0,500.64,452.45,454.85,0.0,0.0,2.0,1,1.0000000000000003e-05,True,REGULAR,USD
3,META241115C00045000,2024-07-05 18:59:18+00:00,45.0,491.06,442.6,445.0,0.0,0.0,4.0,0,1.0000000000000003e-05,True,REGULAR,USD
4,META241115C00200000,2024-10-11 16:44:37+00:00,200.0,387.5,376.05,378.4,0.0,0.0,1.0,21,1.7290052612304687,True,REGULAR,USD
5,META241115C00210000,2024-10-16 19:58:16+00:00,210.0,367.53,365.5,369.3,0.0,0.0,3.0,11,1.7036147631835936,True,REGULAR,USD
6,META241115C00220000,2024-10-09 13:39:40+00:00,220.0,371.5,355.5,359.1,0.0,0.0,1.0,4,1.6035176074218749,True,REGULAR,USD
7,META241115C00230000,2024-10-14 18:23:28+00:00,230.0,364.0,346.0,347.95,0.0,0.0,1.0,13,1.4345731396484376,True,REGULAR,USD
8,META241115C00240000,2024-10-16 14:00:42+00:00,240.0,337.53,336.0,338.0,0.0,0.0,1.0,16,1.3813507495117183,True,REGULAR,USD
9,META241115C00250000,2024-10-01 15:31:22+00:00,250.0,325.05,326.85,328.05,0.0,0.0,1.0,68,1.4399442065429686,True,REGULAR,USD
10,META241115C00260000,2024-09-24 13:45:03+00:00,260.0,302.19,316.1,318.1,0.0,0.0,1.0,14,1.2939488427734374,True,REGULAR,USD
11,META241115C00270000,2024-10-04 19:59:53+00:00,270.0,327.6,306.85,308.15,0.0,0.0,1.0,36,1.3281283593749997,True,REGULAR,USD
12,META241115C00280000,2024-10-09 19:07:35+00:00,280.0,310.6,296.2,298.2,0.0,0.0,1.0,19,1.2075234936523436,True,REGULAR,USD
13,META241115C00285000,2024-10-08 16:27:40+00:00,285.0,306.1,290.65,293.2,0.0,0.0,1.0,4,1.1064497802734377,True,REGULAR,USD
14,META241115C00290000,2024-10-07 13:36:45+00:00,290.0,312.0,286.5,288.25,0.0,0.0,1.0,41,1.1904337353515624,True,REGULAR,USD
15,META241115C00295000,2024-10-04 19:53:05+00:00,295.0,301.69,280.7,283.25,0.0,0.0,1.0,2,1.0712937060546879,True,REGULAR,USD
16,META241115C00300000,2024-10-14 16:06:52+00:00,300.0,276.8,276.45,278.3,-19.880005,-6.7008243,2.0,33,1.137211345214844,True,REGULAR,USD
17,META241115C00305000,2024-09-19 14:10:00+00:00,305.0,246.03,270.75,273.25,0.0,0.0,,1,1.0293017285156252,True,REGULAR,USD
18,META241115C00310000,2024-09-25 17:02:51+00:00,310.0,261.77,266.35,268.3,0.0,0.0,1.0,69,1.076664772949219,True,REGULAR,USD
19,META241115C00315000,2024-10-15 14:53:23+00:00,315.0,269.27,260.8,263.35,0.0,0.0,1.0,4,1.000005,True,REGULAR,USD
20,META241115C00320000,2024-10-09 15:01:55+00:00,320.0,270.4,256.7,258.4,0.0,0.0,10.0,36,1.0647019421386719,True,REGULAR,USD
21,META241115C00325000,2024-10-17 15:47:45+00:00,325.0,256.51,251.0,253.45,0.0,0.0,1.0,5,0.98437515625,True,REGULAR,USD
22,META241115C00330000,2024-10-18 17:50:49+00:00,330.0,250.85,246.45,248.45,-11.910004,-4.532655,1.0,62,0.9995117236328125,True,REGULAR,USD
23,META241115C00335000,2024-10-10 16:38:26+00:00,335.0,253.09,241.05,243.45,0.0,0.0,1.0,6,0.9418951123046875,True,REGULAR,USD
24,META241115C00340000,2024-10-07 14:08:14+00:00,340.0,258.72,236.65,238.4,0.0,0.0,2.0,141,0.9631351342773438,True,REGULAR,USD
25,META241115C00345000,2024-10-18 16:04:07+00:00,345.0,234.84,231.0,233.55,-16.710007,-6.642817,4.0,8,0.9006357592773437,True,REGULAR,USD
26,META241115C00350000,2024-10-18 17:36:48+00:00,350.0,231.09,226.9,228.55,1.699997,0.74109465,427.0,50,0.9428716650390624,True,REGULAR,USD
27,META241115C00355000,2024-09-30 15:42:36+00:00,355.0,219.15,221.2,223.6,0.0,0.0,1.0,4,0.8754895263671875,True,REGULAR,USD
28,META241115C00360000,2024-10-18 14:17:38+00:00,360.0,222.56,216.95,218.65,4.699997,2.1573472,2.0,96,0.9050302465820312,True,REGULAR,USD
29,META241115C00365000,2024-10-16 18:07:00+00:00,365.0,212.18,211.15,213.7,0.0,0.0,1.0,7,0.834718449707031,True,REGULAR,USD
30,META241115C00370000,2024-10-14 15:56:37+00:00,370.0,207.83,207.05,208.75,-18.220001,-8.060164,1.0,74,0.870118486328125,True,REGULAR,USD
31,META241115C00375000,2024-10-15 16:53:38+00:00,375.0,215.1,201.35,203.8,0.0,0.0,1.0,7,0.8105487695312499,True,REGULAR,USD
32,META241115C00380000,2024-10-14 17:14:54+00:00,380.0,216.62,197.15,198.75,0.0,0.0,1.0,67,0.8298356860351561,True,REGULAR,USD
33,META241115C00385000,2024-10-18 19:53:00+00:00,385.0,192.38,191.8,193.7,-19.190002,-9.070285,1.0,18,0.7868673657226561,True,REGULAR,USD
34,META241115C00390000,2024-10-14 18:01:53+00:00,390.0,205.8,187.05,188.95,0.0,0.0,1.0,93,0.790041162109375,True,REGULAR,USD
35,META241115C00395000,2024-10-18 13:47:45+00:00,395.0,188.78,181.45,184.05,-9.520004,-4.800809,1.0,3,0.7436549072265625,True,REGULAR,USD
36,META241115C00400000,2024-10-18 18:42:52+00:00,400.0,181.01,177.35,179.1,2.0,1.117256,20.0,349,0.7656273437500001,True,REGULAR,USD
37,META241115C00405000,2024-10-03 19:33:42+00:00,405.0,180.45,171.6,174.2,0.0,0.0,1.0,9,0.7155790161132812,True,REGULAR,USD
38,META241115C00410000,2024-10-15 16:56:48+00:00,410.0,171.6,167.5,169.25,-8.479996,-4.709016,1.0,175,0.7336452416992187,True,REGULAR,USD
