,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,META261218P00100000,2024-10-16 18:19:36+00:00,100.0,0.93,0.85,1.34,0.0,0.0,2.0,242,0.5584760949707033,False,REGULAR,USD
1,META261218P00110000,2024-10-14 19:37:21+00:00,110.0,1.2,0.74,1.5,0.0,0.0,2.0,66,0.5299119274902344,False,REGULAR,USD
2,META261218P00120000,2024-10-18 19:28:58+00:00,120.0,1.3,1.2,1.65,-0.20000005,-13.333337,15.0,16,0.5210008837890624,False,REGULAR,USD
3,META261218P00130000,2024-10-18 19:47:32+00:00,130.0,1.5,1.11,1.9,0.059999943,4.1666627,8.0,54,0.5181932946777343,False,REGULAR,USD
4,META261218P00140000,2024-09-23 18:20:18+00:00,140.0,2.13,1.3,2.17,0.0,0.0,3.0,111,0.5042163836669922,False,REGULAR,USD
5,META261218P00150000,2024-10-18 19:11:50+00:00,150.0,2.08,1.8,2.49,-0.10000014,-4.5871625,2.0,53,0.49207050903320315,False,REGULAR,USD
6,META261218P00160000,2024-10-18 18:22:14+00:00,160.0,2.5,1.84,2.83,-0.25,-9.090909,1.0,147,0.48041291076660153,False,REGULAR,USD
7,META261218P00170000,2024-10-17 13:41:13+00:00,170.0,2.8,2.14,3.15,0.0,0.0,1.0,153,0.46796186340332036,False,REGULAR,USD
8,META261218P00180000,2024-10-16 19:11:47+00:00,180.0,3.2,2.4,3.6,0.0,0.0,6.0,33,0.4588677160644532,False,REGULAR,USD
9,META261218P00190000,2024-10-18 16:44:58+00:00,190.0,3.5,2.94,4.05,-0.20000005,-5.4054065,1.0,45,0.44931580963134765,False,REGULAR,USD
10,META261218P00200000,2024-10-18 19:46:14+00:00,200.0,4.05,3.45,4.35,-0.15999985,-3.8004715,3.0,1233,0.43637648590087885,False,REGULAR,USD
11,META261218P00210000,2024-10-04 16:46:33+00:00,210.0,4.95,4.1,4.9,0.0,0.0,101.0,454,0.4284419949340821,False,REGULAR,USD
12,META261218P00220000,2024-10-16 18:24:44+00:00,220.0,5.3,4.3,5.35,0.0,0.0,1.0,137,0.41834077758789057,False,REGULAR,USD
13,META261218P00230000,2024-10-16 14:27:32+00:00,230.0,6.0,5.2,6.0,0.0,0.0,1.0,55,0.41132180480957037,False,REGULAR,USD
14,META261218P00240000,2024-10-16 19:10:45+00:00,240.0,6.5,5.95,6.6,-0.3499999,-5.109488,1.0,122,0.4030821411132813,False,REGULAR,USD
15,META261218P00250000,2024-10-18 19:42:07+00:00,250.0,7.35,7.15,7.5,-0.3000002,-3.921571,4.0,236,0.39847403289794925,False,REGULAR,USD
16,META261218P00260000,2024-10-04 15:21:24+00:00,260.0,8.2,7.7,8.4,-0.6999998,-7.8651667,2.0,110,0.3930877342224121,False,REGULAR,USD
17,META261218P00270000,2024-10-09 16:35:41+00:00,270.0,9.69,8.9,9.7,0.0,0.0,15.0,200,0.3913940255737304,False,REGULAR,USD
18,META261218P00280000,2024-10-11 19:25:32+00:00,280.0,10.6,10.15,10.8,0.0,0.0,1.0,79,0.3865570378112792,False,REGULAR,USD
19,META261218P00290000,2024-10-18 15:15:45+00:00,290.0,11.65,11.35,12.0,0.34999943,3.09734,13.0,155,0.3820099641418457,False,REGULAR,USD
20,META261218P00300000,2024-10-10 19:52:54+00:00,300.0,13.65,12.65,13.3,0.0,0.0,1.0,236,0.3776917700195312,False,REGULAR,USD
21,META261218P00310000,2024-10-09 19:09:18+00:00,310.0,14.82,13.1,15.4,0.0,0.0,2.0,111,0.3790345300292969,False,REGULAR,USD
22,META261218P00320000,2024-10-14 18:24:10+00:00,320.0,15.5,14.6,16.2,0.0,0.0,3.0,88,0.3695131408691406,False,REGULAR,USD
23,META261218P00330000,2024-10-09 19:09:18+00:00,330.0,17.99,17.2,17.95,0.0,0.0,2.0,72,0.3666139999389648,False,REGULAR,USD
24,META261218P00340000,2024-10-15 14:52:27+00:00,340.0,19.55,18.9,19.8,0.0,0.0,2.0,80,0.36366908309936524,False,REGULAR,USD
25,META261218P00350000,2024-10-17 14:13:47+00:00,350.0,21.7,20.8,21.6,0.0,0.0,1.0,1134,0.359732354888916,False,REGULAR,USD
26,META261218P00360000,2024-10-18 19:47:21+00:00,360.0,23.3,22.75,23.6,-2.7200012,-10.453502,9.0,109,0.35642123077392573,False,REGULAR,USD
27,META261218P00370000,2024-10-15 14:41:44+00:00,370.0,25.9,24.45,25.9,0.0,0.0,7.0,258,0.35416295257568353,False,REGULAR,USD
28,META261218P00380000,2024-10-17 16:31:01+00:00,380.0,27.75,27.1,28.1,0.0,0.0,3.0,210,0.35072975936889644,False,REGULAR,USD
29,META261218P00390000,2024-10-15 14:41:57+00:00,390.0,30.55,29.45,31.4,0.0,0.0,10.0,95,0.3522098471069336,False,REGULAR,USD
30,META261218P00400000,2024-10-17 18:08:53+00:00,400.0,33.06,32.05,33.65,0.0,0.0,1.0,1749,0.3477772132110596,False,REGULAR,USD
31,META261218P00410000,2024-09-30 14:40:26+00:00,410.0,35.19,34.75,36.0,-4.1100006,-10.458017,9.0,64,0.34337509658813475,False,REGULAR,USD
