,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,MRK241220C00090000,2024-10-14 19:55:33+00:00,90.0,21.0,18.1,20.6,0.0,0.0,2,3,0.48828636718750007,True,REGULAR,USD
1,MRK241220C00095000,2024-10-18 19:01:50+00:00,95.0,15.4,13.55,16.05,-1.8500004,-10.72464,3,12,0.4292049267578125,True,REGULAR,USD
2,MRK241220C00100000,2024-10-17 14:51:14+00:00,100.0,11.65,9.9,11.6,0.0,0.0,5,23,0.36597313720703123,True,REGULAR,USD
3,MRK241220C00105000,2024-10-18 19:59:08+00:00,105.0,6.95,6.85,7.85,-1.0,-12.578617,75,187,0.3284979260253906,True,REGULAR,USD
4,MRK241220C00110000,2024-10-18 19:58:02+00:00,110.0,4.05,3.95,4.1,-0.62999964,-13.461532,133,291,0.2606275109863281,False,REGULAR,USD
5,MRK241220C00115000,2024-10-18 19:52:43+00:00,115.0,2.09,2.03,2.11,-0.3900001,-15.725811,285,1956,0.24768818725585937,False,REGULAR,USD
6,MRK241220C00120000,2024-10-18 19:50:12+00:00,120.0,0.97,0.84,1.06,-0.22000003,-18.487396,128,1631,0.24829853271484376,False,REGULAR,USD
7,MRK241220C00125000,2024-10-18 16:40:38+00:00,125.0,0.43,0.33,0.77,-0.089999974,-17.307688,4,4481,0.28125718749999995,False,REGULAR,USD
8,MRK241220C00130000,2024-10-18 19:17:33+00:00,130.0,0.18,0.0,0.23,-0.019999996,-9.999998,2,639,0.2536695727539063,False,REGULAR,USD
9,MRK241220C00135000,2024-10-16 15:46:39+00:00,135.0,0.05,0.05,0.29,0.0,0.0,1,148,0.3086006640625,False,REGULAR,USD
10,MRK241220C00140000,2024-10-18 16:39:48+00:00,140.0,0.05,0.0,0.24,-0.06999999,-58.333332,1,80,0.3364324169921875,False,REGULAR,USD
11,MRK241220C00145000,2024-10-11 18:03:18+00:00,145.0,0.01,0.0,0.12,0.0,0.0,8,6,0.33399103515625,False,REGULAR,USD
12,MRK241220C00150000,2024-09-20 14:46:46+00:00,150.0,0.1,0.0,0.31,0.0,0.0,2,0,0.42676354492187507,False,REGULAR,USD
13,MRK241220C00160000,2024-10-01 17:34:57+00:00,160.0,0.02,0.0,0.09,0.0,0.0,3,23,0.4101621484375,False,REGULAR,USD
