,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,MRK250919P00075000,2024-10-18 16:08:09+00:00,75.0,0.9,0.0,1.39,0.00999999,1.1235945,2.0,40,0.3122627368164062,False,REGULAR,USD
1,MRK250919P00080000,2024-10-18 16:08:08+00:00,80.0,1.28,1.01,1.5,0.00999999,0.78740084,2.0,33,0.27600821655273433,False,REGULAR,USD
2,MRK250919P00085000,2024-10-17 18:52:09+00:00,85.0,1.73,1.58,2.1,0.0,0.0,15.0,46,0.2626416510009766,False,REGULAR,USD
3,MRK250919P00090000,2024-10-16 17:41:01+00:00,90.0,2.66,0.64,2.83,0.120000124,4.7244143,250.0,67,0.24732197998046873,False,REGULAR,USD
4,MRK250919P00095000,2024-10-18 14:36:20+00:00,95.0,3.75,2.46,3.95,0.20000005,5.6338043,1.0,127,0.23761748718261716,False,REGULAR,USD
5,MRK250919P00100000,2024-10-17 19:33:59+00:00,100.0,4.95,3.35,6.2,0.0,0.0,19.0,915,0.24997698272705077,False,REGULAR,USD
6,MRK250919P00105000,2024-10-18 19:43:13+00:00,105.0,7.15,5.2,7.95,0.9500003,15.322585,2.0,308,0.23752593536376948,False,REGULAR,USD
7,MRK250919P00110000,2024-10-18 19:43:13+00:00,110.0,9.35,7.5,9.55,-0.29999924,-3.1088006,5.0,127,0.21277642700195312,True,REGULAR,USD
8,MRK250919P00115000,2024-10-18 15:30:33+00:00,115.0,11.82,10.1,12.55,0.72999954,6.5825024,4.0,96,0.21204401245117185,True,REGULAR,USD
9,MRK250919P00120000,2024-09-24 13:45:26+00:00,120.0,10.89,14.55,16.75,0.0,0.0,9.0,11,0.23188023986816403,True,REGULAR,USD
10,MRK250919P00125000,2024-09-17 15:21:39+00:00,125.0,12.7,16.6,17.8,0.0,0.0,,1,0.15125360473632815,True,REGULAR,USD
