,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,MSFT260618C00185000,2024-10-15 17:19:45+00:00,185.0,242.85,241.5,246.5,0.0,0.0,1.0,861,0.5358017611694336,True,REGULAR,USD
1,MSFT260618C00190000,2024-09-13 18:59:02+00:00,190.0,251.65,235.5,240.35,0.0,0.0,6.0,49,0.5050403500366211,True,REGULAR,USD
2,MSFT260618C00195000,2024-08-20 19:53:17+00:00,195.0,244.0,253.0,257.5,0.0,0.0,2.0,3,0.753985004119873,True,REGULAR,USD
3,MSFT260618C00200000,2024-10-04 15:13:56+00:00,200.0,229.5,228.0,232.95,0.0,0.0,1.0,16,0.5124713059997559,True,REGULAR,USD
4,MSFT260618C00205000,2024-08-12 16:14:55+00:00,205.0,218.4,229.5,234.0,0.0,0.0,,1,0.573673696899414,True,REGULAR,USD
5,MSFT260618C00210000,2024-08-12 16:36:16+00:00,210.0,212.75,225.5,229.5,0.0,0.0,2.0,1,0.5664868791198729,True,REGULAR,USD
6,MSFT260618C00215000,2024-08-12 16:09:07+00:00,215.0,209.4,221.0,225.0,0.0,0.0,5.0,2,0.5565840240478517,True,REGULAR,USD
7,MSFT260618C00220000,2024-08-23 16:54:32+00:00,220.0,210.4,227.0,231.5,0.0,0.0,14.0,113,0.6517979156494143,True,REGULAR,USD
8,MSFT260618C00225000,2024-08-13 14:18:36+00:00,225.0,202.55,215.0,219.85,0.0,0.0,2.0,7,0.5708050732421875,True,REGULAR,USD
9,MSFT260618C00230000,2024-08-12 16:11:50+00:00,230.0,196.5,207.5,211.5,0.0,0.0,2.0,3,0.5275315802001954,True,REGULAR,USD
10,MSFT260618C00235000,2024-09-17 14:16:15+00:00,235.0,217.5,195.55,199.95,0.0,0.0,3.0,16,0.468404363861084,True,REGULAR,USD
11,MSFT260618C00240000,2024-09-19 19:43:07+00:00,240.0,215.04,192.75,197.0,0.0,0.0,1.0,6,0.47554540573120113,True,REGULAR,USD
12,MSFT260618C00245000,2024-08-20 16:01:13+00:00,245.0,198.05,208.0,213.0,0.0,0.0,2.0,21,0.6230964204406739,True,REGULAR,USD
13,MSFT260618C00250000,2024-10-15 19:44:45+00:00,250.0,185.14,183.55,188.5,0.0,0.0,2.0,16,0.46324694473266603,True,REGULAR,USD
14,MSFT260618C00255000,2024-08-20 16:02:37+00:00,255.0,189.0,199.5,204.45,0.0,0.0,2.0,13,0.6028787271118167,True,REGULAR,USD
15,MSFT260618C00260000,2024-10-11 17:07:21+00:00,260.0,174.5,176.75,178.45,0.0,0.0,2.0,6,0.43716993499755863,True,REGULAR,USD
16,MSFT260618C00265000,2024-10-04 19:03:41+00:00,265.0,173.48,172.5,174.5,0.0,0.0,1.0,10,0.43362993133544925,True,REGULAR,USD
17,MSFT260618C00270000,2024-08-12 15:59:00+00:00,270.0,163.2,173.0,177.25,0.0,0.0,24.0,11,0.4832052412414551,True,REGULAR,USD
18,MSFT260618C00275000,2024-09-23 14:25:26+00:00,275.0,179.85,164.15,166.15,0.0,0.0,1.0,24,0.4222927644348144,True,REGULAR,USD
19,MSFT260618C00280000,2024-10-04 13:45:51+00:00,280.0,160.89,160.0,161.9,0.0,0.0,1.0,5,0.4158688784790039,True,REGULAR,USD
20,MSFT260618C00285000,2024-08-06 19:47:55+00:00,285.0,146.0,147.5,152.5,0.0,0.0,5.0,11,0.3693300372314453,True,REGULAR,USD
21,MSFT260618C00290000,2024-10-16 17:00:01+00:00,290.0,150.6,150.8,153.9,0.0,0.0,6.0,12,0.40650007568359375,True,REGULAR,USD
22,MSFT260618C00295000,2024-09-10 13:32:15+00:00,295.0,143.45,145.65,149.5,0.0,0.0,2.0,4,0.3987029124450684,True,REGULAR,USD
23,MSFT260618C00300000,2024-10-18 15:35:07+00:00,300.0,144.7,143.9,145.85,1.699997,1.188809,7.0,436,0.3961547201538086,True,REGULAR,USD
24,MSFT260618C00305000,2024-10-08 18:09:28+00:00,305.0,136.3,139.9,142.0,0.0,0.0,1.0,36,0.3919662244415283,True,REGULAR,USD
25,MSFT260618C00310000,2024-10-09 15:11:17+00:00,310.0,138.03,135.05,138.1,0.0,0.0,1.0,76,0.3872589350891113,True,REGULAR,USD
26,MSFT260618C00315000,2024-09-17 14:10:44+00:00,315.0,153.53,129.15,133.75,0.0,0.0,1.0,12,0.37947703048706055,True,REGULAR,USD
27,MSFT260618C00320000,2024-10-07 17:51:42+00:00,320.0,125.28,128.4,130.3,0.0,0.0,1.0,25,0.37739422660827626,True,REGULAR,USD
28,MSFT260618C00325000,2024-08-22 19:32:09+00:00,325.0,126.93,138.05,143.0,0.0,0.0,1.0,23,0.47341682594299317,True,REGULAR,USD
29,MSFT260618C00330000,2024-10-17 18:10:05+00:00,330.0,120.65,121.05,122.6,0.0,0.0,2.0,60,0.367544776763916,True,REGULAR,USD
30,MSFT260618C00335000,2024-10-04 19:03:41+00:00,335.0,118.45,116.4,119.05,0.0,0.0,1.0,21,0.364187876739502,True,REGULAR,USD
31,MSFT260618C00340000,2024-08-01 15:29:25+00:00,340.0,121.2,114.5,118.15,0.0,0.0,3.0,70,0.37605146659851074,True,REGULAR,USD
32,MSFT260618C00345000,2024-10-07 18:42:46+00:00,345.0,106.25,110.3,111.85,0.0,0.0,1.0,60,0.356253385772705,True,REGULAR,USD
33,MSFT260618C00350000,2024-10-10 13:47:56+00:00,350.0,106.2,106.85,108.8,0.0,0.0,1.0,66,0.3550861000823974,True,REGULAR,USD
34,MSFT260618C00355000,2024-09-27 19:08:21+00:00,355.0,111.9,103.4,105.05,0.0,0.0,2.0,5,0.34976846527099603,True,REGULAR,USD
35,MSFT260618C00360000,2024-10-18 17:55:36+00:00,360.0,101.0,100.15,101.6,2.0,2.020202,1.0,34,0.3459232888793945,True,REGULAR,USD
36,MSFT260618C00365000,2024-09-17 18:20:59+00:00,365.0,112.85,96.45,97.65,0.0,0.0,7.0,19,0.33920948883056634,True,REGULAR,USD
37,MSFT260618C00370000,2024-10-17 13:30:01+00:00,370.0,98.19,93.6,95.4,0.0,0.0,1.0,61,0.3413228099822998,True,REGULAR,USD
38,MSFT260618C00375000,2024-10-07 19:12:42+00:00,375.0,86.2,90.35,92.3,0.0,0.0,4.0,53,0.3386449192810058,True,REGULAR,USD
39,MSFT260618C00380000,2024-10-14 15:51:25+00:00,380.0,89.94,87.35,89.05,0.0,0.0,1.0,96,0.33497521720886225,True,REGULAR,USD
40,MSFT260618C00385000,2024-10-14 18:53:26+00:00,385.0,86.7,84.3,86.2,0.0,0.0,4.0,54,0.3331060342407227,True,REGULAR,USD
41,MSFT260618C00390000,2024-10-07 16:27:31+00:00,390.0,80.84,81.3,83.25,0.0,0.0,2.0,83,0.3304891780853271,True,REGULAR,USD
42,MSFT260618C00395000,2024-10-14 15:30:01+00:00,395.0,80.15,78.4,80.3,0.0,0.0,4.0,332,0.32763581306457523,True,REGULAR,USD
