,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,MSFT250117P00110000,2024-10-18 15:26:48+00:00,110.0,0.01,0.0,0.01,0.0,0.0,3.0,14478,0.7656273437500001,False,REGULAR,USD
1,MSFT250117P00115000,2024-10-17 17:14:38+00:00,115.0,0.01,0.0,0.02,0.0,0.0,3.0,10349,0.7812521875,False,REGULAR,USD
2,MSFT250117P00120000,2024-09-30 15:02:34+00:00,120.0,0.03,0.0,0.03,0.0,0.0,10.0,1828,0.7812521875,False,REGULAR,USD
3,MSFT250117P00125000,2024-09-30 15:04:13+00:00,125.0,0.03,0.0,0.03,0.0,0.0,10.0,1871,0.7500025,False,REGULAR,USD
4,MSFT250117P00130000,2024-10-14 14:56:25+00:00,130.0,0.02,0.0,0.03,0.0,0.0,10.0,2381,0.726565234375,False,REGULAR,USD
5,MSFT250117P00135000,2024-09-06 19:40:22+00:00,135.0,0.04,0.01,0.04,0.0,0.0,2.0,603,0.73437765625,False,REGULAR,USD
6,MSFT250117P00140000,2024-10-14 14:13:30+00:00,140.0,0.02,0.0,0.03,0.0,0.0,20.0,1664,0.6875031250000001,False,REGULAR,USD
7,MSFT250117P00145000,2024-09-30 16:38:41+00:00,145.0,0.02,0.0,0.03,0.0,0.0,16.0,638,0.6640658593750002,False,REGULAR,USD
8,MSFT250117P00150000,2024-10-01 18:16:14+00:00,150.0,0.03,0.0,0.03,0.0,0.0,10.0,4032,0.64062859375,False,REGULAR,USD
9,MSFT250117P00155000,2024-09-26 16:55:58+00:00,155.0,0.02,0.0,0.03,0.0,0.0,5.0,4165,0.6250037500000001,False,REGULAR,USD
10,MSFT250117P00160000,2024-10-18 17:42:35+00:00,160.0,0.02,0.0,0.03,0.0,0.0,3.0,10188,0.6015664843750002,False,REGULAR,USD
11,MSFT250117P00165000,2024-10-07 15:17:36+00:00,165.0,0.03,0.0,0.04,0.0,0.0,10.0,1652,0.5976602734375001,False,REGULAR,USD
12,MSFT250117P00170000,2024-10-17 17:09:36+00:00,170.0,0.03,0.0,0.03,0.0,0.0,2.0,1651,0.5664105859375,False,REGULAR,USD
13,MSFT250117P00175000,2024-10-18 18:23:42+00:00,175.0,0.03,0.02,0.04,-0.020000001,-40.000004,2.0,1678,0.5820354296875,False,REGULAR,USD
14,MSFT250117P00180000,2024-10-18 15:31:02+00:00,180.0,0.02,0.0,0.05,-0.01,-33.333336,2.0,2533,0.5546919531250001,False,REGULAR,USD
15,MSFT250117P00185000,2024-10-17 13:30:12+00:00,185.0,0.03,0.0,0.05,0.0,0.0,1.0,689,0.5390671093750001,False,REGULAR,USD
16,MSFT250117P00190000,2024-10-18 14:34:28+00:00,190.0,0.04,0.0,0.05,-0.010000002,-20.000004,1.0,5227,0.5214891601562499,False,REGULAR,USD
