,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,NEE250321C00035000,2024-08-22 13:30:02+00:00,35.0,44.53,46.2,50.1,0.0,0.0,2,0,0.8579115771484375,True,REGULAR,USD
1,NEE250321C00055000,2024-10-04 13:42:59+00:00,55.0,29.7,28.95,30.45,0.0,0.0,1,7,0.5144091528320311,True,REGULAR,USD
2,NEE250321C00060000,2024-10-07 17:07:01+00:00,60.0,22.83,23.35,25.5,0.0,0.0,2,24,0.436529072265625,True,REGULAR,USD
3,NEE250321C00062500,2024-10-02 18:46:06+00:00,62.5,23.97,20.9,24.95,0.0,0.0,5,28,0.564579549560547,True,REGULAR,USD
4,NEE250321C00065000,2024-10-09 13:30:27+00:00,65.0,17.13,19.1,20.95,0.0,0.0,1,42,0.39880972290039063,True,REGULAR,USD
5,NEE250321C00067500,2024-10-03 19:40:43+00:00,67.5,19.73,18.45,18.65,0.0,0.0,1,17,0.3737855590820312,True,REGULAR,USD
6,NEE250321C00070000,2024-10-17 19:46:58+00:00,70.0,16.08,16.3,16.5,0.0,0.0,8,177,0.35742830078125,True,REGULAR,USD
7,NEE250321C00072500,2024-10-18 19:23:35+00:00,72.5,14.08,14.3,15.45,0.8800001,6.666668,2,89,0.4039366247558594,True,REGULAR,USD
8,NEE250321C00075000,2024-10-16 19:10:08+00:00,75.0,12.4,12.35,13.5,0.0,0.0,16,1099,0.38611453735351553,True,REGULAR,USD
9,NEE250321C00077500,2024-10-17 17:37:15+00:00,77.5,10.55,10.55,11.6,0.0,0.0,2,495,0.36688865539550786,True,REGULAR,USD
10,NEE250321C00080000,2024-10-18 16:09:07+00:00,80.0,8.8,8.9,10.05,-0.27999973,-3.0836976,2,490,0.3605410626220703,True,REGULAR,USD
11,NEE250321C00082500,2024-10-18 17:26:41+00:00,82.5,7.35,7.4,7.55,0.19999981,2.7972002,2,2088,0.304145142211914,True,REGULAR,USD
12,NEE250321C00085000,2024-10-16 19:31:28+00:00,85.0,6.0,6.05,6.2,-0.25,-4.0,1,493,0.29682099670410156,False,REGULAR,USD
13,NEE250321C00087500,2024-10-18 19:24:35+00:00,87.5,4.8,4.85,5.2,-0.19999981,-3.9999962,74,437,0.2987741021728515,False,REGULAR,USD
14,NEE250321C00090000,2024-10-18 16:41:47+00:00,90.0,3.85,3.85,4.0,-0.10000014,-2.531649,15,990,0.2846751220703124,False,REGULAR,USD
15,NEE250321C00092500,2024-10-18 18:42:47+00:00,92.5,2.97,3.0,3.15,-0.13999987,-4.5016036,2,383,0.280158565673828,False,REGULAR,USD
16,NEE250321C00095000,2024-10-17 18:19:00+00:00,95.0,2.36,2.34,2.44,-0.07000017,-2.8806655,5,899,0.275825112915039,False,REGULAR,USD
17,NEE250321C00100000,2024-10-18 19:31:15+00:00,100.0,1.4,1.33,1.46,-0.029999971,-2.0979002,1,1358,0.27259028198242186,False,REGULAR,USD
18,NEE250321C00105000,2024-10-15 19:23:18+00:00,105.0,0.68,0.77,0.87,0.0,0.0,5,47,0.2727123510742187,False,REGULAR,USD
19,NEE250321C00110000,2024-10-18 18:05:08+00:00,110.0,0.45,0.39,1.85,-0.04000002,-8.16327,1,56,0.39002074829101563,False,REGULAR,USD
20,NEE250321C00115000,2024-10-15 14:52:51+00:00,115.0,0.26,0.23,0.32,0.0,0.0,2,93,0.27930408203124996,False,REGULAR,USD
21,NEE250321C00120000,2024-10-18 14:36:52+00:00,120.0,0.18,0.06,0.36,0.0,0.0,3,19,0.3156806713867187,False,REGULAR,USD
